"MACtac MACal 8101","mactac-macal-8101","#f06600"
"MACtac MACal 8103","mactac-macal-8103","#ffa300"
"MACtac MACal 8105","mactac-macal-8105","#ffbf00"
"MACtac MACal 8109","mactac-macal-8109","#ffd200"
"MACtac MACal 8129","mactac-macal-8129","#f7f7f8"
"MACtac MACal 8139","mactac-macal-8139","#005497"
"MACtac MACal 8149","mactac-macal-8149","#008e4c"
"MACtac MACal 8159","mactac-macal-8159","#a30011"
"MACtac MACal 8189","mactac-macal-8189","#101113"
"MACtac MACal 8108","mactac-macal-8108","#f8d036"
"MACtac MACal 8128","mactac-macal-8128","#f0f0f5"
"MACtac MACal 8138","mactac-macal-8138","#0080c1"
"MACtac MACal 8148","mactac-macal-8148","#007e50"
"MACtac MACal 8158","mactac-macal-8158","#9e2a31"
"MACtac MACal 8188","mactac-macal-8188","#343435"
"MACtac MACal 8157","mactac-macal-8157","#ff4408"
"MACtac MACal 8136 ","mactac-macal-8136","#1d1780"
"MACtac MACal 8136 SP1","mactac-macal-8136-sp1","#00629b"
"MACtac MACal 8146","mactac-macal-8146","#00bd94"
"MACtac MACal 8186","mactac-macal-8186","#422823"
"MACtac MACstat white 150M","mactac-macstat-white-150m","#f1f1f0"
"MACtac MACstat white 180M","mactac-macstat-white-180m","#f3f4f4"
"MACtac MACal 4129","mactac-macal-4129","#f8f7f8"
"MACtac MACal 7129","mactac-macal-7129","#f3f5f5"
"MACtac MACal 7228","mactac-macal-7228","#f3f7fb"
"MACtac Milmar bright silver","mactac-milmar-bright-silver","#383a3b"
"MACtac Milmar dull silver","mactac-milmar-dull-silver","#b6babe"
"MACtac Milmar bright gold","mactac-milmar-bright-gold","#444440"
"MACtac Emboss-polyester br-silver","mactac-emboss-polyester-br-silver","#38393a"
"MACtac Emboss-polyester br-gold","mactac-emboss-polyester-br-gold","#413f32"
"MACtac Lamar 0-1 dull silver","mactac-lamar-0-1-dull-silver","#b0b5b9"
"MACtac Lamar 0-2 dull silver","mactac-lamar-0-2-dull-silver","#b0b4b8"
"MACtac Lamar 0-3 dull silver","mactac-lamar-0-3-dull-silver","#bfc4c9"
"MACtac Solid foil bright silver","mactac-solid-foil-bright-silver","#9aa0a6"
"MACtac Solid foil dull silver","mactac-solid-foil-dull-silver","#aeb1b4"
"MACtac MACsilky","mactac-macsilky","#cec9cc"
"MACtac Acetate matt","mactac-acetate-matt","#ebe7d6"
