"Limone 1","limone-1","#f6f3d8"
"Limone 2","limone-2","#f6f3ce"
"Limone 3","limone-3","#f7f2c8"
"Limone 6","limone-6","#f7efb9"
"Limone 10","limone-10","#f6ebac"
"Limone 20","limone-20","#f6e698"
"Sole 1","sole-1","#f7f2da"
"Sole 2","sole-2","#f9f0d1"
"Sole 3","sole-3","#f9efc9"
"Sole 6","sole-6","#f8e8b8"
"Sole 9","sole-9","#f7e4ae"
"Sole 18","sole-18","#f5dc9a"
"Crema 1","crema-1","#f9f0dc"
"Crema 2","crema-2","#faecd1"
"Crema 3","crema-3","#fae8c8"
"Crema 6","crema-6","#f8e1ba"
"Crema 12","crema-12","#f6d7a6"
"Crema 24","crema-24","#f0ca92"
"Toscana 1","toscana-1","#faf0e0"
"Toscana 2","toscana-2","#f6e5d1"
"Toscana 4","toscana-4","#f4ddc4"
"Toscana 8","toscana-8","#f0d0b1"
"Toscana 12","toscana-12","#ecc8a6"
"Toscana 24","toscana-24","#e2b792"
"Melba 3-5","melba-3-5","#f9e4c1"
"Melba 7","melba-7","#f8dbaf"
"Melba 14","melba-14","#f5d09f"
"Melba 21","melba-21","#f5c992"
"Melba 28","melba-28","#f3c287"
"Melba 56","melba-56","#ecaf6f"
"Terracotta 0-8","terracotta-0-8","#fbdfcd"
"Terracotta 1-5","terracotta-1-5","#f9d5c0"
"Terracotta 3","terracotta-3","#f5c6ad"
"Terracotta 6","terracotta-6","#f0b69b"
"Terracotta 12","terracotta-12","#e9a589"
"Terracotta 24","terracotta-24","#dc8e70"
"Primavera 2","primavera-2","#e7ece0"
"Primavera 4","primavera-4","#dfe7d8"
"Primavera 8","primavera-8","#d2ddca"
"Primavera 16","primavera-16","#c4d2bd"
"Primavera 32","primavera-32","#b2c4ab"
"Mare 4","mare-4","#d6e8f2"
"Mare 6","mare-6","#cee3f1"
"Mare 8","mare-8","#c7e0f1"
"Mare 12","mare-12","#bcd9ef"
"Mare 20","mare-20","#b0d2ed"
"Mare 40","mare-40","#9ac6ed"
"Ferro 1","ferro-1","#d5d6d6"
"Ferro 2","ferro-2","#cdcecf"
"Ferro 4","ferro-4","#bcbdc0"
"Ferro 8","ferro-8","#aaacaf"
"Ferro 12","ferro-12","#9d9fa3"
"Ferro 24","ferro-24","#85888d"
"Cappuccino ","cappuccino","#6a4a3c"
"Espresso ","espresso","#5e453e"
