"MARABU 020","marabu-020","#e7d938"
"MARABU 1201","marabu-1201","#f0df66"
"MARABU 1202","marabu-1202","#f9cc00"
"MARABU 026","marabu-026","#f9ca00"
"MARABU 1203","marabu-1203","#fac100"
"MARABU 1204","marabu-1204","#feb000"
"MARABU 021","marabu-021","#ffb600"
"MARABU 1205","marabu-1205","#ff9e00"
"MARABU 1206","marabu-1206","#ff9607"
"MARABU 1207","marabu-1207","#ff8300"
"MARABU 1208","marabu-1208","#fb7717"
"MARABU 022","marabu-022","#f8711c"
"MARABU 1301","marabu-1301","#ef6526"
"MARABU 1302","marabu-1302","#ea5c24"
"MARABU 1303","marabu-1303","#e05232"
"MARABU 036","marabu-036","#db4229"
"MARABU 1304","marabu-1304","#d0332e"
"MARABU 1305","marabu-1305","#d4392e"
"MARABU 1306","marabu-1306","#dd4e44"
"MARABU 1307","marabu-1307","#e56963"
"MARABU 1308","marabu-1308","#e87268"
"MARABU 1309","marabu-1309","#f6a28b"
"MARABU 1310","marabu-1310","#f4a497"
"MARABU 1311","marabu-1311","#f6beaf"
"MARABU 1312","marabu-1312","#f3aaa4"
"MARABU 1313","marabu-1313","#f09b96"
"MARABU 1314","marabu-1314","#ef939b"
"MARABU 1315","marabu-1315","#ea868e"
"MARABU 1316","marabu-1316","#e07884"
"MARABU 1317","marabu-1317","#e15e6a"
"MARABU 1318","marabu-1318","#d8504e"
"MARABU 1319","marabu-1319","#d44644"
"MARABU 1320","marabu-1320","#cd3c3f"
"MARABU 1321","marabu-1321","#cd414b"
"MARABU 1322","marabu-1322","#c0303f"
"MARABU 035","marabu-035","#ce2e2f"
"MARABU 031","marabu-031","#b9252b"
"MARABU 1323","marabu-1323","#a03037"
"MARABU 1324","marabu-1324","#9e3640"
"MARABU 1325","marabu-1325","#972c33"
"MARABU 1326","marabu-1326","#883036"
"MARABU 1327","marabu-1327","#72333e"
"MARABU 1328","marabu-1328","#7e3048"
"MARABU 1329","marabu-1329","#8b2e4a"
"MARABU 1330","marabu-1330","#952e44"
"MARABU 032","marabu-032","#ab2949"
"MARABU 1331","marabu-1331","#bc3a57"
"MARABU 1332","marabu-1332","#c03e60"
"MARABU 1333","marabu-1333","#af2f56"
"MARABU 1334","marabu-1334","#b33a6a"
"MARABU 033","marabu-033","#b9276c"
"MARABU 1335","marabu-1335","#b83474"
"MARABU 1336","marabu-1336","#b63678"
"MARABU 1337","marabu-1337","#af2871"
"MARABU 037","marabu-037","#af3c87"
"MARABU 1338","marabu-1338","#9d4b91"
"MARABU 1501","marabu-1501","#734184"
"MARABU 1502","marabu-1502","#5c3a76"
"MARABU 1503","marabu-1503","#734485"
"MARABU 1504","marabu-1504","#8c5c9d"
"MARABU 1505","marabu-1505","#ac84be"
"MARABU 1506","marabu-1506","#a398cd"
"MARABU 1507","marabu-1507","#8d83c0"
"MARABU 1508","marabu-1508","#786cad"
"MARABU 1509","marabu-1509","#69599d"
"MARABU 1510","marabu-1510","#594285"
"MARABU 1511","marabu-1511","#533a77"
"MARABU 1512","marabu-1512","#393c67"
"MARABU 1513","marabu-1513","#35478f"
"MARABU 1514","marabu-1514","#2b5eab"
"MARABU 055","marabu-055","#3d4ca3"
"MARABU 1515","marabu-1515","#3657a9"
