"MARABU Std 20","marabu-std-20","#e6df15"
"MARABU Std 21","marabu-std-21","#fea700"
"MARABU Std 23","marabu-std-23","#ed571e"
"MARABU Std 36","marabu-std-36","#ce332d"
"MARABU Std 32","marabu-std-32","#a82534"
"MARABU Std 59","marabu-std-59","#007caf"
"MARABU Std 57","marabu-std-57","#035281"
"MARABU Std 62","marabu-std-62","#009f49"
"MARABU Std 68","marabu-std-68","#00674f"
"MARABU Std 45","marabu-std-45","#453b33"
"MARABU Std 73","marabu-std-73","#383736"
"MARABU Std 170","marabu-std-170","#ebebef"
"MARABU EURO 429","marabu-euro-429","#f8c800"
"MARABU EURO 439","marabu-euro-439","#c73a60"
"MARABU EURO 459","marabu-euro-459","#0084a7"
"MARABU Textil-Deckwei TX 170","marabu-textil-deckwei-tx-170","#eef0ec"
"MARABU Texaplast TXP 20","marabu-texaplast-txp-20","#efdb00"
"MARABU Texaplast TXP 21","marabu-texaplast-txp-21","#ffad01"
"MARABU Texaplast TXP 23","marabu-texaplast-txp-23","#ea662b"
"MARABU Texaplast TXP 36","marabu-texaplast-txp-36","#ca3c2d"
"MARABU Texaplast TXP 32","marabu-texaplast-txp-32","#b12c46"
"MARABU Texaplast TXP 59","marabu-texaplast-txp-59","#007baf"
"MARABU Texaplast TXP 57","marabu-texaplast-txp-57","#09487d"
"MARABU Texaplast TXP 62","marabu-texaplast-txp-62","#00ac60"
"MARABU Texaplast TXP 68","marabu-texaplast-txp-68","#008255"
"MARABU Texaplast TXP 45","marabu-texaplast-txp-45","#4a3e35"
"MARABU Texaplast TXP 73","marabu-texaplast-txp-73","#313132"
"MARABU Texaplast TXP 170","marabu-texaplast-txp-170","#f6f6ef"
