"Marmorit basalt","marmorit-basalt","#a3afb7"
"Marmorit basalt 1","marmorit-basalt-1","#abb6bd"
"Marmorit basalt 2","marmorit-basalt-2","#bbc7cd"
"Marmorit basalt 3","marmorit-basalt-3","#cbd4d8"
"Marmorit basalt 4","marmorit-basalt-4","#d3d8d8"
"Marmorit bernstein","marmorit-bernstein","#edc683"
"Marmorit bernstein 1","marmorit-bernstein-1","#efcc91"
"Marmorit bernstein 2","marmorit-bernstein-2","#f3d49f"
"Marmorit bernstein 3","marmorit-bernstein-3","#f8e0b8"
"Marmorit bernstein 4","marmorit-bernstein-4","#f6e5c7"
"Marmorit erde","marmorit-erde","#c59772"
"Marmorit erde 1","marmorit-erde-1","#d3ab89"
"Marmorit erde 2","marmorit-erde-2","#e1c0a0"
"Marmorit erde 3","marmorit-erde-3","#e9cdb5"
"Marmorit erde 4","marmorit-erde-4","#e8d2bc"
"Marmorit flieder","marmorit-flieder","#b4b6bf"
"Marmorit flieder 1","marmorit-flieder-1","#c1c2c8"
"Marmorit flieder 2","marmorit-flieder-2","#cccbce"
"Marmorit flieder 3","marmorit-flieder-3","#d3d4d5"
"Marmorit flieder 4","marmorit-flieder-4","#d9d7d7"
"Marmorit ganges","marmorit-ganges","#a79696"
"Marmorit ganges 1","marmorit-ganges-1","#b19e9d"
"Marmorit ganges 2","marmorit-ganges-2","#c6b6b3"
"Marmorit ganges 3","marmorit-ganges-3","#d4c6c3"
"Marmorit ganges 4","marmorit-ganges-4","#ddd3d1"
"Marmorit kies","marmorit-kies","#c5beab"
"Marmorit kies 1","marmorit-kies-1","#cec9b8"
"Marmorit kies 2","marmorit-kies-2","#d8d3c3"
"Marmorit kies 3","marmorit-kies-3","#dbd8cc"
"Marmorit kies 4","marmorit-kies-4","#dfddd2"
"Marmorit koralle","marmorit-koralle","#c9a399"
"Marmorit koralle 1","marmorit-koralle-1","#d4b3aa"
"Marmorit koralle 2","marmorit-koralle-2","#d9bdb2"
"Marmorit koralle 3","marmorit-koralle-3","#dec5bc"
"Marmorit koralle 4","marmorit-koralle-4","#e9d5ca"
"Marmorit kuerbis","marmorit-kuerbis","#d5bc8f"
"Marmorit kuerbis 1","marmorit-kuerbis-1","#dec7a0"
"Marmorit kuerbis 2","marmorit-kuerbis-2","#e8d3b0"
"Marmorit kuerbis 3","marmorit-kuerbis-3","#eddec5"
"Marmorit kuerbis 4","marmorit-kuerbis-4","#ede0ca"
"Marmorit lasurit","marmorit-lasurit","#adc6d2"
"Marmorit lasurit 1","marmorit-lasurit-1","#bcd1d9"
"Marmorit lasurit 2","marmorit-lasurit-2","#d3dfe2"
"Marmorit lasurit 3","marmorit-lasurit-3","#d8e1e2"
"Marmorit lasurit 4","marmorit-lasurit-4","#dce1e0"
"Marmorit lehm","marmorit-lehm","#bbae9c"
"Marmorit lehm 1","marmorit-lehm-1","#c8bbaa"
"Marmorit lehm 2","marmorit-lehm-2","#dacfbe"
"Marmorit lehm 3","marmorit-lehm-3","#ddd4c7"
"Marmorit lehm 4","marmorit-lehm-4","#e2dbd0"
"Marmorit malaga","marmorit-malaga","#b28d83"
"Marmorit malaga 1","marmorit-malaga-1","#c09e95"
"Marmorit malaga 2","marmorit-malaga-2","#d9c0b8"
"Marmorit malaga 3","marmorit-malaga-3","#dfc8c2"
"Marmorit malaga 4","marmorit-malaga-4","#e5d5ce"
"Marmorit nektar","marmorit-nektar","#e9b981"
"Marmorit nektar 1","marmorit-nektar-1","#efc590"
"Marmorit nektar 2","marmorit-nektar-2","#eecba0"
"Marmorit nektar 3","marmorit-nektar-3","#f1d8b3"
"Marmorit nektar 4","marmorit-nektar-4","#f2e2c7"
"Marmorit rauch","marmorit-rauch","#b5bbbe"
"Marmorit rauch 1","marmorit-rauch-1","#b8babb"
"Marmorit rauch 2","marmorit-rauch-2","#c8c9c9"
"Marmorit rauch 3","marmorit-rauch-3","#d4d5d3"
"Marmorit rauch 4","marmorit-rauch-4","#e1dfda"
"Marmorit rokoko","marmorit-rokoko","#c38b7f"
"Marmorit rokoko 1","marmorit-rokoko-1","#cd9e93"
