"Maxit CL291","maxit-cl291","#ffd38b"
"Maxit CL292","maxit-cl292","#ffdb96"
"Maxit CL293","maxit-cl293","#ffe6ac"
"Maxit CL294","maxit-cl294","#fff2c1"
"Maxit CL295","maxit-cl295","#fffdda"
"Maxit CL301","maxit-cl301","#f19d6c"
"Maxit CL302","maxit-cl302","#f8aa7c"
"Maxit CL303","maxit-cl303","#ffc39a"
"Maxit CL304","maxit-cl304","#ffcfaa"
"Maxit CL305","maxit-cl305","#ffe8ca"
"Maxit CL311","maxit-cl311","#cc7a69"
"Maxit CL312","maxit-cl312","#de8b7c"
"Maxit CL313","maxit-cl313","#f0a698"
"Maxit CL314","maxit-cl314","#ffbfb2"
"Maxit CL315","maxit-cl315","#ffddd2"
"Maxit CL321","maxit-cl321","#dbb1a9"
"Maxit CL322","maxit-cl322","#e7c1b8"
"Maxit CL323","maxit-cl323","#f3d1c8"
"Maxit CL324","maxit-cl324","#ffe4dd"
"Maxit CL325","maxit-cl325","#fff8ef"
"Maxit CL331","maxit-cl331","#b5a29d"
"Maxit CL332","maxit-cl332","#c3b0aa"
"Maxit CL333","maxit-cl333","#dacac5"
"Maxit CL334","maxit-cl334","#e8dad4"
"Maxit CL335","maxit-cl335","#fdf1ea"
"Maxit CL341","maxit-cl341","#9fb2ca"
"Maxit CL342","maxit-cl342","#b0c1d5"
"Maxit CL343","maxit-cl343","#ceddee"
"Maxit CL344","maxit-cl344","#dfecf9"
"Maxit CL345","maxit-cl345","#f6fafb"
"Maxit CL351","maxit-cl351","#7296a7"
"Maxit CL352","maxit-cl352","#82a4b4"
"Maxit CL353","maxit-cl353","#9bb9c6"
"Maxit CL354","maxit-cl354","#b9d1da"
"Maxit CL355","maxit-cl355","#dfecf0"
"Maxit CL361","maxit-cl361","#8ba287"
"Maxit CL362","maxit-cl362","#99af97"
"Maxit CL363","maxit-cl363","#adc0aa"
"Maxit CL364","maxit-cl364","#c4d4c0"
"Maxit CL365","maxit-cl365","#e0ebdb"
"Maxit CL371","maxit-cl371","#c3af6c"
"Maxit CL372","maxit-cl372","#d1ba78"
"Maxit CL373","maxit-cl373","#ddc889"
"Maxit CL374","maxit-cl374","#edd99f"
"Maxit CL375","maxit-cl375","#fff1c7"
"Maxit CL381","maxit-cl381","#9a9278"
"Maxit CL382","maxit-cl382","#aaa38a"
"Maxit CL383","maxit-cl383","#bab39b"
"Maxit CL384","maxit-cl384","#cdc5b1"
"Maxit CL385","maxit-cl385","#eee7d6"
"Maxit CL391","maxit-cl391","#b2976d"
"Maxit CL392","maxit-cl392","#c5a97d"
"Maxit CL393","maxit-cl393","#d8bf97"
"Maxit CL394","maxit-cl394","#e6d0ac"
"Maxit CL395","maxit-cl395","#f9e8ca"
"Maxit CL401","maxit-cl401","#9b8165"
"Maxit CL402","maxit-cl402","#a58a6d"
"Maxit CL403","maxit-cl403","#b99d81"
"Maxit CL404","maxit-cl404","#ceb59a"
"Maxit CL405","maxit-cl405","#ecd7c1"
"Maxit CL411","maxit-cl411","#af765b"
"Maxit CL412","maxit-cl412","#ba7f62"
"Maxit CL413","maxit-cl413","#cc9276"
"Maxit CL414","maxit-cl414","#dca88e"
"Maxit CL415","maxit-cl415","#fbd0b8"
"Maxit CL421","maxit-cl421","#c09477"
"Maxit CL422","maxit-cl422","#cba289"
"Maxit CL423","maxit-cl423","#ddb7a0"
"Maxit CL424","maxit-cl424","#efcfba"
"Maxit CL425","maxit-cl425","#fee7d5"
"Maxit CL431","maxit-cl431","#f1c384"
"Maxit CL432","maxit-cl432","#f8cd93"
"Maxit CL433","maxit-cl433","#ffdfaa"
"Maxit CL434","maxit-cl434","#ffefc4"
"Maxit CL435","maxit-cl435","#fffcdd"
"Maxit CL441","maxit-cl441","#968f84"
"Maxit CL442","maxit-cl442","#a7a196"
"Maxit CL443","maxit-cl443","#beb8af"
"Maxit CL444","maxit-cl444","#d6d0c7"
"Maxit CL445","maxit-cl445","#e9e4da"
"Maxit CL451","maxit-cl451","#9c9693"
"Maxit CL452","maxit-cl452","#aaa3a1"
"Maxit CL453","maxit-cl453","#c2bcbb"
"Maxit CL454","maxit-cl454","#d4cecc"
"Maxit CL455","maxit-cl455","#e2dfdc"
