"Maxit MD101","maxit-md101","#fff2ac"
"Maxit MD102","maxit-md102","#fffdbb"
"Maxit MD103","maxit-md103","#fffecb"
"Maxit MD104","maxit-md104","#ffffd8"
"Maxit MD105","maxit-md105","#ffffe7"
"Maxit MD111","maxit-md111","#ffeba5"
"Maxit MD112","maxit-md112","#ffefae"
"Maxit MD113","maxit-md113","#fff7c3"
"Maxit MD114","maxit-md114","#fffdd2"
"Maxit MD115","maxit-md115","#fffee2"
"Maxit MD121","maxit-md121","#ffc788"
"Maxit MD122","maxit-md122","#ffd39b"
"Maxit MD123","maxit-md123","#ffe0b1"
"Maxit MD124","maxit-md124","#fff1cb"
"Maxit MD125","maxit-md125","#fffce2"
"Maxit MD131","maxit-md131","#ffcc96"
"Maxit MD132","maxit-md132","#ffd7a6"
"Maxit MD133","maxit-md133","#ffe8bf"
"Maxit MD134","maxit-md134","#fff3d1"
"Maxit MD135","maxit-md135","#fffce6"
"Maxit MD141","maxit-md141","#efa48a"
"Maxit MD142","maxit-md142","#fcbaa1"
"Maxit MD143","maxit-md143","#ffc5b0"
"Maxit MD144","maxit-md144","#ffdccb"
"Maxit MD145","maxit-md145","#fff2e5"
"Maxit MD151","maxit-md151","#d8867a"
"Maxit MD152","maxit-md152","#e2988c"
"Maxit MD153","maxit-md153","#ecaaa0"
"Maxit MD154","maxit-md154","#ffc6bb"
"Maxit MD155","maxit-md155","#ffe7de"
"Maxit MD161","maxit-md161","#c58987"
"Maxit MD162","maxit-md162","#cf9895"
"Maxit MD163","maxit-md163","#e9b8b6"
"Maxit MD164","maxit-md164","#f1c7c4"
"Maxit MD165","maxit-md165","#ffe3e0"
"Maxit MD171","maxit-md171","#b68e95"
"Maxit MD172","maxit-md172","#bf9da4"
"Maxit MD173","maxit-md173","#dac1c9"
"Maxit MD174","maxit-md174","#ecd7db"
"Maxit MD175","maxit-md175","#fdedec"
"Maxit MD181","maxit-md181","#9594b3"
"Maxit MD182","maxit-md182","#a4a2bf"
"Maxit MD183","maxit-md183","#bab8d0"
"Maxit MD184","maxit-md184","#d2d1e5"
"Maxit MD185","maxit-md185","#f1effa"
"Maxit MD191","maxit-md191","#8fa1d2"
"Maxit MD192","maxit-md192","#a5b6e2"
"Maxit MD193","maxit-md193","#c2cff1"
"Maxit MD194","maxit-md194","#d7e0f8"
"Maxit MD195","maxit-md195","#f2f5ff"
"Maxit MD201","maxit-md201","#a5c6e9"
"Maxit MD202","maxit-md202","#bbdbf9"
"Maxit MD203","maxit-md203","#d4eaff"
"Maxit MD204","maxit-md204","#eaf9ff"
"Maxit MD205","maxit-md205","#f9ffff"
"Maxit MD211","maxit-md211","#87cce6"
"Maxit MD212","maxit-md212","#9ddaf0"
"Maxit MD213","maxit-md213","#bce6f7"
"Maxit MD214","maxit-md214","#d5f7ff"
"Maxit MD215","maxit-md215","#f4ffff"
"Maxit MD221","maxit-md221","#8dc8c6"
"Maxit MD222","maxit-md222","#a4dad9"
"Maxit MD223","maxit-md223","#b9e3e2"
"Maxit MD224","maxit-md224","#d5f2ef"
"Maxit MD225","maxit-md225","#f5fffc"
"Maxit MD231","maxit-md231","#9ac5a6"
"Maxit MD232","maxit-md232","#aed5ba"
"Maxit MD233","maxit-md233","#c2e3ce"
"Maxit MD234","maxit-md234","#d5eddc"
"Maxit MD235","maxit-md235","#f0fff6"
"Maxit MD241","maxit-md241","#c7e2b5"
"Maxit MD242","maxit-md242","#d5ebc6"
"Maxit MD243","maxit-md243","#e4f6d9"
"Maxit MD244","maxit-md244","#f5ffeb"
"Maxit MD245","maxit-md245","#fdfff1"
"Maxit MD251","maxit-md251","#e6f2b7"
"Maxit MD252","maxit-md252","#eff8c7"
"Maxit MD253","maxit-md253","#fbffdb"
"Maxit MD254","maxit-md254","#fdffe1"
"Maxit MD255","maxit-md255","#ffffeb"
"Maxit MD261","maxit-md261","#ffffb4"
"Maxit MD262","maxit-md262","#ffffc0"
"Maxit MD263","maxit-md263","#ffffcd"
"Maxit MD264","maxit-md264","#ffffda"
"Maxit MD265","maxit-md265","#ffffe7"
"Maxit MD271","maxit-md271","#9d9b9a"
"Maxit MD272","maxit-md272","#adaaaa"
"Maxit MD273","maxit-md273","#cccac9"
"Maxit MD274","maxit-md274","#dedad8"
"Maxit MD275","maxit-md275","#f1ede9"
"Maxit MD281","maxit-md281","#8b8f90"
"Maxit MD282","maxit-md282","#9da0a1"
"Maxit MD283","maxit-md283","#b8b9b9"
"Maxit MD284","maxit-md284","#d0d2d1"
"Maxit MD285","maxit-md285","#e4e5e4"
