"MD-Color CM100","md-color-cm100","#f4f1cc"
"MD-Color CM101","md-color-cm101","#efefae"
"MD-Color CM102","md-color-cm102","#edea8a"
"MD-Color CM103","md-color-cm103","#e9e069"
"MD-Color CM104","md-color-cm104","#eddc35"
"MD-Color CM105","md-color-cm105","#f6ed95"
"MD-Color CM106","md-color-cm106","#f7e075"
"MD-Color CM107","md-color-cm107","#f7dc54"
"MD-Color CM108","md-color-cm108","#f8db42"
"MD-Color CM109","md-color-cm109","#f7d61f"
"MD-Color CM110","md-color-cm110","#f0efcf"
"MD-Color CM111","md-color-cm111","#efe8b3"
"MD-Color CM112","md-color-cm112","#f0e795"
"MD-Color CM113","md-color-cm113","#eedb7a"
"MD-Color CM114","md-color-cm114","#eccb3d"
"MD-Color CM115","md-color-cm115","#fae7aa"
"MD-Color CM116","md-color-cm116","#fde186"
"MD-Color CM117","md-color-cm117","#fedc6a"
"MD-Color CM118","md-color-cm118","#ffd142"
"MD-Color CM119","md-color-cm119","#fbc300"
"MD-Color CM120","md-color-cm120","#fce5aa"
"MD-Color CM121","md-color-cm121","#fcda84"
"MD-Color CM122","md-color-cm122","#ffd05d"
"MD-Color CM123","md-color-cm123","#f2bd37"
"MD-Color CM124","md-color-cm124","#e9af18"
"MD-Color CM125","md-color-cm125","#f3ebce"
"MD-Color CM126","md-color-cm126","#f6e7c1"
"MD-Color CM127","md-color-cm127","#ffda93"
"MD-Color CM128","md-color-cm128","#fbca62"
"MD-Color CM129","md-color-cm129","#feb40d"
"MD-Color CM130","md-color-cm130","#f4edd9"
"MD-Color CM131","md-color-cm131","#fbe7be"
"MD-Color CM132","md-color-cm132","#f7d79a"
"MD-Color CM133","md-color-cm133","#fbcd78"
"MD-Color CM134","md-color-cm134","#f9b83d"
"MD-Color CM135","md-color-cm135","#fbe7be"
"MD-Color CM136","md-color-cm136","#ffd79c"
"MD-Color CM137","md-color-cm137","#ffc56b"
"MD-Color CM138","md-color-cm138","#ffbd54"
"MD-Color CM139","md-color-cm139","#ffb247"
"MD-Color CM140","md-color-cm140","#fddcb1"
"MD-Color CM141","md-color-cm141","#ffd69d"
"MD-Color CM142","md-color-cm142","#ffcd83"
"MD-Color CM143","md-color-cm143","#fcc06a"
"MD-Color CM144","md-color-cm144","#f4ad4f"
"MD-Color CM145","md-color-cm145","#f2e8d5"
"MD-Color CM146","md-color-cm146","#eed4b1"
"MD-Color CM147","md-color-cm147","#e7bb87"
"MD-Color CM148","md-color-cm148","#d59b5c"
"MD-Color CM149","md-color-cm149","#cd9560"
"MD-Color CM150","md-color-cm150","#f4e9d4"
"MD-Color CM151","md-color-cm151","#fae6c8"
"MD-Color CM152","md-color-cm152","#f5d5a4"
"MD-Color CM153","md-color-cm153","#ebb870"
"MD-Color CM154","md-color-cm154","#d69242"
"MD-Color CM155","md-color-cm155","#fcddb7"
"MD-Color CM156","md-color-cm156","#fdce97"
"MD-Color CM157","md-color-cm157","#fabc7f"
"MD-Color CM158","md-color-cm158","#f3a64f"
"MD-Color CM159","md-color-cm159","#ec9336"
"MD-Color CM160","md-color-cm160","#fbe2bb"
"MD-Color CM161","md-color-cm161","#fbd6a9"
"MD-Color CM162","md-color-cm162","#ffc990"
"MD-Color CM163","md-color-cm163","#ffb56c"
"MD-Color CM164","md-color-cm164","#ffa85d"
"MD-Color CM165","md-color-cm165","#f5e6ce"
"MD-Color CM166","md-color-cm166","#f4d9b8"
"MD-Color CM167","md-color-cm167","#efc598"
"MD-Color CM168","md-color-cm168","#e1a66f"
"MD-Color CM169","md-color-cm169","#d18447"
"MD-Color CM170","md-color-cm170","#f9e9d9"
"MD-Color CM171","md-color-cm171","#f3d0b0"
"MD-Color CM172","md-color-cm172","#f5c89d"
"MD-Color CM173","md-color-cm173","#febd83"
"MD-Color CM174","md-color-cm174","#dc965b"
"MD-Color CM175","md-color-cm175","#f5dbbc"
"MD-Color CM176","md-color-cm176","#f5ca9e"
"MD-Color CM177","md-color-cm177","#ebaf7d"
"MD-Color CM178","md-color-cm178","#e69461"
"MD-Color CM179","md-color-cm179","#e2804d"
"MD-Color CM180","md-color-cm180","#f7d6bb"
"MD-Color CM181","md-color-cm181","#f9c7a1"
"MD-Color CM182","md-color-cm182","#f6a778"
"MD-Color CM183","md-color-cm183","#ef8b60"
"MD-Color CM184","md-color-cm184","#ef7a4e"
"MD-Color CM185","md-color-cm185","#ffd5b7"
"MD-Color CM186","md-color-cm186","#ffc699"
"MD-Color CM187","md-color-cm187","#ffb47c"
"MD-Color CM188","md-color-cm188","#f9944e"
"MD-Color CM189","md-color-cm189","#fc933d"
"MD-Color CM190","md-color-cm190","#fadfcd"
"MD-Color CM191","md-color-cm191","#fdd6be"
"MD-Color CM192","md-color-cm192","#ffc093"
"MD-Color CM193","md-color-cm193","#f99d57"
"MD-Color CM194","md-color-cm194","#f7813c"
"MD-Color CM195","md-color-cm195","#f3e3d7"
"MD-Color CM196","md-color-cm196","#f8ddca"
"MD-Color CM197","md-color-cm197","#f6c5a9"
"MD-Color CM198","md-color-cm198","#efa17a"
"MD-Color CM199","md-color-cm199","#d56d42"
"MD-Color CM200","md-color-cm200","#f7ece1"
"MD-Color CM201","md-color-cm201","#fcd9bd"
"MD-Color CM202","md-color-cm202","#faba9e"
"MD-Color CM203","md-color-cm203","#e57a61"
"MD-Color CM204","md-color-cm204","#c35d43"
