"MIXOL LW-1 - 10","mixol-lw-1-10","#4e5257"
"MIXOL LW-1 - 4","mixol-lw-1-4","#60646b"
"MIXOL LW-1 - 2","mixol-lw-1-2","#73777c"
"MIXOL LW-1 - 1","mixol-lw-1-1","#85888c"
"MIXOL LW-1 - 0-2","mixol-lw-1-0-2","#bbbdbf"
"MIXOL LW-2 - 10","mixol-lw-2-10","#807968"
"MIXOL LW-2 - 4","mixol-lw-2-4","#958e7d"
"MIXOL LW-2 - 2","mixol-lw-2-2","#aaa392"
"MIXOL LW-2 - 1","mixol-lw-2-1","#bfbaad"
"MIXOL LW-2 - 0-2","mixol-lw-2-0-2","#e1ddcf"
"MIXOL LW-3 - 10","mixol-lw-3-10","#9a7d69"
"MIXOL LW-3 - 4","mixol-lw-3-4","#b49985"
"MIXOL LW-3 - 2","mixol-lw-3-2","#cab19d"
"MIXOL LW-3 - 1","mixol-lw-3-1","#d8c2b0"
"MIXOL LW-3 - 0-2","mixol-lw-3-0-2","#eee1d4"
"MIXOL LW-4 - 10","mixol-lw-4-10","#a56562"
"MIXOL LW-4 - 4","mixol-lw-4-4","#ba7e7d"
"MIXOL LW-4 - 2","mixol-lw-4-2","#cb9492"
"MIXOL LW-4 - 1","mixol-lw-4-1","#d7a8a6"
"MIXOL LW-4 - 0-2","mixol-lw-4-0-2","#eed0cc"
"MIXOL LW-5 - 10","mixol-lw-5-10","#d6a15c"
"MIXOL LW-5 - 4","mixol-lw-5-4","#e7b674"
"MIXOL LW-5 - 2","mixol-lw-5-2","#f0c58a"
"MIXOL LW-5 - 1","mixol-lw-5-1","#f6d39f"
"MIXOL LW-5 - 0-2","mixol-lw-5-0-2","#fae9c9"
"MIXOL L-6 - 10","mixol-l-6-10","#ffbf23"
"MIXOL L-6 - 4","mixol-l-6-4","#ffcd4f"
"MIXOL L-6 - 2","mixol-l-6-2","#ffd66b"
"MIXOL L-6 - 1","mixol-l-6-1","#ffde84"
"MIXOL L-6 - 0-2","mixol-l-6-0-2","#feecbc"
"MIXOL L-7 - 10","mixol-l-7-10","#ffde51"
"MIXOL L-7 - 4","mixol-l-7-4","#ffe567"
"MIXOL L-7 - 2","mixol-l-7-2","#ffe975"
"MIXOL L-7 - 1","mixol-l-7-1","#fdee8f"
"MIXOL L-7 - 0-2","mixol-l-7-0-2","#f9f4c0"
"MIXOL LW-8 - 10","mixol-lw-8-10","#00a487"
"MIXOL LW-8 - 4","mixol-lw-8-4","#2abda2"
"MIXOL LW-8 - 2","mixol-lw-8-2","#55ccb3"
"MIXOL LW-8 - 1","mixol-lw-8-1","#79d9c3"
"MIXOL LW-8 - 0-2","mixol-lw-8-0-2","#b9ecdc"
"MIXOL LW-9 - 10","mixol-lw-9-10","#2589bb"
"MIXOL LW-9 - 4","mixol-lw-9-4","#38a2d0"
"MIXOL LW-9 - 2","mixol-lw-9-2","#52b3dc"
"MIXOL LW-9 - 1","mixol-lw-9-1","#6dc3e4"
"MIXOL LW-9 - 0-2","mixol-lw-9-0-2","#acdeeb"
"MIXOL L-10 - 10","mixol-l-10-10","#d76071"
"MIXOL L-10 - 4","mixol-l-10-4","#e37b8d"
"MIXOL L-10 - 2","mixol-l-10-2","#ea8fa1"
"MIXOL L-10 - 1","mixol-l-10-1","#f1a0b1"
"MIXOL L-10 - 0-2","mixol-l-10-0-2","#f9c7d1"
"MIXOL LW-11 - 10","mixol-lw-11-10","#796baf"
"MIXOL LW-11 - 4","mixol-lw-11-4","#9587c7"
