"2400 NA","2400-na","#f9f5d3"
"2401 NA","2401-na","#f9edb4"
"2402 NA","2402-na","#fbe7a4"
"2403 NA","2403-na","#f9ebab"
"2404 NA","2404-na","#f9e781"
"2405 NA","2405-na","#f7dc71"
"2406 NA","2406-na","#f8eb96"
"2407 NA-C","2407-na-c","#f6e270"
"2408 NA-C","2408-na-c","#f6dc57"
"2409 NA","2409-na","#f6db82"
"2410 NA","2410-na","#f5d069"
"2411 NA","2411-na","#f3c756"
"2412 NA","2412-na","#f4e5bb"
"2413 NA","2413-na","#fae2ab"
"2414 NA","2414-na","#f7cd64"
"2415 NA","2415-na","#f6eab8"
"2416 NA","2416-na","#f6db8e"
"2417 NA","2417-na","#f3c055"
"2418 NA","2418-na","#f9e6b9"
"2419 NA","2419-na","#f9da99"
"2420 NA-C","2420-na-c","#eeb556"
"2421 NA","2421-na","#f7d299"
"2422 NA","2422-na","#f9d07a"
"2423 NA","2423-na","#f5c770"
"2424 NA","2424-na","#f6cc83"
"2425 NA","2425-na","#eeba78"
"2426 NA","2426-na","#f0b474"
"2427 NA","2427-na","#f8cd94"
"2428 NA","2428-na","#ecad63"
"2429 NA","2429-na","#e29150"
"2430 NA","2430-na","#f6d3b0"
"2431 NA","2431-na","#e8a671"
"2432 NA","2432-na","#dc8855"
"2433 NA","2433-na","#f9e2c5"
"2434 NA","2434-na","#f6bb95"
"2435 NA","2435-na","#f7a469"
"2436 NA","2436-na","#f8d8c2"
"2437 NA","2437-na","#f6ba9f"
"2438 NA","2438-na","#d78d66"
"2439 NA","2439-na","#fcd4c3"
"2440 NA","2440-na","#f9b9a5"
"2441 NA","2441-na","#ef9371"
"2442 NA","2442-na","#edc2b4"
"2443 NA","2443-na","#e5b4ab"
"2444 NA","2444-na","#dfa999"
"2445 NA","2445-na","#fbcbb4"
"2446 NA","2446-na","#e4ab94"
"2447 NA","2447-na","#d49783"
"2448 NA","2448-na","#f2b997"
"2449 NA","2449-na","#f3b390"
"2450 NA","2450-na","#f3b496"
"2451 NA","2451-na","#f6d1bb"
"2452 NA","2452-na","#efaa89"
"2453 NA","2453-na","#e48a68"
"2454 NA","2454-na","#f0a280"
"2455 NA","2455-na","#ed9972"
"2456 NA","2456-na","#e99867"
"2457 NA","2457-na","#f1a68f"
"2458 NA","2458-na","#db9073"
"2459 NA","2459-na","#de8970"
"2460 NA","2460-na","#d97d60"
"2461 NA","2461-na","#d97457"
"2462 NA","2462-na","#cc7355"
"2463 NA","2463-na","#edafa1"
"2464 NA","2464-na","#e58a7d"
