"Black Box","MP33758","#0a1b20"
"Black Chasm","MP28560","#0a1a20"
"Black Indigo","MP33764","#0a191e"
"Black is Back","MP59647","#0b1013"
"Black Magic","MP32156","#0a1013"
"Black Mamba","MP25595","#161f24"
"Black Stallion","MP33653","#091012"
"Black Umber","MP30116","#191412"
"Blackguard","MP33759","#232220"
"Blackstone","MP33348","#1f1e1c"
"Draconia","MP40821","#192021"
"Ebony King","MP30914","#141f1f"
"Onyx","MP31846","#1b1513"
"Twilight Zone","MP33260","#161614"
"Vine Charcoal","MP42359","#1e2223"
"Wells Fargo Black","MP26309","#081111"
"Amethyst Met.","MP22022","#624ba0"
"Andromeda Blue Met.","MP22028","#00354b"
"Aquateal met.","MP21999","#488386"
"Aubertite Blue Met.","MP27145","#86b7b3"
"Aura Blue Met.","MP25401","#004e66"
"Bally Blue Met.","MP41755","#3b4f8e"
"Black N Blue Met.","MP22005","#130e29"
"Blackberry Met.","MP22021","#1c1027"
"Blue Abyss Met.","MP22008","#131834"
"Blue Jade Met.","MP22004","#63a6ae"
"Breyer Blue Met.","MP19843","#00526d"
"Brina Blue Met.","MP22085","#c7cbd0"
"Cabochon Blue Met.","MP28161","#003e55"
"Carib Blue Met.","MP25405","#004157"
"Celestine Blue Met.","MP32683","#91b7c2"
"Cenere Blue Met.","MP22031","#4b516c"
"Chakra Blue Met.","MP25373","#273974"
"Champenoise Blue Met.","MP22088","#a4b0b1"
"China Blue Met.","MP22029","#00425a"
"Cuda Plum Met.","MP22023","#9b8bdb"
"Cygnus Blue Met.","MP22030","#06283d"
"Dark Matter Blue Met.","MP22027","#012c3e"
"Dark Sea Green Met.","MP26867","#538d91"
"Deepwater Blue Met.","MP21997","#003f52"
"Electric Blue Met.","MP21994","#005b79"
"Emerald Teal Met.","MP25406","#004053"
"Faerie Blue Met.","MP18124","#a0bdd2"
"Floe Blue Met.","MP25362","#aeacbe"
"Gelee Blue Met.","MP22078","#a29faf"
"Glacon Blue Met.","MP22090","#95adb1"
"Groovy Blue Met.","MP26171","#473485"
"Humo Blue Met.","MP27858","#6c87b9"
"Indigo Blue Met.","MP21992","#052c49"
"Lauderdale Blue Met.","MP25398","#308a94"
"Lavender Blue Met.","MP22010","#7f7d8d"
"Legend Blue Met.","MP22001","#003b4f"
"Marine Blue Met.","MP21993","#004661"
"Med. Gulf Blue Met.","MP34865","#004862"
"Midnite Blue Met.","MP21989","#0c243e"
"Mysteria Blue Met.","MP23002","#9992a7"
"Newport Blue Met.","MP21990","#004f6a"
"Pacific Blue Met.","MP22000","#5f9497"
"Panama Blue Met.","MP22003","#125d73"
"Passione Blue Met.","MP26181","#704a98"
"Pastello Blue Met.","MP22087","#849697"
"Pharaohs Blue Met.","MP23003","#a896eb"
"Phlox Blue Met.","MP22026","#8a7b90"
"Regal Blue Met.","MP22009","#56699b"
"Romanov Blue Met.","MP17314","#15183c"
"Royal Robe Met.","MP22024","#0e193c"
"Silver Blue Met.","MP23839","#8e96a2"
"Sleek Blue Met.","MP27188","#66afaf"
"Smooth Teal Met.","MP23561","#5d8d85"
"Tahiti Blue Met.","MP21991","#266986"
"Tetra Blue Met.","MP22007","#647eb9"
"Trillium Blue Met.","MP22025","#6f4ba9"
"Ultra Blue Met.","MP22006","#43518f"
"Violetta Frost Met.","MP22083","#c7b8c4"
"Violette Blue Met.","MP25353","#c3b4c2"
"Alhambra Mosaic Blue","MP11430","#464e8c"
"Alpine Sky Blue","MP357","#8cc0d5"
"Ameritech Blue","MP2171","#283e77"
"Amsterdam Blue","MP959","#5b6e89"
"Amulet Blue","MP2643","#5b6890"
"Anas Teal","MP12026","#006081"
"Anil Blue","MP4526","#1d1a44"
"Antwerp Blue","MP3362","#6b6a74"
"Aquagris","MP3559","#6b898c"
"Aquarious Blue","MP1063","#0084b6"
"Aquavert","MP2370","#006d95"
"Arles In Blue","MP6163","#4d6c7f"
"Asgard Wall","MP5480","#6c6a7c"
"Auckland Azure","MP8975","#7cbac9"
"Azulado","MP906","#1e1a42"
"Azureno","MP3427","#96a5d8"
"Azurine","MP970","#d5d2e7"
"Baby Boy Blue","MP344","#a3bbdb"
"Babylon Blue","MP5037","#5b4d65"
"Baffin Blue","MP8972","#aecfd4"
"Balinese Atoll","MP946","#00709b"
"Bambino Blue","MP7797","#a5bfd2"
"Bayville Blue","MP7965","#7facb0"
"Beale Street Blues","MP13702","#303759"
"Beethoven Blue","MP2356","#7385a1"
"Belize Blue","MP359","#27588b"
"Bering Straits Sky","MP955","#c6cfd8"
"Berries","MP5783","#a8c3c9"
"Blue Abyss","MP2103","#1d1a44"
"Blue And Grey","MP4510","#797b89"
"Blue Bangle","MP14188","#2e4672"
"Blue Bike","MP11976","#272362"
"Blue Bottom","MP4105","#004f6f"
"Blue Brigantine","MP4518","#41576b"
"Blue Chic","MP5878","#c0ccd5"
"Blue Collar","MP9460","#455c84"
"Blue Dandy","MP4348","#356b92"
"Blue Eyed Mary","MP7292","#7e7e90"
"Blue Fang","MP3341","#93939b"
"Blue Flag","MP1992","#446b91"
"Blue Frit","MP11988","#5f6585"
"Blue Funk","MP2098","#374f75"
"Blue Glass","MP340","#2c0060"
"Blue Hawaii","MP13728","#00618f"
"Blue Lead","MP6059","#5e6881"
"Blue Lightening","MP2625","#4875a2"
"Blue Nose","MP7455","#7993b3"
"Blue On Violet","MP9130","#37327d"
"Blue Period","MP4520","#4f6f8b"
"Blue Polo","MP14112","#37324e"
"Blue Ribbon","MP5080","#140043"
"Blue Specter","MP6984","#98bfc9"
"Blue Truth","MP5488","#4c7286"
"Blue Valley","MP8065","#667490"
"Blue Veil","MP7922","#ebede5"
"Blue Wonder","MP9971","#3a415b"
"Blues News","MP5040","#00668d"
"Blurple Haze","MP721","#938f9e"
"Bobby Blue","MP1816","#73c2cf"
"Brewster Blue","MP6785","#bebdd3"
"Brezo Blue","MP2844","#6c6290"
"Brindisi Blue","MP4832","#37547e"
"Brittany Blue","MP2641","#2e6972"
"Bushmans Bluey","MP9963","#38728a"
"Calm Blue","MP894","#bac3eb"
"Camille Blue","MP2896","#50a5c9"
"Candy Blue","MP4435","#626389"
"Captain Blue","MP5149","#507189"
"Castaway Blue","MP6783","#74aec7"
"Celeste","MP6855","#ddf4f5"
"Cerulean","MP7837","#aed6d8"
"Ceylon Sapphire","MP8426","#25467c"
"Ciel Bleu","MP4721","#49a1bc"
"Cloister","MP11713","#005a78"
"Coal Blue","MP11611","#5a6d87"
"Commelina Blue","MP67","#b7d4d8"
"Cook Islands Blue","MP2110","#2d3d6f"
"Copenhagen","MP2514","#56a3b4"
"Copenhagen Blue","MP958","#87a1b3"
"Cornwall Blue","MP965","#7084a9"
"Countrified Blue","MP2965","#9abed0"
"Cruiseliner Blue","MP8072","#1e0d4f"
"Cuernavaca Blue","MP2169","#1e185c"
