"multi-fix 5001 G","multi-fix-5001-g","#f6f6f6"
"multi-fix 5002 G","multi-fix-5002-g","#faea37"
"multi-fix 5003 G","multi-fix-5003-g","#ffb400"
"multi-fix 5004 G","multi-fix-5004-g","#f35d12"
"multi-fix 5005 G","multi-fix-5005-g","#c92d15"
"multi-fix 5007 G","multi-fix-5007-g","#ac0918"
"multi-fix 5021 G","multi-fix-5021-g","#681b24"
"multi-fix 5019 G","multi-fix-5019-g","#61cebd"
"multi-fix 5008 G","multi-fix-5008-g","#8bd039"
"multi-fix 5009 G","multi-fix-5009-g","#008959"
"multi-fix 5020 G","multi-fix-5020-g","#004e2c"
"multi-fix 5010 G","multi-fix-5010-g","#009ed5"
"multi-fix 5016 G","multi-fix-5016-g","#0080b8"
"multi-fix 5011 G","multi-fix-5011-g","#004d85"
"multi-fix 5017 G","multi-fix-5017-g","#223784"
"multi-fix 5018 G","multi-fix-5018-g","#223861"
"multi-fix 5022 G","multi-fix-5022-g","#72397e"
"multi-fix 5023 G","multi-fix-5023-g","#c63e81"
"multi-fix 5015 G","multi-fix-5015-g","#7d878e"
"multi-fix 5012 G","multi-fix-5012-g","#62676a"
"multi-fix 5013 G","multi-fix-5013-g","#442c1f"
"multi-fix 5014 G","multi-fix-5014-g","#0f1114"
"multi-fix 5070 G","multi-fix-5070-g","#98cceb"
"multi-fix 5071 G","multi-fix-5071-g","#00a599"
"multi-fix 5072 G","multi-fix-5072-g","#009c9f"
"multi-fix 5073 G","multi-fix-5073-g","#a83a5f"
"multi-fix 5074 G","multi-fix-5074-g","#8c3878"
"multi-fix 5075 G","multi-fix-5075-g","#f58cbf"
"multi-fix 5076 G","multi-fix-5076-g","#c19dc7"
"multi-fix 5077 G","multi-fix-5077-g","#dbc8a7"
"multi-fix 5026 M","multi-fix-5026-m","#fefdfd"
"multi-fix 5027 M","multi-fix-5027-m","#fce638"
"multi-fix 5038 M","multi-fix-5038-m","#ffc624"
"multi-fix 5028 M","multi-fix-5028-m","#ffb62e"
"multi-fix 5029 M","multi-fix-5029-m","#cd493f"
"multi-fix 5030 M","multi-fix-5030-m","#c33d42"
"multi-fix 5031 M","multi-fix-5031-m","#8dd24a"
"multi-fix 5037 M","multi-fix-5037-m","#348d4c"
"multi-fix 5032 M","multi-fix-5032-m","#008f66"
"multi-fix 5046 M","multi-fix-5046-m","#00a0cd"
"multi-fix 5045 M","multi-fix-5045-m","#2e88bb"
"multi-fix 5044 M","multi-fix-5044-m","#0075a7"
"multi-fix 5033 M","multi-fix-5033-m","#235c8e"
"multi-fix 5043 M","multi-fix-5043-m","#375186"
"multi-fix 5042 M","multi-fix-5042-m","#39456a"
"multi-fix 5040 M","multi-fix-5040-m","#cbc7c2"
"multi-fix 5041 M","multi-fix-5041-m","#a4a3a0"
"multi-fix 5034 M","multi-fix-5034-m","#6e7273"
"multi-fix 5035 M","multi-fix-5035-m","#534139"
"multi-fix 5036 M","multi-fix-5036-m","#3e3e3f"
"multi-fix 5050 M","multi-fix-5050-m","#6cd2c3"
"multi-fix 5051 M","multi-fix-5051-m","#2c624d"
"multi-fix 5052 M","multi-fix-5052-m","#cf578d"
"multi-fix 5053 M","multi-fix-5053-m","#794548"
"multi-fix 7001 G","multi-fix-7001-g","#f7f6f7"
"multi-fix 7002 G","multi-fix-7002-g","#ffbc00"
"multi-fix 7003 G","multi-fix-7003-g","#c42416"
"multi-fix 7004 G","multi-fix-7004-g","#ac0d1a"
"multi-fix 7005 G","multi-fix-7005-g","#41a300"
"multi-fix 7006 G","multi-fix-7006-g","#009559"
"multi-fix 7007 G","multi-fix-7007-g","#00502c"
"multi-fix 7008 G","multi-fix-7008-g","#009ad1"
"multi-fix 7009 G","multi-fix-7009-g","#005499"
"multi-fix 7010 G","multi-fix-7010-g","#0d3474"
"multi-fix 7011 G","multi-fix-7011-g","#9f9f9b"
"multi-fix 7012 G","multi-fix-7012-g","#606466"
"multi-fix 7013 G","multi-fix-7013-g","#0a0c0d"
"multi-fix 7014 G","multi-fix-7014-g","#929495"
"multi-fix 7015 G","multi-fix-7015-g","#927e51"
"multi-fix 7030 G","multi-fix-7030-g","#ffe400"
"multi-fix 7031 G","multi-fix-7031-g","#ef6000"
"multi-fix 7032 G","multi-fix-7032-g","#be256c"
"multi-fix 7033 G","multi-fix-7033-g","#3fd0b0"
"multi-fix 7034 G","multi-fix-7034-g","#009fa1"
"multi-fix 7035 G","multi-fix-7035-g","#623d98"
"multi-fix 7036 G","multi-fix-7036-g","#402819"
"multi-fix 7037 G","multi-fix-7037-g","#cf3911"
"multi-fix 7038 G","multi-fix-7038-g","#00793d"
"multi-fix 7039 G","multi-fix-7039-g","#0065a8"
"multi-fix 716 GL","multi-fix-716-gl","#fff8e9"
"multi-fix 717 GL","multi-fix-717-gl","#aa8b7e"
"multi-fix 718 GL","multi-fix-718-gl","#fff2a6"
"multi-fix 719 GL","multi-fix-719-gl","#827e22"
"multi-fix 720 GL","multi-fix-720-gl","#705499"
"multi-fix 721 GL","multi-fix-721-gl","#00b5b7"
"multi-fix 722 GL","multi-fix-722-gl","#52fc8c"
"multi-fix 723 GL","multi-fix-723-gl","#94a49e"
"multi-fix 724 MI","multi-fix-724-mi","#36393d"
"multi-fix 725 MI","multi-fix-725-mi","#544b37"
"multi-fix 603 FL","multi-fix-603-fl","#db4096"
"multi-fix 604 FL","multi-fix-604-fl","#eef800"
"multi-fix 605 FL","multi-fix-605-fl","#ff3737"
"multi-fix 606 FL","multi-fix-606-fl","#00cd00"
