"Munsell 2-5R 9-2","munsell-2-5r-9-2","#f7e6e4"
"Munsell 2-5R 8-2","munsell-2-5r-8-2","#dbcac8"
"Munsell 2-5R 7-2","munsell-2-5r-7-2","#bfaeac"
"Munsell 2-5R 6-2","munsell-2-5r-6-2","#a89291"
"Munsell 2-5R 5-2","munsell-2-5r-5-2","#8c7879"
"Munsell 2-5R 4-2","munsell-2-5r-4-2","#745d5e"
"Munsell 2-5R 3-2","munsell-2-5r-3-2","#594143"
"Munsell 2-5R 2-2","munsell-2-5r-2-2","#412b2f"
"Munsell 2-5R 8-4","munsell-2-5r-8-4","#efc5c3"
"Munsell 2-5R 7-4","munsell-2-5r-7-4","#d1a8a7"
"Munsell 2-5R 6-4","munsell-2-5r-6-4","#b78b8d"
"Munsell 2-5R 5-4","munsell-2-5r-5-4","#9d7476"
"Munsell 2-5R 4-4","munsell-2-5r-4-4","#82595c"
"Munsell 2-5R 3-4","munsell-2-5r-3-4","#683c41"
"Munsell 2-5R 2-4","munsell-2-5r-2-4","#49262e"
"Munsell 2-5R 8-6","munsell-2-5r-8-6","#fbb9b9"
"Munsell 2-5R 7-6","munsell-2-5r-7-6","#dfa1a1"
"Munsell 2-5R 6-6","munsell-2-5r-6-6","#c58487"
"Munsell 2-5R 5-6","munsell-2-5r-5-6","#a86c70"
"Munsell 2-5R 4-6","munsell-2-5r-4-6","#8b4e55"
"Munsell 2-5R 3-6","munsell-2-5r-3-6","#73353e"
"Munsell 2-5R 2-6","munsell-2-5r-2-6","#562030"
"Munsell 2-5R 7-8","munsell-2-5r-7-8","#ee9b9c"
"Munsell 2-5R 6-8","munsell-2-5r-6-8","#ce7e82"
"Munsell 2-5R 5-8","munsell-2-5r-5-8","#b5656d"
"Munsell 2-5R 4-8","munsell-2-5r-4-8","#984852"
"Munsell 2-5R 3-8","munsell-2-5r-3-8","#7c2e3d"
"Munsell 2-5R 2-8","munsell-2-5r-2-8","#55192d"
"Munsell 2-5R 6-10","munsell-2-5r-6-10","#dc777f"
"Munsell 2-5R 5-10","munsell-2-5r-5-10","#c05b66"
"Munsell 2-5R 4-10","munsell-2-5r-4-10","#a23f4f"
"Munsell 2-5R 3-10","munsell-2-5r-3-10","#832139"
"Munsell 2-5R 6-12","munsell-2-5r-6-12","#e66d78"
"Munsell 2-5R 5-12","munsell-2-5r-5-12","#cd5263"
"Munsell 2-5R 4-12","munsell-2-5r-4-12","#ab334c"
"Munsell 2-5R 5-14","munsell-2-5r-5-14","#d1445c"
"Munsell 2-5R 4-14","munsell-2-5r-4-14","#b8244a"
"Munsell 5R 9-1","munsell-5r-9-1","#f0e4e0"
"Munsell 5R 8-1","munsell-5r-8-1","#d2c7c5"
"Munsell 5R 7-1","munsell-5r-7-1","#b9aea8"
"Munsell 5R 6-1","munsell-5r-6-1","#a29291"
"Munsell 5R 5-1","munsell-5r-5-1","#857777"
"Munsell 5R 4-1","munsell-5r-4-1","#6b5c5c"
"Munsell 5R 3-1","munsell-5r-3-1","#514444"
"Munsell 5R 2-1","munsell-5r-2-1","#3b3030"
"Munsell 5R 9-2","munsell-5r-9-2","#f6e3df"
"Munsell 5R 8-2","munsell-5r-8-2","#dbc8c6"
"Munsell 5R 7-2","munsell-5r-7-2","#c0aaa7"
"Munsell 5R 6-2","munsell-5r-6-2","#a98f8e"
"Munsell 5R 5-2","munsell-5r-5-2","#8c7674"
"Munsell 5R 4-2","munsell-5r-4-2","#755b5b"
"Munsell 5R 3-2","munsell-5r-3-2","#5d4342"
"Munsell 5R 2-2","munsell-5r-2-2","#422d2f"
"Munsell 5R 8-4","munsell-5r-8-4","#efbeba"
"Munsell 5R 7-4","munsell-5r-7-4","#d1a5a3"
"Munsell 5R 6-4","munsell-5r-6-4","#b48785"
"Munsell 5R 5-4","munsell-5r-5-4","#9a6f6d"
"Munsell 5R 4-4","munsell-5r-4-4","#825453"
"Munsell 5R 3-4","munsell-5r-3-4","#673c3c"
"Munsell 5R 2-4","munsell-5r-2-4","#4b272c"
"Munsell 5R 8-6","munsell-5r-8-6","#fdb8b3"
"Munsell 5R 7-6","munsell-5r-7-6","#e09e9b"
"Munsell 5R 6-6","munsell-5r-6-6","#c68382"
"Munsell 5R 5-6","munsell-5r-5-6","#a96967"
"Munsell 5R 4-6","munsell-5r-4-6","#8f4e4d"
"Munsell 5R 3-6","munsell-5r-3-6","#723539"
"Munsell 5R 2-6","munsell-5r-2-6","#541f28"
"Munsell 5R 7-8","munsell-5r-7-8","#f09796"
"Munsell 5R 6-8","munsell-5r-6-8","#d27b7a"
"Munsell 5R 5-8","munsell-5r-5-8","#b2605f"
"Munsell 5R 4-8","munsell-5r-4-8","#9a4647"
"Munsell 5R 3-8","munsell-5r-3-8","#7c2b31"
"Munsell 5R 2-8","munsell-5r-2-8","#571927"
"Munsell 5R 7-10","munsell-5r-7-10","#fd8d8d"
"Munsell 5R 6-10","munsell-5r-6-10","#de7373"
"Munsell 5R 5-10","munsell-5r-5-10","#c05959"
"Munsell 5R 4-10","munsell-5r-4-10","#a33e41"
"Munsell 5R 3-10","munsell-5r-3-10","#821e2a"
"Munsell 5R 6-12","munsell-5r-6-12","#ea6a6c"
"Munsell 5R 5-12","munsell-5r-5-12","#c84b4f"
"Munsell 5R 4-12","munsell-5r-4-12","#a9323b"
"Munsell 5R 5-14","munsell-5r-5-14","#d5434e"
"Munsell 5R 4-14","munsell-5r-4-14","#b22536"
"Munsell 7-5R 9-2","munsell-7-5r-9-2","#fae7e0"
