"Blast-Off Blue","blast-off-blue","#4c6393"
"Celestial Blue","celestial-blue","#3697ae"
"Cosmic Orange","cosmic-orange","#ff8c40"
"Eclipse Black","eclipse-black","#3f3831"
"Fireball Fuchsia","fireball-fuchsia","#ff3c9c"
"Galaxy Gold","galaxy-gold","#ffac00"
"Gamma Green","gamma-green","#3c9e56"
"Gravity Grape","gravity-grape","#8a6c9e"
"Lift-Off Lemon","lift-off-lemon","#fffa3c"
"Lunar Blue","lunar-blue","#64b9bc"
"Martian Green","martian-green","#98de5a"
"Orbit Orange","orbit-orange","#f86129"
"Outrageous Orchid","outrageous-orchid","#d573af"
"Planetary Purple","planetary-purple","#b9719e"
"Re-Entry Red","re-entry-red","#db3b4a"
"Plasma Pink","plasma-pink","#ff567c"
"Pulsar Pink","pulsar-pink","#ff80a4"
"Rocket Red","rocket-red","#ff5e63"
"Solar Yellow","solar-yellow","#ffd000"
"Sunburst Yellow","sunburst-yellow","#ffd000"
"Terra Green","terra-green","#bdd832"
"Terrestrial Teal","terrestrial-teal","#27a89a"
"Venus Violet","venus-violet","#867bc6"
"Vulcan Green","vulcan-green","#bce844"
"Natural Felt","natural-felt","#e9eac2"
"Aged Felt","aged-felt","#ecdda4"
"Ancient Gold Felt","ancient-gold-felt","#fcf195"
"Sand Felt","sand-felt","#efdcaa"
"Shell Felt","shell-felt","#fde0dc"
"Blue Felt","blue-felt","#d8f0e6"
"Celadon Felt","celadon-felt","#e8fec4"
"Gray Felt","gray-felt","#e8f4d8"
"Natural Felt","natural-felt","#e9eac2"
"Aged Felt","aged-felt","#ecdda4"
"Ancient Gold Felt","ancient-gold-felt","#fcf195"
"Sand Felt","sand-felt","#efdcaa"
"Shell Felt","shell-felt","#fde0dc"
"Blue Felt","blue-felt","#d8f0e6"
"Celadon Felt","celadon-felt","#e8fec4"
"Gray Felt","gray-felt","#e8f4d8"
"Neenah Baronial Ivory","baronial-ivory","#fffac2"
