"E1-1","e1-1","#e2c6cf"
"E1-2","e1-2","#d5afc3"
"E1-3","e1-3","#cda2b9"
"E1-4","e1-4","#ae7994"
"E1-5","e1-5","#99627d"
"E1-6","e1-6","#e4cacf"
"E1-7","e1-7","#dcb7c4"
"E1-8","e1-8","#d5adbc"
"E1-9","e1-9","#b07a8d"
"E1-10","e1-10","#a16578"
"E1-11","e1-11","#decccf"
"E1-12","e1-12","#d9c2ca"
"E1-13","e1-13","#bda1ad"
"E1-14","e1-14","#927680"
"E1-15","e1-15","#7b626b"
"E1-16","e1-16","#dbd5dd"
"E1-17","e1-17","#c9c3cf"
"E1-18","e1-18","#aca2b5"
"E1-19","e1-19","#83798c"
"E1-20","e1-20","#6b6072"
"E1-21","e1-21","#f4d5d8"
"E1-22","e1-22","#f1c7d2"
"E1-23","e1-23","#e9b9c7"
"E1-24","e1-24","#c37888"
"E1-25","e1-25","#c26b7c"
"E1-26","e1-26","#f4e1e3"
"E1-27","e1-27","#e6c0ce"
"E1-28","e1-28","#c78ea7"
"E1-29","e1-29","#a56a7c"
"E1-30","e1-30","#93626e"
"E1-31","e1-31","#dcc1c6"
"E1-32","e1-32","#c8a5ae"
"E1-33","e1-33","#a4717f"
"E1-34","e1-34","#956a73"
"E1-35","e1-35","#805d64"
"E1-36","e1-36","#d5cfd0"
"E1-37","e1-37","#bfb6bc"
"E1-38","e1-38","#a69ca5"
"E1-39","e1-39","#7b6f77"
"E1-40","e1-40","#6a5e65"
"E1-41","e1-41","#f9e0e2"
"E1-42","e1-42","#fad4d7"
"E1-43","e1-43","#f2b5bf"
"E1-44","e1-44","#e98c9d"
"E1-45","e1-45","#ba6770"
"E1-46","e1-46","#f6d1d5"
"E1-47","e1-47","#e9b6c0"
"E1-48","e1-48","#e3a4ae"
"E1-49","e1-49","#cd7985"
"E1-50","e1-50","#c0636d"
"E1-51","e1-51","#ebccce"
"E1-52","e1-52","#e5c1c2"
"E1-53","e1-53","#d19ea2"
"E1-54","e1-54","#b07877"
"E1-55","e1-55","#865955"
"E1-56","e1-56","#dac9c6"
"E1-57","e1-57","#ccb7b5"
"E1-58","e1-58","#b49896"
"E1-59","e1-59","#937470"
"E1-60","e1-60","#806058"
"E2-1","e2-1","#f8e1df"
"E2-2","e2-2","#f6c8cd"
"E2-3","e2-3","#f0adb9"
"E2-4","e2-4","#e27a85"
"E2-5","e2-5","#d46166"
"E2-6","e2-6","#f7d4d3"
"E2-7","e2-7","#f4c1bf"
"E2-8","e2-8","#e59d9c"
"E2-9","e2-9","#ca7170"
"E2-10","e2-10","#c25f59"
"E2-11","e2-11","#efd5d5"
"E2-12","e2-12","#eac3c7"
"E2-13","e2-13","#dda5a8"
"E2-14","e2-14","#bf797d"
"E2-15","e2-15","#ab6367"
"E2-16","e2-16","#e2d4d3"
"E2-17","e2-17","#dccecc"
"E2-18","e2-18","#b59d9e"
"E2-19","e2-19","#8d7270"
"E2-20","e2-20","#84635e"
"E2-21","e2-21","#f8dcd9"
"E2-22","e2-22","#fac7c7"
"E2-23","e2-23","#f9b1b1"
"E2-24","e2-24","#ee837f"
"E2-25","e2-25","#e6655d"
"E2-26","e2-26","#f8d0cf"
"E2-27","e2-27","#f6babb"
"E2-28","e2-28","#eea4a8"
"E2-29","e2-29","#dd7c7d"
"E2-30","e2-30","#d96965"
"E2-31","e2-31","#f0d1c9"
"E2-32","e2-32","#e9c1b8"
"E2-33","e2-33","#c28a7f"
"E2-34","e2-34","#a96a60"
"E2-35","e2-35","#95655c"
"E2-36","e2-36","#e3d1ca"
"E2-37","e2-37","#b39892"
"E2-38","e2-38","#8d6f68"
"E2-39","e2-39","#7c645c"
"E2-40","e2-40","#604a42"
"E2-41","e2-41","#fad4d0"
"E2-42","e2-42","#fcafac"
"E2-43","e2-43","#f78980"
"E2-44","e2-44","#f07364"
"E2-45","e2-45","#c94c38"
"E2-46","e2-46","#f7c6c3"
"E2-47","e2-47","#f3b2ad"
"E2-48","e2-48","#e68d85"
"E2-49","e2-49","#dc7162"
"E2-50","e2-50","#b94939"
"E2-51","e2-51","#f6d4d0"
"E2-52","e2-52","#f0b5b2"
"E2-53","e2-53","#db8683"
"E2-54","e2-54","#bc6056"
"E2-55","e2-55","#8f5146"
"E2-56","e2-56","#d8c4bd"
"E2-57","e2-57","#bb978f"
