"200- 1-1","200-1-1","#f4d500"
"205- 1-1","205-1-1","#f7c800"
"210- 1-1","210-1-1","#dd4d34"
"215- 1-1","215-1-1","#bd3230"
"220- 1-1","220-1-1","#a43649"
"225- 1-1","225-1-1","#922c49"
"200- 1-10","200-1-10","#e4e869"
"205- 1-10","205-1-10","#e7d028"
"210- 1-10","210-1-10","#f26f44"
"215- 1-10","215-1-10","#d64c5a"
"220- 1-10","220-1-10","#c86597"
"225- 1-10","225-1-10","#d77fbc"
"230- 1-1","230-1-1","#41364d"
"235- 1-1","235-1-1","#403e42"
"240- 1-1","240-1-1","#4167d3"
"245- 1-1","245-1-1","#30426a"
"250- 1-1","250-1-1","#0873b5"
"255- 1-1","255-1-1","#2e6e7e"
"230- 1-10","230-1-10","#876ab7"
"235- 1-10","235-1-10","#646e8d"
"240- 1-10","240-1-10","#83a8eb"
"245- 1-10","245-1-10","#008ec5"
"250- 1-10","250-1-10","#339ad7"
"255- 1-10","255-1-10","#1093a7"
"260- 1-1","260-1-1","#006951"
"265- 1-1","265-1-1","#1b633e"
"270- 1-1","270-1-1","#374f3c"
"275- 1-1","275-1-1","#587554"
"280- 1-1","280-1-1","#1b8a41"
"285- 1-1","285-1-1","#d2903c"
"260- 1-10","260-1-10","#00b697"
"265- 1-10","265-1-10","#4a9b5a"
"270- 1-10","270-1-10","#6f9269"
"275- 1-10","275-1-10","#89a383"
"280- 1-10","280-1-10","#57b261"
"285- 1-10","285-1-10","#e6ab56"
"290- 1-1","290-1-1","#b25e3d"
"295- 1-1","295-1-1","#854439"
"300- 1-1","300-1-1","#574d46"
"305- 1-1","305-1-1","#5f5147"
"310- 1-1","310-1-1","#5d443e"
"315- 1-1","315-1-1","#3e3d3e"
"290- 1-10","290-1-10","#db844f"
"295- 1-10","295-1-10","#a75c52"
"300- 1-10","300-1-10","#887269"
"305- 1-10","305-1-10","#836553"
"310- 1-10","310-1-10","#825a59"
"315- 1-10","315-1-10","#727175"
