"Gold","gold","#bba66e"
"Silver","silver","#a9acab"
"520","520","#853e4a"
"525","525","#993f47"
"RB","rb","#c43c3b"
"530","530","#c54848"
"540","540","#cd514a"
"OB","ob","#eb613f"
"550","550","#e25e43"
"610","610","#ed7339"
"620","620","#f48e3b"
"630","630","#f6ba24"
"640","640","#ffd528"
"GB","gb","#ffce00"
"650","650","#f7ea48"
"720","720","#83b339"
"730","730","#4ebd66"
"740","740","#008659"
"750","750","#007f61"
"754","754","#339349"
"756","756","#4a8650"
"760","760","#3e604a"
"810","810","#008294"
"820","820","#00769f"
"830","830","#3472a8"
"835","835","#2c66a0"
"840","840","#3c58a8"
"BB","bb","#3f45ad"
"850","850","#40476a"
"872","872","#a25488"
"874","874","#b24b82"
"876","876","#b14670"
"910","910","#d39649"
"920","920","#a06c55"
"930","930","#6b4b49"
"940","940","#5b4d48"
"944","944","#745e4e"
"945","945","#84473f"
"950","950","#ccc1a9"
"960","960","#f0e7d4"
"Black Extra","black-extra","#393939"
"101-4","101-4","#6e6e6e"
"101-5","101-5","#7c7d7d"
"101-6","101-6","#929290"
"101-8","101-8","#b2b1ad"
"101-9","101-9","#c9c9c6"
"Chroma-Key 1027","chroma-key-1027","#3750a4"
"Chroma-Key 1030","chroma-key-1030","#489538"
"Chroma-Key 1031","chroma-key-1031","#d13c43"
"Reflex Yellow","reflex-yellow","#edff0e"
"Reflex Arc Chrome","reflex-arc-chrome","#ff9432"
"Reflex Orange","reflex-orange","#ff7546"
"Reflex Red","reflex-red","#ff5572"
"Reflex Pink","reflex-pink","#ff3785"
"Reflex Lilac","reflex-lilac","#be3982"
"Reflex Blue","reflex-blue","#008ac9"
"Reflex Green","reflex-green","#00de2c"
"Reflex White","reflex-white","#f0f1f7"
