"orchidee 1","orchidee-1","#883854"
"orchidee 2","orchidee-2","#a74a7d"
"orchidee 3","orchidee-3","#973e6a"
"orchidee 4","orchidee-4","#b3558f"
"orchidee 5","orchidee-5","#ba5c97"
"orchidee 6","orchidee-6","#cd7bb5"
"orchidee 7","orchidee-7","#c468a4"
"orchidee 8","orchidee-8","#d88fc4"
"orchidee 9","orchidee-9","#e0a3cf"
"orchidee 10","orchidee-10","#f0c7e5"
"orchidee 11","orchidee-11","#eab7dc"
"orchidee 12","orchidee-12","#f4d5ea"
"orchidee 13","orchidee-13","#f8e1ef"
"orchidee 14","orchidee-14","#f9e9f0"
"merlot 1","merlot-1","#8e4145"
"merlot 2","merlot-2","#a04f5e"
"merlot 3","merlot-3","#954751"
"merlot 4","merlot-4","#aa586c"
"merlot 5","merlot-5","#b16076"
"merlot 6","merlot-6","#c57c94"
"merlot 7","merlot-7","#b86880"
"merlot 8","merlot-8","#d290a7"
"merlot 9","merlot-9","#dda4b9"
"merlot 10","merlot-10","#edc9d7"
"merlot 11","merlot-11","#e6b8c9"
"merlot 12","merlot-12","#f3d7df"
"merlot 13","merlot-13","#f6e2e7"
"merlot 14","merlot-14","#f7e9ea"
"wood 1","wood-1","#5d4c46"
"wood 2","wood-2","#766562"
"wood 3","wood-3","#82726f"
"wood 4","wood-4","#a59794"
"wood 5","wood-5","#d1cac8"
"cramberry 1","cramberry-1","#a1383d"
"cramberry 2","cramberry-2","#b54356"
"cramberry 3","cramberry-3","#ab3b49"
"cramberry 4","cramberry-4","#c14e67"
"cramberry 5","cramberry-5","#c4526d"
"cramberry 6","cramberry-6","#d66d8c"
"cramberry 7","cramberry-7","#cc5c79"
"cramberry 8","cramberry-8","#df819f"
"cramberry 9","cramberry-9","#e896b2"
"cramberry 10","cramberry-10","#f3bdd0"
"cramberry 11","cramberry-11","#f0acc4"
"cramberry 12","cramberry-12","#f7cedb"
"cramberry 13","cramberry-13","#fbdde6"
"cramberry 14","cramberry-14","#fcecec"
"blackberry 1","blackberry-1","#503e3b"
"blackberry 2","blackberry-2","#5f454b"
"blackberry 3","blackberry-3","#5d4748"
"blackberry 4","blackberry-4","#70525c"
"blackberry 5","blackberry-5","#765863"
"blackberry 6","blackberry-6","#906d7d"
