"Oracal -10","oracal-10","#fafbfd"
"Oracal -21","oracal-21","#ffc90b"
"Oracal -30","oracal-30","#8a2a2e"
"Oracal -31","oracal-31","#b1232c"
"Oracal -32","oracal-32","#ce291b"
"Oracal -35","oracal-35","#f76605"
"Oracal -41","oracal-41","#c74182"
"Oracal -49","oracal-49","#374a8a"
"Oracal -50","oracal-50","#2f4065"
"Oracal -51","oracal-51","#005d8f"
"Oracal -52","oracal-52","#007bba"
"Oracal -53","oracal-53","#00a1d2"
"Oracal -54","oracal-54","#00ada0"
"Oracal -60","oracal-60","#304f3f"
"Oracal -61","oracal-61","#008a59"
"Oracal -64","oracal-64","#53a622"
"Oracal -88","oracal-88","#482f29"
"Oracal -70","oracal-70","#222325"
"Oracal -71","oracal-71","#777e7e"
"Oracal -72","oracal-72","#d0d3d3"
