"Oracal - 10 M weiss","oracal-10-m-weiss","#d1d2d4"
"Oracal - 20 M goldgelb","oracal-20-m-goldgelb","#bd7f23"
"Oracal - 19 M signalgelb","oracal-19-m-signalgelb","#c88e22"
"Oracal - 21 M gelb","oracal-21-m-gelb","#f5b731"
"Oracal - 22 M shellgelb","oracal-22-m-shellgelb","#f5c826"
"Oracal - 25 M schwefelgelb","oracal-25-m-schwefelgelb","#ffea37"
"Oracal - 30 M dunkelrot","oracal-30-m-dunkelrot","#984546"
"Oracal - 31 M rot","oracal-31-m-rot","#bd4046"
"Oracal - 32 M hellrot","oracal-32-m-hellrot","#d34741"
"Oracal - 47 M orangerot","oracal-47-m-orangerot","#d74e3f"
"Oracal - 34 M orange","oracal-34-m-orange","#e66044"
"Oracal - 36 M hellrotorange","oracal-36-m-hellrotorange","#f47940"
"Oracal - 35 M pastellorange","oracal-35-m-pastellorange","#ff793b"
"Oracal - 40 M violett","oracal-40-m-violett","#725380"
"Oracal - 43 M lavendel","oracal-43-m-lavendel","#8e7ab7"
"Oracal - 42 M flieder","oracal-42-m-flieder","#c9a9d1"
"Oracal - 41 M pink","oracal-41-m-pink","#d15089"
"Oracal - 45 M hellrosa","oracal-45-m-hellrosa","#f898c7"
"Oracal - 50 M dunkelblau","oracal-50-m-dunkelblau","#45506f"
"Oracal - 49 M koenigsblau","oracal-49-m-koenigsblau","#46528c"
"Oracal - 86 M brillantblau","oracal-86-m-brillantblau","#4a5bb7"
"Oracal - 57 M verkehrsblau","oracal-57-m-verkehrsblau","#2a669f"
"Oracal - 51 M enzianblau","oracal-51-m-enzianblau","#2e6691"
"Oracal - 98 M enzian","oracal-98-m-enzian","#1d72ae"
"Oracal - 52 M azurblau","oracal-52-m-azurblau","#1e82bd"
"Oracal - 53 M hellblau","oracal-53-m-hellblau","#23a5d1"
"Oracal - 56 M lichtblau","oracal-56-m-lichtblau","#67bbe2"
"Oracal - 66 M tuerkisblau","oracal-66-m-tuerkisblau","#009b9a"
"Oracal - 54 M tuerkis","oracal-54-m-tuerkis","#00b3a6"
"Oracal - 55 M mint","oracal-55-m-mint","#7edfc4"
"Oracal - 60 M dunkelgruen","oracal-60-m-dunkelgruen","#40594c"
"Oracal - 61 M gruen","oracal-61-m-gruen","#018b62"
"Oracal - 62 M hellgruen","oracal-62-m-hellgruen","#249b56"
"Oracal - 64 M gelbgruen","oracal-64-m-gelbgruen","#5aa93e"
"Oracal - 63 M lindgruen","oracal-63-m-lindgruen","#85b54d"
"Oracal - 80 M braun","oracal-80-m-braun","#5d5049"
"Oracal - 83 M haselnussbraun","oracal-83-m-haselnussbraun","#ba6d49"
"Oracal - 81 M hellbraun","oracal-81-m-hellbraun","#b69571"
"Oracal - 82 M beige","oracal-82-m-beige","#dacaac"
"Oracal - 70 M schwarz","oracal-70-m-schwarz","#414143"
"Oracal - 73 M dunkelgrau","oracal-73-m-dunkelgrau","#636464"
"Oracal - 71 M grau","oracal-71-m-grau","#8a8f90"
"Oracal - 74 M mittelgrau","oracal-74-m-mittelgrau","#999d9a"
"Oracal - 72 M hellgrau","oracal-72-m-hellgrau","#cfd2d1"
"Oracal - 90 M silbergrau","oracal-90-m-silbergrau","#bcbebf"
"Oracal - 91 M gold","oracal-91-m-gold","#bfa164"
"Oracal - 92 M kupfer","oracal-92-m-kupfer","#b28457"
