"Oracal 020 goldgelb","oracal-020-goldgelb","#ffae00"
"Oracal 219 dottergelb","oracal-219-dottergelb","#ffb500"
"Oracal 203 strohgelb","oracal-203-strohgelb","#ffc100"
"Oracal 211 sonnengelb","oracal-211-sonnengelb","#ffba00"
"Oracal 019 signalgelb","oracal-019-signalgelb","#f6af00"
"Oracal 208 postgelb","oracal-208-postgelb","#f0ac00"
"Oracal 209 maisgelb","oracal-209-maisgelb","#ffc200"
"Oracal 021 gelb","oracal-021-gelb","#ffc600"
"Oracal 216 verkehrsgelb","oracal-216-verkehrsgelb","#ffcd00"
"Oracal 022 shellgelb","oracal-022-shellgelb","#ffd300"
"Oracal 025 schwefelgelb","oracal-025-schwefelgelb","#ffed07"
"Oracal 026 purpurrot","oracal-026-purpurrot","#5d111e"
"Oracal 361 apfelrot","oracal-361-apfelrot","#82091e"
"Oracal 030 dunkelrot","oracal-030-dunkelrot","#8a131b"
"Oracal 348 scarlet red","oracal-348-scarlet-red","#990f21"
"Oracal 306 karminrot","oracal-306-karminrot","#a40006"
"Oracal 031 rot","oracal-031-rot","#b32419"
"Oracal 027 tomatenrot","oracal-027-tomatenrot","#bd1519"
"Oracal 028 kardinalrot","oracal-028-kardinalrot","#bf1d23"
"Oracal 325 mittelrot","oracal-325-mittelrot","#c42115"
"Oracal 324 blutrot","oracal-324-blutrot","#cd1810"
"Oracal 032 hellrot","oracal-032-hellrot","#ce220f"
"Oracal 326 signalrot","oracal-326-signalrot","#d32300"
"Oracal 047 orangerot","oracal-047-orangerot","#d33b0f"
"Oracal 033 rotorange","oracal-033-rotorange","#d53d11"
"Oracal 335 marsrot","oracal-335-marsrot","#e8430d"
"Oracal 333 reinorange","oracal-333-reinorange","#f55c1b"
"Oracal 034 orange","oracal-034-orange","#f25811"
"Oracal 332 tieforange","oracal-332-tieforange","#f96d00"
"Oracal 035 pastellorange","oracal-035-pastellorange","#fd6a00"
"Oracal 340 marone","oracal-340-marone","#4e1c2a"
"Oracal 048 bordeaux","oracal-048-bordeaux","#6a0c3a"
"Oracal 415 summer plum","oracal-415-summer-plum","#662a63"
"Oracal 040 violett","oracal-040-violett","#633773"
"Oracal 403 hellviolett","oracal-403-hellviolett","#604393"
"Oracal 043 lavendel","oracal-043-lavendel","#866eb8"
"Oracal 042 flieder","oracal-042-flieder","#cba8d3"
"Oracal 041 pink","oracal-041-pink","#be2a71"
"Oracal 077 telemagenta","oracal-077-telemagenta","#ca347d"
"Oracal 044 magenta","oracal-044-magenta","#df6394"
"Oracal 045 hellrosa","oracal-045-hellrosa","#f390c9"
"Oracal 532 schwarzblau","oracal-532-schwarzblau","#161e2c"
"Oracal 588 alphablau","oracal-588-alphablau","#04213b"
"Oracal 590 heidelbeerblau","oracal-590-heidelbeerblau","#151e40"
"Oracal 518 stahlblau","oracal-518-stahlblau","#142045"
"Oracal 591 mitternachtsblau","oracal-591-mitternachtsblau","#0b2c5f"
"Oracal 050 dunkelblau","oracal-050-dunkelblau","#253b68"
"Oracal 058 ultramarinblau","oracal-058-ultramarinblau","#073879"
"Oracal 537 tiefblau","oracal-537-tiefblau","#0e2862"
"Oracal 065 kobaltblau","oracal-065-kobaltblau","#18347c"
"Oracal 540 classic blau","oracal-540-classic-blau","#2d2287"
"Oracal 049 koenigsblau","oracal-049-koenigsblau","#19377f"
"Oracal 592 marineblau","oracal-592-marineblau","#233d8d"
"Oracal 593 markantblau","oracal-593-markantblau","#1d3386"
"Oracal 086 brillantblau","oracal-086-brillantblau","#324ebd"
"Oracal 536 mittelblau","oracal-536-mittelblau","#0a3b84"
"Oracal 510 clematisblau","oracal-510-clematisblau","#004695"
"Oracal 067 blau","oracal-067-blau","#005088"
"Oracal 595 blaugruen","oracal-595-blaugruen","#005e87"
"Oracal 057 verkehrsblau","oracal-057-verkehrsblau","#005a9f"
"Oracal 051 enzianblau","oracal-051-enzianblau","#0069b1"
"Oracal 509 meeresblau","oracal-509-meeresblau","#005ca3"
"Oracal 508 signalblau","oracal-508-signalblau","#006cb7"
"Oracal 052 azurblau","oracal-052-azurblau","#007dc5"
"Oracal 507 capriblau","oracal-507-capriblau","#0081c3"
"Oracal 555 gletscherblau","oracal-555-gletscherblau","#568fcf"
"Oracal 594 pastellblau","oracal-594-pastellblau","#0091c9"
"Oracal 517 euroblau","oracal-517-euroblau","#0092c7"
"Oracal 053 hellblau","oracal-053-hellblau","#00a6df"
"Oracal 056 lichtblau","oracal-056-lichtblau","#54bdea"
"Oracal 549 taubenblau","oracal-549-taubenblau","#8da4b4"
"Oracal 608 petrol","oracal-608-petrol","#006a73"
"Oracal 066 tuerkisblau","oracal-066-tuerkisblau","#009696"
"Oracal 054 tuerkis","oracal-054-tuerkis","#00afa1"
"Oracal 055 mint","oracal-055-mint","#73e6c8"
"Oracal 599 pastelltuerkis","oracal-599-pastelltuerkis","#98ebed"
"Oracal 060 dunkelgruen","oracal-060-dunkelgruen","#00552c"
"Oracal 661 blattgruen","oracal-661-blattgruen","#00552f"
"Oracal 078 laubgruen","oracal-078-laubgruen","#1b5b12"
"Oracal 617 smaragdgruen","oracal-617-smaragdgruen","#006a2b"
"Oracal 607 tuerkisgruen","oracal-607-tuerkisgruen","#007555"
"Oracal 604 kaktusgruen","oracal-604-kaktusgruen","#007e47"
"Oracal 061 gruen","oracal-061-gruen","#008248"
"Oracal 068 grasgruen","oracal-068-grasgruen","#008842"
"Oracal 619 verkehrsgruen","oracal-619-verkehrsgruen","#009a56"
"Oracal 062 hellgruen","oracal-062-hellgruen","#00983a"
"Oracal 064 gelbgruen","oracal-064-gelbgruen","#38ab0c"
"Oracal 063 lindgruen","oracal-063-lindgruen","#7dd335"
"Oracal 080 braun","oracal-080-braun","#4e2e24"
"Oracal 803 schokoladenbraun","oracal-803-schokoladenbraun","#482a1a"
"Oracal 828 erdbraun","oracal-828-erdbraun","#563a25"
"Oracal 079 rotbraun","oracal-079-rotbraun","#692b23"
"Oracal 083 haselnussbraun","oracal-083-haselnussbraun","#be6226"
"Oracal 801 lehmbraun","oracal-801-lehmbraun","#885325"
"Oracal 811 saharabeige","oracal-811-saharabeige","#bc8c52"
"Oracal 081 hellbraun","oracal-081-hellbraun","#ba8f65"
"Oracal 818 safrangelb","oracal-818-safrangelb","#f5cfa1"
"Oracal 804 beigebraun","oracal-804-beigebraun","#f6daa7"
"Oracal 023 creme","oracal-023-creme","#fff0af"
"Oracal 813 hellcreme","oracal-813-hellcreme","#ffebcb"
"Oracal 018 hellelfenbein","oracal-018-hellelfenbein","#fde9cd"
"Oracal 070 schwarz","oracal-070-schwarz","#151413"
"Oracal 720 komatsugrau","oracal-720-komatsugrau","#343739"
"Oracal 073 dunkelgrau","oracal-073-dunkelgrau","#575757"
"Oracal 713 eisengrau","oracal-713-eisengrau","#64696b"
"Oracal 071 grau","oracal-071-grau","#777a75"
"Oracal 721 schiefergrau","oracal-721-schiefergrau","#848f95"
"Oracal 076 telegrau","oracal-076-telegrau","#929698"
"Oracal 074 mittelgrau","oracal-074-mittelgrau","#9b9d99"
"Oracal 724 eisgrau","oracal-724-eisgrau","#b4b4b0"
"Oracal 072 hellgrau","oracal-072-hellgrau","#d9dad6"
"Oracal 109 hull white","oracal-109-hull-white","#f0f5f5"
"Oracal 010 weiss","oracal-010-weiss","#fefffd"
