"Oracal 810","oracal-810","#bebbac"
"Oracal 8300-25","oracal-8300-25","#ebd900"
"Oracal 8300-21","oracal-8300-21","#feb400"
"Oracal 8300-20","oracal-8300-20","#eb7800"
"Oracal 8300-34","oracal-8300-34","#f66900"
"Oracal 8300-85","oracal-8300-85","#f59da9"
"Oracal 8300-89","oracal-8300-89","#ec5e54"
"Oracal 8300-47","oracal-8300-47","#d01100"
"Oracal 8300-33","oracal-8300-33","#c90200"
"Oracal 8300-32","oracal-8300-32","#b00006"
"Oracal 8300-31","oracal-8300-31","#94000e"
"Oracal 8300-30","oracal-8300-30","#7b0013"
"Oracal 8300-41","oracal-8300-41","#bc005b"
"Oracal 8300-77","oracal-8300-77","#8d0273"
"Oracal 8300-40","oracal-8300-40","#4f0b58"
"Oracal 8300-56","oracal-8300-56","#00acd0"
"Oracal 8300-96","oracal-8300-96","#007cb5"
"Oracal 8300-53","oracal-8300-53","#0086bf"
"Oracal 8300-52","oracal-8300-52","#0073b3"
"Oracal 8300-51","oracal-8300-51","#033a9b"
"Oracal 8300-57","oracal-8300-57","#004795"
"Oracal 8300-49","oracal-8300-49","#211d84"
"Oracal 8300-54","oracal-8300-54","#00bd8c"
"Oracal 8300-63","oracal-8300-63","#5bab00"
"Oracal 8300-68","oracal-8300-68","#007500"
"Oracal 8300-61","oracal-8300-61","#007e35"
"Oracal 8300-97","oracal-8300-97","#007c55"
"Oracal 8300-60","oracal-8300-60","#003424"
"Oracal 8300-74","oracal-8300-74","#818170"
"Oracal 8300-73","oracal-8300-73","#484337"
"Oracal 8300-79","oracal-8300-79","#5b1d10"
"Oracal GDF-8510","oracal-gdf-8510","#c0bfb6"
"Oracal GDF-8510","oracal-gdf-8510","#c1b08a"
