"Oracal 201 krokusgelb","oracal-201-krokusgelb","#ffe900"
"Oracal 216 verkehrsgelb","oracal-216-verkehrsgelb","#ffcb00"
"Oracal 209 maisgelb","oracal-209-maisgelb","#ffc600"
"Oracal 219 dottergelb","oracal-219-dottergelb","#ffb800"
"Oracal 020 goldgelb","oracal-020-goldgelb","#ffb300"
"Oracal 204 melonengelb","oracal-204-melonengelb","#ffb200"
"Oracal 208 postgelb","oracal-208-postgelb","#f0ae00"
"Oracal 019 signalgelb","oracal-019-signalgelb","#ffb200"
"Oracal 817 mandel","oracal-817-mandel","#fff7e6"
"Oracal 023 creme","oracal-023-creme","#ffedaa"
"Oracal 804 beigebraun","oracal-804-beigebraun","#f9d9a8"
"Oracal 818 safrangelb","oracal-818-safrangelb","#f4cda1"
"Oracal 816 papyrus","oracal-816-papyrus","#ebd7b9"
"Oracal 341 koralle","oracal-341-koralle","#ff9580"
"Oracal 035 pastellorange","oracal-035-pastellorange","#fb6700"
"Oracal 332 tieforange","oracal-332-tieforange","#f96b00"
"Oracal 333 reinorange","oracal-333-reinorange","#f45e1b"
"Oracal 335 marsrot","oracal-335-marsrot","#d6390c"
"Oracal 326 signalrot","oracal-326-signalrot","#d22b09"
"Oracal 032 hellrot","oracal-032-hellrot","#cd1c0d"
"Oracal 324 blutrot","oracal-324-blutrot","#cd1115"
"Oracal 359 tomato","oracal-359-tomato","#c0260d"
"Oracal 031 rot","oracal-031-rot","#b4241b"
"Oracal 028 kardinalrot","oracal-028-kardinalrot","#c11422"
"Oracal 305 geranienrot","oracal-305-geranienrot","#b6131a"
"Oracal 334 feuerwehrrot","oracal-334-feuerwehrrot","#ae221c"
"Oracal 348 scarlet red","oracal-348-scarlet-red","#990e22"
"Oracal 030 dunkelrot","oracal-030-dunkelrot","#901120"
"Oracal 026 purpurrot","oracal-026-purpurrot","#62141f"
"Oracal 340 marone","oracal-340-marone","#4f1829"
"Oracal 347 red coral","oracal-347-red-coral","#e74a4b"
"Oracal 044 magenta","oracal-044-magenta","#e05e93"
"Oracal 402 zyklam","oracal-402-zyklam","#cb377f"
"Oracal 409 helllila","oracal-409-helllila","#ca99d0"
"Oracal 043 lavendel","oracal-043-lavendel","#8d74bd"
"Oracal 407 tiefviolett","oracal-407-tiefviolett","#664591"
"Oracal 415 summer plum","oracal-415-summer-plum","#672b63"
"Oracal 048 bordeaux","oracal-048-bordeaux","#6a193f"
"Oracal 549 taubenblau","oracal-549-taubenblau","#839fb0"
"Oracal 555 gletscherblau","oracal-555-gletscherblau","#588fcf"
