"201 krokusgelb","201-krokusgelb","#ebd802"
"216 verkehrsgelb","216-verkehrsgelb","#f6c200"
"209 maisgelb","209-maisgelb","#fbb900"
"219 dottergeld","219-dottergeld","#f5aa00"
"020 goldgelb","020-goldgelb","#faa300"
"204 melonengelb","204-melonengelb","#eda300"
"208 postgelb","208-postgelb","#d9a000"
"019 signalgelb","019-signalgelb","#eca600"
"817 mandel","817-mandel","#ece0d2"
"023 creme","023-creme","#eed89c"
"804 beigebraun","804-beigebraun","#e4c798"
"818 safrangelb","818-safrangelb","#debb91"
"816 papyrus","816-papyrus","#d8c8ab"
"341 koralle","341-koralle","#f28775"
"035 pastellorange","035-pastellorange","#ee6100"
"332 tieforange","332-tieforange","#e36300"
"333 reinorange","333-reinorange","#e15518"
"335 marsrot","335-marsrot","#d93e0d"
"326 signalrot","326-signalrot","#c32809"
"035 hellrot","035-hellrot","#c1210e"
"324 blutrot","324-blutrot","#c01918"
"359 tomato","359-tomato","#b1260d"
"031 rot","031-rot","#a51d18"
"028 kardinalrot","028-kardinalrot","#b30f1f"
"305 geranienrot","305-geranienrot","#a81418"
"334 feuerwehrrot","334-feuerwehrrot","#9f1f17"
"348 scarlet red","348-scarlet-red","#920f21"
"030 dunkelrot","030-dunkelrot","#871320"
"026 purpurrot","026-purpurrot","#5c131e"
"340 marone","340-marone","#4a1b28"
"347 red coral","347-red-coral","#d54244"
"044 magenta","044-magenta","#cb5485"
"402 zyklam","402-zyklam","#ad336a"
"409 helllila","409-helllila","#b78cbe"
"043 lavendel","043-lavendel","#8268ad"
"407 tiefviolett","407-tiefviolett","#5b3d84"
"415 summer plum","415-summer-plum","#5e295c"
"048 bordeaux","048-bordeaux","#621238"
"549 taubenblau","549-taubenblau","#7792a3"
"555 gletscherblau","555-gletscherblau","#4e81be"
"056 lichtblau","056-lichtblau","#52afd8"
"053 hellblau","053-hellblau","#0097cc"
"547 fjordblau","547-fjordblau","#0086bf"
"052 azurblau","052-azurblau","#0073b8"
"545 ozeanblau","545-ozeanblau","#0065a9"
"086 blillantblau","086-blillantblau","#3342ad"
"546 samtblau","546-samtblau","#194a9a"
"509 meeresblau","509-meeresblau","#005497"
"544 indigoblau","544-indigoblau","#005177"
"067 blau","067-blau","#004b7e"
"536 mittelblau","536-mittelblau","#113d7e"
"049 konigsblau","049-konigsblau","#233b7f"
"511 nachtblau","511-nachtblau","#223b7f"
"065 kobaltblau","065-kobaltblau","#1d2c6c"
"537 tiefblau","537-tiefblau","#15235a"
"050 dunkelblau","050-dunkelblau","#203965"
"564 light navy","564-light-navy","#082b4f"
"570 mooblight blue","570-mooblight-blue","#192b43"
"518 stahlblau","518-stahlblau","#191d42"
"571 mystic blue","571-mystic-blue","#0f2535"
"501 mintblau","501-mintblau","#6ed0b9"
"502 blauturkis","502-blauturkis","#009f96"
"503 wasserblau","503-wasserblau","#008d8f"
"553 lagune","553-lagune","#00859a"
"628 seegrun","628-seegrun","#007367"
"630 blaugrun","630-blaugrun","#005269"
"601 limettengrun","601-limettengrun","#82c736"
"602 grasgrun","602-grasgrun","#479e12"
"062 hellgrun","062-hellgrun","#00903a"
"619 verkehrsgrun","619-verkehrsgrun","#008d4f"
"603 mintgrun","603-mintgrun","#008451"
"604 kaktusgrun","604-kaktusgrun","#006f37"
"612 polizeigrun","612-polizeigrun","#007038"
"078 laubgrun","078-laubgrun","#165619"
"625 moosgrun","625-moosgrun","#005738"
"060 dunkelgrun","060-dunkelgrun","#004c29"
"622 tannengrun","622-tannengrun","#134228"
"635 forest green","635-forest-green","#174a40"
"820 goldbraun","820-goldbraun","#d69838"
"811 sahara beige","811-sahara-beige","#b08353"
"812 terracotta","812-terracotta","#ac5121"
"810 kakaobraun","810-kakaobraun","#54352a"
"079 rotbraun","079-rotbraun","#5f261d"
"080 braun","080-braun","#442e26"
"070 schwarz","070-schwarz","#121213"
"010 wei","010-wei","#f4f6f4"
"109 hull white","109-hull-white","#dce1e1"
"711 steingrau","711-steingrau","#c8c7c7"
"730 simple grey","730-simple-grey","#aeb1b1"
"724 eisgrau","724-eisgrau","#a7a6a2"
"074 mittelgrau","074-mittelgrau","#91928e"
