"010 wei","010-wei","#f0f3f0"
"022 shellgelb","022-shellgelb","#f9c800"
"020 goldgelb","020-goldgelb","#fba300"
"351 kommunalorange","351-kommunalorange","#f16900"
"032 hellrot","032-hellrot","#bf1f09"
"031 rot","031-rot","#a32018"
"028 kardinalrot","028-kardinalrot","#b50e1e"
"056 lichtblau","056-lichtblau","#52aed6"
"555 gletscherblau","555-gletscherblau","#4e82be"
"057 verkehrsblau","057-verkehrsblau","#005191"
"572 polizeiblau","572-polizeiblau","#00568a"
"049 konigsblau","049-konigsblau","#1e387d"
"612 polizeigrun","612-polizeigrun","#007038"
"622 tannengrun","622-tannengrun","#19402a"
"070 schwarz","070-schwarz","#101112"
"076 telegrau","076-telegrau","#85898c"
"809 taxibeige","809-taxibeige","#e6d9b6"
"090 silbergrau","090-silbergrau","#adb0b1"
"932 graphitmetallic","932-graphitmetallic","#636566"
"093 anthrazit","093-anthrazit","#3e4041"
"091 gold","091-gold","#ac955b"
"177 jachtblau","177-jachtblau","#111a36"
"026 purpurrot","026-purpurrot","#4f1320"
"711 steingrau","711-steingrau","#c4c5c4"
"070 schwarz-matt","070-schwarz-matt","#202121"
"363 daggi orange","363-daggi-orange","#cf4a00"
