"Oracal 201 krokusgelb","oracal-201-krokusgelb","#edd900"
"Oracal 202 rapsgelb","oracal-202-rapsgelb","#f2c000"
"Oracal 203 strohgelb","oracal-203-strohgelb","#f9b100"
"Oracal 204 melonengelb","oracal-204-melonengelb","#f4a500"
"Oracal 301 verkehrsorange","oracal-301-verkehrsorange","#df5e00"
"Oracal 302 blumenrot","oracal-302-blumenrot","#c42a13"
"Oracal 303 blutrot","oracal-303-blutrot","#c22005"
"Oracal 304 feuerrot","oracal-304-feuerrot","#bb2611"
"Oracal 305 geranienrot","oracal-305-geranienrot","#9e1517"
"Oracal 306 karminrot","oracal-306-karminrot","#98000f"
"Oracal 307 braunrot","oracal-307-braunrot","#7b1e23"
"Oracal 308 weinrot","oracal-308-weinrot","#611625"
"Oracal 402 zyklam","oracal-402-zyklam","#b72963"
"Oracal 403 hellviolett","oracal-403-hellviolett","#5b388e"
"Oracal 601 limettengruen","oracal-601-limettengruen","#80cb37"
"Oracal 602 grasgruen","oracal-602-grasgruen","#3d9a00"
"Oracal 603 mintgruen","oracal-603-mintgruen","#009059"
"Oracal 604 kaktusgruen","oracal-604-kaktusgruen","#00713c"
"Oracal 605 waldgruen ","oracal-605-waldgruen","#005032"
"Oracal 501 mintblau","oracal-501-mintblau","#6dd8be"
"Oracal 502 blautuerkis","oracal-502-blautuerkis","#00a195"
"Oracal 503 wasserblau ","oracal-503-wasserblau","#008d90"
"Oracal 504 pastellblau","oracal-504-pastellblau","#58b1d9"
"Oracal 505 olympicblau","oracal-505-olympicblau","#0098cf"
"Oracal 506 paradiesblau","oracal-506-paradiesblau","#0985b7"
"Oracal 507 capriblau","oracal-507-capriblau","#0071af"
"Oracal 508 signalblau","oracal-508-signalblau","#0066ab"
"Oracal 509 meeresblau","oracal-509-meeresblau","#005294"
"Oracal 510 clematisblau","oracal-510-clematisblau","#004189"
"Oracal 535 saphir","oracal-535-saphir","#1f367d"
"Oracal 511 nachtblau","oracal-511-nachtblau","#10326e"
"Oracal 512 saphirblau","oracal-512-saphirblau","#112c55"
"Oracal 513 schwarzblau","oracal-513-schwarzblau","#111f31"
"Oracal 801 lehmbraun","oracal-801-lehmbraun","#7d4d27"
"Oracal 802 rehbraun","oracal-802-rehbraun","#6b4122"
"Oracal 803 schokoladenbraun","oracal-803-schokoladenbraun","#41281a"
"Oracal 804 beigebraun","oracal-804-beigebraun","#e5c793"
"Oracal 711 steingrau","oracal-711-steingrau","#cacbcb"
"Oracal 712 verkehrsgrau","oracal-712-verkehrsgrau","#939691"
"Oracal 713 eisengrau","oracal-713-eisengrau","#5b6161"
"Oracal 714 graphitgrau","oracal-714-graphitgrau","#45494a"
"Oracal 701 tiefschwarz","oracal-701-tiefschwarz","#101214"
"Oracal 702 tiefschwarz matt","oracal-702-tiefschwarz-matt","#3d3d3e"
"Oracal 101 arktisweiss ","oracal-101-arktisweiss","#edeff3"
"Oracal 102 arktisweiss matt","oracal-102-arktisweiss-matt","#edeef4"
"Oracal 903 silber","oracal-903-silber","#9d9fa0"
"Oracal 915 gold","oracal-915-gold","#9b7e48"
