"Oracal 010 weiss","oracal-010-weiss","#e5eaef"
"Oracal 020 goldgelb","oracal-020-goldgelb","#f2a000"
"Oracal 019 signalgelb","oracal-019-signalgelb","#e7a100"
"Oracal 021 gelb","oracal-021-gelb","#febc00"
"Oracal 022 shellgelb","oracal-022-shellgelb","#ecc100"
"Oracal 025 schwefelgelb","oracal-025-schwefelgelb","#ebda00"
"Oracal 030 dunkelrot","oracal-030-dunkelrot","#821a1d"
"Oracal 031 rot","oracal-031-rot","#a80b18"
"Oracal 032 hellrot","oracal-032-hellrot","#bb1b0f"
"Oracal 034 orange","oracal-034-orange","#d24d1c"
"Oracal 036 hellrotorange","oracal-036-hellrotorange","#dd6513"
"Oracal 035 pastellorange","oracal-035-pastellorange","#f36702"
"Oracal 040 violett","oracal-040-violett","#5e336e"
"Oracal 043 lavendel","oracal-043-lavendel","#7b67a7"
"Oracal 042 flieder ","oracal-042-flieder","#b99ac0"
"Oracal 041 pink","oracal-041-pink","#bb3673"
"Oracal 045 hellrosa","oracal-045-hellrosa","#e688b8"
"Oracal 050 dunkelblau","oracal-050-dunkelblau","#273961"
"Oracal 049 koenigsblau","oracal-049-koenigsblau","#213779"
"Oracal 086 brillantblau","oracal-086-brillantblau","#2d44a6"
"Oracal 051 enzianblau","oracal-051-enzianblau","#005283"
"Oracal 052 azurblau","oracal-052-azurblau","#006fad"
"Oracal 053 hellblau","oracal-053-hellblau","#0094c2"
"Oracal 056 lichtblau","oracal-056-lichtblau","#4cabd1"
"Oracal 066 tuerkisblau","oracal-066-tuerkisblau","#008b89"
"Oracal 054 tuerkis","oracal-054-tuerkis","#00a394"
"Oracal 055 mint","oracal-055-mint","#6bd2b6"
"Oracal 060 dunkelgruen","oracal-060-dunkelgruen","#004029"
"Oracal 061 gruen","oracal-061-gruen","#007c4b"
"Oracal 062 hellgruen  ","oracal-062-hellgruen","#008835"
"Oracal 064 gelbgruen","oracal-064-gelbgruen","#3f9300"
"Oracal 063 lindgruen","oracal-063-lindgruen","#72a427"
"Oracal 070 schwarz ","oracal-070-schwarz","#0d0e10"
"Oracal 073 dunkelgrau","oracal-073-dunkelgrau","#4a4b4b"
"Oracal 071 grau","oracal-071-grau","#767d7c"
"Oracal 074 mittelgrau ","oracal-074-mittelgrau","#8d918d"
"Oracal 072 hellgrau","oracal-072-hellgrau","#c2c4c3"
"Oracal 080 braun","oracal-080-braun","#412e1f"
"Oracal 083 haselnussbraun","oracal-083-haselnussbraun","#a75520"
"Oracal 081 hellbraun","oracal-081-hellbraun","#a5845a"
"Oracal 082 beige","oracal-082-beige","#cfbd9d"
"Oracal 090 silbergrau","oracal-090-silbergrau","#8c8e8e"
"Oracal 091 gold ","oracal-091-gold","#957e46"
"Oracal 092 kupfer","oracal-092-kupfer","#93602f"
