"Oracal 010 weiss","oracal-010-weiss","#e8ebee"
"Oracal 020 goldgelb","oracal-020-goldgelb","#f4a200"
"Oracal 019 signalgelb","oracal-019-signalgelb","#e7a100"
"Oracal 021 gelb","oracal-021-gelb","#ffbd00"
"Oracal 022 shellgelb","oracal-022-shellgelb","#f2c500"
"Oracal 025 schwefelgelb","oracal-025-schwefelgelb","#f2de00"
"Oracal 026 purpurrot","oracal-026-purpurrot","#591016"
"Oracal 312 burgundy","oracal-312-burgundy","#6f151d"
"Oracal 030 dunkelrot","oracal-030-dunkelrot","#841b1f"
"Oracal 031 rot","oracal-031-rot","#a70619"
"Oracal 032 hellrot","oracal-032-hellrot","#bd190e"
"Oracal 047 orangerot","oracal-047-orangerot","#c53412"
"Oracal 034 orange","oracal-034-orange","#d14618"
"Oracal 036 hellrotorange","oracal-036-hellrotorange","#e26815"
"Oracal 035 pastellorange","oracal-035-pastellorange","#f56700"
"Oracal 404 purple","oracal-404-purple","#433075"
"Oracal 040 violett","oracal-040-violett","#5c336b"
"Oracal 043 lavendel","oracal-043-lavendel","#7a67a7"
"Oracal 042 flieder ","oracal-042-flieder","#bc9cc2"
"Oracal 041 pink","oracal-041-pink","#c13674"
"Oracal 045 hellrosa","oracal-045-hellrosa","#e889b9"
"Oracal 050 dunkelblau","oracal-050-dunkelblau","#283860"
"Oracal 065 kobaltblau","oracal-065-kobaltblau","#232f6c"
"Oracal 049 koenigsblau","oracal-049-koenigsblau","#22397c"
"Oracal 086 brillantblau","oracal-086-brillantblau","#2c42a3"
"Oracal 057 verkehrsblau","oracal-057-verkehrsblau","#004f8c"
"Oracal 051 enzianblau","oracal-051-enzianblau","#005282"
"Oracal 098 enzian","oracal-098-enzian","#00619f"
"Oracal 052 azurblau","oracal-052-azurblau","#006ead"
"Oracal 084 himmelblau","oracal-084-himmelblau","#0082b9"
"Oracal 053 hellblau","oracal-053-hellblau","#0094c3"
"Oracal 056 lichtblau","oracal-056-lichtblau","#4cacd2"
"Oracal 066 tuerkisblau","oracal-066-tuerkisblau","#008b88"
"Oracal 054 tuerkis","oracal-054-tuerkis","#00a494"
"Oracal 055 mint","oracal-055-mint","#6fd1b6"
"Oracal 060 dunkelgruen","oracal-060-dunkelgruen","#003e27"
"Oracal 061 gruen","oracal-061-gruen","#007b49"
"Oracal 062 hellgruen  ","oracal-062-hellgruen","#008937"
"Oracal 064 gelbgruen","oracal-064-gelbgruen","#3d9902"
"Oracal 063 lindgruen","oracal-063-lindgruen","#72a429"
"Oracal 080 braun","oracal-080-braun","#412e1f"
"Oracal 083 haselnussbraun","oracal-083-haselnussbraun","#ab5823"
"Oracal 081 hellbraun","oracal-081-hellbraun","#a6845b"
"Oracal 082 beige","oracal-082-beige","#d2bf9f"
"Oracal 023 creme","oracal-023-creme","#f2da97"
"Oracal 070 schwarz ","oracal-070-schwarz","#0c0d0f"
"Oracal 073 dunkelgrau","oracal-073-dunkelgrau","#4c4d4c"
"Oracal 071 grau","oracal-071-grau","#767d7c"
"Oracal 074 mittelgrau ","oracal-074-mittelgrau","#8c908c"
"Oracal 072 hellgrau","oracal-072-hellgrau","#c4c7c4"
"Oracal 090 silbergrau","oracal-090-silbergrau","#969898"
"Oracal 091 gold ","oracal-091-gold","#a58b4f"
"Oracal 092 kupfer","oracal-092-kupfer","#9a6632"
