"Oracal 010 weiss","oracal-010-weiss","#edf0f3"
"Oracal 020 goldgelb","oracal-020-goldgelb","#f7a000"
"Oracal 211 sonnengelb","oracal-211-sonnengelb","#eea800"
"Oracal 019 signalgelb","oracal-019-signalgelb","#df9d00"
"Oracal 209 maisgelb","oracal-209-maisgelb","#f5b200"
"Oracal 021 gelb","oracal-021-gelb","#eab500"
"Oracal 022 shellgelb","oracal-022-shellgelb","#f6c500"
"Oracal 025 schwefelgelb","oracal-025-schwefelgelb","#ecdb01"
"Oracal 023 creme","oracal-023-creme","#efdb9e"
"Oracal 018 hellelfenbein","oracal-018-hellelfenbein","#e5d4ba"
"Oracal 026 purpurrot ","oracal-026-purpurrot","#5a151c"
"Oracal 030 dunkelrot","oracal-030-dunkelrot","#7e0f18"
"Oracal 031 rot","oracal-031-rot","#9b271c"
"Oracal 027 tomatenrot","oracal-027-tomatenrot","#a91219"
"Oracal 028 kardinalrot","oracal-028-kardinalrot","#a8151d"
"Oracal 032 hellrot","oracal-032-hellrot","#b41d09"
"Oracal 324 blutrot","oracal-324-blutrot","#bc1511"
"Oracal 325 mittelrot ","oracal-325-mittelrot","#b4180b"
"Oracal 326 signalrot","oracal-326-signalrot","#be1d00"
"Oracal 047 orangerot","oracal-047-orangerot","#c33306"
"Oracal 033 rotorange ","oracal-033-rotorange","#be320a"
"Oracal 034 orange","oracal-034-orange","#de4f10"
"Oracal 035 pastellorange","oracal-035-pastellorange","#e55e00"
"Oracal 048 bordeaux","oracal-048-bordeaux","#620a32"
"Oracal 040 violett","oracal-040-violett","#5d356c"
"Oracal 403 hellviolett","oracal-403-hellviolett","#5a378b"
"Oracal 043 lavendel","oracal-043-lavendel","#7865a7"
"Oracal 042 flieder ","oracal-042-flieder","#b696bd"
"Oracal 041 pink","oracal-041-pink","#af2666"
"Oracal 077 telemagenta","oracal-077-telemagenta","#b73571"
"Oracal 044 magenta","oracal-044-magenta","#cb5984"
"Oracal 045 hellrosa","oracal-045-hellrosa","#e486ba"
"Oracal 532 schwarzblau ","oracal-532-schwarzblau","#111925"
"Oracal 518 stahlblau","oracal-518-stahlblau","#11183e"
"Oracal 050 dunkelblau","oracal-050-dunkelblau","#22365e"
"Oracal 058 ultramarinblau","oracal-058-ultramarinblau","#13346e"
"Oracal 537 tiefblau","oracal-537-tiefblau","#1d265e"
"Oracal 065 kobaltblau","oracal-065-kobaltblau","#1d2d6e"
"Oracal 540 classic blau","oracal-540-classic-blau","#282179"
"Oracal 049 koenigsblau","oracal-049-koenigsblau","#1d367b"
"Oracal 086 brillantblau","oracal-086-brillantblau","#2b42a6"
"Oracal 536 mittelblau","oracal-536-mittelblau","#10377c"
"Oracal 067 blau","oracal-067-blau","#00487b"
"Oracal 057 verkehrsblau","oracal-057-verkehrsblau","#004d8c"
"Oracal 051 enzianblau ","oracal-051-enzianblau","#00609e"
"Oracal 052 azurblau","oracal-052-azurblau","#006fb0"
"Oracal 517 euroblau","oracal-517-euroblau","#0088ba"
"Oracal 053 hellblau","oracal-053-hellblau","#0095cb"
"Oracal 056 lichtblau","oracal-056-lichtblau","#4aaad3"
"Oracal 608 petrol","oracal-608-petrol","#00606a"
"Oracal 066 tuerkisblau","oracal-066-tuerkisblau","#008888"
"Oracal 054 tuerkis","oracal-054-tuerkis","#00a597"
"Oracal 055 mint","oracal-055-mint","#70d1b6"
"Oracal 060 dunkelgruen","oracal-060-dunkelgruen","#004928"
"Oracal 078 laubgruen ","oracal-078-laubgruen","#105119"
"Oracal 617 smaragdgruen","oracal-617-smaragdgruen","#006026"
"Oracal 607 tuerkisgruen","oracal-607-tuerkisgruen","#006a4a"
"Oracal 061 gruen ","oracal-061-gruen","#007947"
"Oracal 068 grasgruen","oracal-068-grasgruen","#007e3d"
"Oracal 062 hellgruen  ","oracal-062-hellgruen","#008c34"
"Oracal 064 gelbgruen","oracal-064-gelbgruen","#369b01"
"Oracal 063 lindgruen","oracal-063-lindgruen","#6ebf2e"
"Oracal 080 braun","oracal-080-braun","#412a22"
"Oracal 079 rotbraun","oracal-079-rotbraun","#5d231a"
"Oracal 083 haselnussbraun","oracal-083-haselnussbraun","#aa561f"
"Oracal 081 hellbraun","oracal-081-hellbraun","#aa8561"
"Oracal 070 schwarz","oracal-070-schwarz","#0c0d0e"
"Oracal 720 komatsugrau","oracal-720-komatsugrau","#2e3032"
"Oracal 093 anthrazit","oracal-093-anthrazit","#454643"
"Oracal 073 dunkelgrau","oracal-073-dunkelgrau","#4e4f4e"
"Oracal 713 eisengrau","oracal-713-eisengrau","#5d6262"
"Oracal 071 grau","oracal-071-grau","#6d706b"
"Oracal 721 schiefergrau","oracal-721-schiefergrau","#7b858b"
"Oracal 076 telegrau","oracal-076-telegrau","#8a8d8f"
"Oracal 074 mittelgrau","oracal-074-mittelgrau","#909490"
"Oracal 072 hellgrau","oracal-072-hellgrau","#c6c8c8"
"Oracal 090 silbergrau","oracal-090-silbergrau","#929495"
"Oracal 091 gold","oracal-091-gold","#a6874e"
