"Oracal 010 weiss","oracal-010-weiss","#eff1f1"
"Oracal 025 schwefelgelb","oracal-025-schwefelgelb","#c7bb19"
"Oracal 021 gelb","oracal-021-gelb","#dab000"
"Oracal 013 zinkgelb","oracal-013-zinkgelb","#ebc100"
"Oracal 020 goldgelb","oracal-020-goldgelb","#eca400"
"Oracal 017 kirschrot","oracal-017-kirschrot","#931f23"
"Oracal 030 dunkelrot","oracal-030-dunkelrot","#6a252f"
"Oracal 085 blassrosa","oracal-085-blassrosa","#c68f94"
"Oracal 413 hellrosa","oracal-413-hellrosa","#c067aa"
"Oracal 041 pink","oracal-041-pink","#a22b6e"
"Oracal 052 azurblau","oracal-052-azurblau","#0073aa"
"Oracal 051 enzianblau","oracal-051-enzianblau","#0066a3"
"Oracal 005 mittelblau","oracal-005-mittelblau","#254996"
"Oracal 006 intensivblau","oracal-006-intensivblau","#0d3b6b"
"Oracal 049 koenigsblau","oracal-049-koenigsblau","#382a7d"
"Oracal 062 hellgruen","oracal-062-hellgruen","#00963a"
"Oracal 063 lindgruen","oracal-063-lindgruen","#5da807"
"Oracal 009 mittelgruen","oracal-009-mittelgruen","#009d64"
"Oracal 614 schilfgruen","oracal-614-schilfgruen","#006e31"
"Oracal 068 grasgruen","oracal-068-grasgruen","#00703c"
"Oracal 072 hellgrau","oracal-072-hellgrau","#bfc1c1"
"Oracal 805 elfenbein","oracal-805-elfenbein","#e0d6b9"
"Oracal 011 lichtbraun","oracal-011-lichtbraun","#d2b389"
"Oracal 081 hellbraun","oracal-081-hellbraun","#ab875b"
"Oracal 088 kaffeebraun","oracal-088-kaffeebraun","#4d3833"
"Oracal 015 gelborange","oracal-015-gelborange","#e99412"
"Oracal 034 orange","oracal-034-orange","#cf5822"
"Oracal 032 hellrot","oracal-032-hellrot","#c43920"
"Oracal 016 blutrot","oracal-016-blutrot","#ba3025"
"Oracal 031 rot","oracal-031-rot","#a82425"
"Oracal 008 erika","oracal-008-erika","#641a34"
"Oracal 040 violett","oracal-040-violett","#5f256b"
"Oracal 403 hellviolett","oracal-403-hellviolett","#5f3a8a"
"Oracal 012 lila","oracal-012-lila","#461f5a"
"Oracal 053 hellblau","oracal-053-hellblau","#0091c3"
"Oracal 065 kobaltblau","oracal-065-kobaltblau","#2b195b"
"Oracal 007 tiefblau","oracal-007-tiefblau","#2b2c5b"
"Oracal 541 dunkeltuerkis","oracal-541-dunkeltuerkis","#00596b"
"Oracal 066 tuerkisblau","oracal-066-tuerkisblau","#008d8e"
"Oracal 054 tuerkis","oracal-054-tuerkis","#00ab8a"
"Oracal 087 smaragdgruen ","oracal-087-smaragdgruen","#1b773b"
"Oracal 060 dunkelgruen","oracal-060-dunkelgruen","#1c4532"
"Oracal 070 schwarz","oracal-070-schwarz","#292a2b"
"Oracal 074 mittelgrau","oracal-074-mittelgrau","#8a8f8e"
"Oracal 076 telegrau","oracal-076-telegrau","#9da1a6"
"Oracal 090 silber","oracal-090-silber","#ababab"
"Oracal 091 gold","oracal-091-gold","#b29e68"
