"Oracal 201 krokusgelb","oracal-201-krokusgelb","#ffee33"
"Oracal 216 verkehrsgelb","oracal-216-verkehrsgelb","#ffd300"
"Oracal 209 maisgelb","oracal-209-maisgelb","#ffcd00"
"Oracal 219 dottergelb","oracal-219-dottergelb","#ffc100"
"Oracal 020 goldgelb","oracal-020-goldgelb","#ffb700"
"Oracal 204 melonengelb","oracal-204-melonengelb","#ffb800"
"Oracal 208 postgelb","oracal-208-postgelb","#f5b600"
"Oracal 019 signalgelb","oracal-019-signalgelb","#ffb700"
"Oracal 817 mandel","oracal-817-mandel","#fffced"
"Oracal 023 creme","oracal-023-creme","#ffefb7"
"Oracal 804 beigebraun","oracal-804-beigebraun","#fddfb1"
"Oracal 818 safrangelb","oracal-818-safrangelb","#f5d1a8"
"Oracal 816 papyrus","oracal-816-papyrus","#f4e2c2"
"Oracal 341 koralle","oracal-341-koralle","#ff9a86"
"Oracal 035 pastellorange","oracal-035-pastellorange","#ff7101"
"Oracal 332 tieforange","oracal-332-tieforange","#f27108"
"Oracal 333 reinorange","oracal-333-reinorange","#f2672c"
"Oracal 335 marsrot","oracal-335-marsrot","#e54a1c"
"Oracal 326 signalrot","oracal-326-signalrot","#d03611"
"Oracal 324 blutrot","oracal-324-blutrot","#cb2b21"
"Oracal 031 rot","oracal-031-rot","#ae2920"
"Oracal 028 kardinalrot","oracal-028-kardinalrot","#bb2025"
"Oracal 305 geranienrot","oracal-305-geranienrot","#b02221"
"Oracal 334 feuerwehrrot","oracal-334-feuerwehrrot","#aa2d22"
"Oracal 030 dunkelrot ","oracal-030-dunkelrot","#8d1820"
"Oracal 026 purpurrot","oracal-026-purpurrot","#5e1720"
"Oracal 340 marone ","oracal-340-marone","#4d1e29"
"Oracal 044 magenta","oracal-044-magenta","#de6896"
"Oracal 402 zyklam","oracal-402-zyklam","#bc3f72"
"Oracal 409 helllila","oracal-409-helllila","#cda4d2"
"Oracal 043 lavendel","oracal-043-lavendel","#8d76b8"
"Oracal 407 tiefviolett","oracal-407-tiefviolett","#67468d"
"Oracal 048 bordeaux","oracal-048-bordeaux","#67193c"
"Oracal 549 taubenblau","oracal-549-taubenblau","#89a3b3"
"Oracal 555 gletscherblau","oracal-555-gletscherblau","#5c90cf"
"Oracal 056 lichtblau","oracal-056-lichtblau","#65c0eb"
"Oracal 053 hellblau","oracal-053-hellblau","#00a5dc"
"Oracal 547 fjordblau","oracal-547-fjordblau","#0091c9"
"Oracal 052 azurblau","oracal-052-azurblau","#007bbd"
"Oracal 545 ozeanblau","oracal-545-ozeanblau","#006eb2"
"Oracal 546 samtblau","oracal-546-samtblau","#2453a4"
"Oracal 509 meeresblau","oracal-509-meeresblau","#00599b"
"Oracal 544 indigoblau","oracal-544-indigoblau","#005980"
"Oracal 067 blau","oracal-067-blau","#004f85"
"Oracal 536 mittelblau","oracal-536-mittelblau","#0f3e7f"
"Oracal 049 koenigsblau","oracal-049-koenigsblau","#273e84"
"Oracal 511 nachtblau","oracal-511-nachtblau","#1a397a"
"Oracal 065 kobaltblau","oracal-065-kobaltblau","#213071"
"Oracal 537 tiefblau","oracal-537-tiefblau","#19295e"
"Oracal 050 dunkelblau","oracal-050-dunkelblau","#273d68"
"Oracal 518 stahlblau","oracal-518-stahlblau","#1e1f44"
"Oracal 501 mintblau","oracal-501-mintblau","#8be8d1"
"Oracal 502 blautuerkis","oracal-502-blautuerkis","#00b1a7"
"Oracal 503 wasserblau","oracal-503-wasserblau","#009d9f"
"Oracal 553 lagune","oracal-553-lagune","#0092a6"
"Oracal 628 seegruen","oracal-628-seegruen","#007c6f"
"Oracal 630 blaugruen","oracal-630-blaugruen","#00576e"
"Oracal 601 limettengruen","oracal-601-limettengruen","#98de4b"
"Oracal 602 grasgruen","oracal-602-grasgruen","#56af1f"
"Oracal 062 hellgruen","oracal-062-hellgruen","#009f44"
