"1 - 1L","1-1l","#f7de69"
"1 - 3L","1-3l","#f6e797"
"1 - 10L","1-10l","#f6eebf"
"2 - 1L","2-1l","#ffcf6b"
"2 - 3L","2-3l","#fde29b"
"2 - 10L","2-10l","#f6e8ba"
"3 - 1L","3-1l","#ebba6b"
"3 - 3L","3-3l","#f5d397"
"3 - 10L","3-10l","#f8e3b8"
"4 - 1L","4-1l","#dba767"
"4 - 3L","4-3l","#eec68c"
"4 - 10L","4-10l","#f5dbb3"
"5 - 1L","5-1l","#fbaf71"
"5 - 3L","5-3l","#fbcc9d"
"5 - 10L","5-10l","#f9e2c1"
"6 - 1L","6-1l","#f59b73"
"6 - 3L","6-3l","#f9bd9f"
"6 - 10L","6-10l","#f6dcc6"
"7 - 1L","7-1l","#ce8f6a"
"7 - 3L","7-3l","#e4b290"
"7 - 10L","7-10l","#f0cfb3"
"8 - 1L","8-1l","#c0837e"
"8 - 3L","8-3l","#daaaa7"
"8 - 10L","8-10l","#ebcac2"
"9 - 1L","9-1l","#ee826a"
"9 - 3L","9-3l","#fbaf9f"
"9 - 10L","9-10l","#fdcbbc"
"10 - 1L","10-1l","#e7767a"
"10 - 3L","10-3l","#f09398"
"10 - 10L","10-10l","#f7cac7"
"11 - 1L","11-1l","#e46d82"
"11 - 3L","11-3l","#ef99aa"
"11 - 10L","11-10l","#f3b8c3"
"12 - 1L","12-1l","#967993"
"12 - 3L","12-3l","#bea9bc"
"12 - 10L","12-10l","#dbc8d3"
"13 - 1L","13-1l","#5378a2"
"13 - 3L","13-3l","#83a5c7"
"13 - 10L","13-10l","#a4c0d6"
"14 - 1L","14-1l","#2a8dc6"
"14 - 3L","14-3l","#6bb8e1"
"14 - 10L","14-10l","#9dd0e6"
"15 - 1L","15-1l","#41a8a1"
"15 - 3L","15-3l","#7dc8c1"
"15 - 10L","15-10l","#b4e4da"
"16 - 1L","16-1l","#44b081"
"16 - 3L","16-3l","#77cba5"
"16 - 10L","16-10l","#ace3c7"
"17 - 1L","17-1l","#6eb86f"
"17 - 3L","17-3l","#a0d299"
"17 - 10L","17-10l","#c6e4c0"
"18 - 1L","18-1l","#a8bd6b"
"18 - 3L","18-3l","#c8d697"
"18 - 10L","18-10l","#dfe3b5"
"19 - 1L","19-1l","#b1a66e"
"19 - 3L","19-3l","#d7cb9c"
"19 - 10L","19-10l","#e8ddb9"
"20 - 1L","20-1l","#ad8d6a"
"20 - 3L","20-3l","#cdb18d"
"20 - 10L","20-10l","#e3ccae"
"21 - 1L","21-1l","#a57a68"
"21 - 3L","21-3l","#c69f8f"
"21 - 10L","21-10l","#dec1b2"
"22 - 1L","22-1l","#998573"
"22 - 3L","22-3l","#bda997"
"22 - 10L","22-10l","#dbcbba"
"23 - 1L","23-1l","#957b75"
"23 - 3L","23-3l","#af9790"
"23 - 10L","23-10l","#cfbbb5"
"24 - 1L","24-1l","#525558"
"24 - 3L","24-3l","#66696c"
"24 - 10L","24-10l","#9c9e9e"
