"PRB Antheor","prb-antheor","#e1b69d"
"PRB Aquitaine","prb-aquitaine","#e7dfd0"
"PRB Ardeche","prb-ardeche","#bcb59b"
"PRB Auvergne","prb-auvergne","#9c9791"
"PRB Azay-le-Rideau","prb-azay-le-rideau","#e9d9c5"
"PRB Blanc Noirmoutier","prb-blanc-noirmoutier","#f2efe6"
"PRB Bocage Vendeen","prb-bocage-vendeen","#c9b4a0"
"PRB Camargue","prb-camargue","#c4ae92"
"PRB Cap-Corse","prb-cap-corse","#cf966f"
"PRB Carnac","prb-carnac","#c1c1bf"
"PRB Cevennes","prb-cevennes","#c0b39d"
"PRB Chambord","prb-chambord","#eadbc3"
"PRB Champagne","prb-champagne","#dfc9b1"
"PRB Cheverny","prb-cheverny","#e9d3b1"
"PRB Collioure","prb-collioure","#eed6bd"
"PRB Cote D Azur","prb-cote-d-azur","#e4c8af"
"PRB Cote D Émeraude","prb-cote-d-emeraude","#b6beb8"
"PRB Cote DOpale","prb-cote-dopale","#cdd1d1"
"PRB Cote-Dor","prb-cote-dor","#dcae70"
"PRB Finistere","prb-finistere","#b8b2a7"
"PRB Franche-Comte","prb-franche-comte","#ab9b80"
"PRB Gres DAlsace","prb-gres-dalsace","#ac786a"
"PRB Gris Ouessant","prb-gris-ouessant","#cfcec9"
"PRB Ile DYeu","prb-ile-dyeu","#cad7e9"
"PRB Ile-De-France","prb-ile-de-france","#d9c6ad"
"PRB Jaune Touraine","prb-jaune-touraine","#eadfca"
"PRB Jaune Touraine Fonce","prb-jaune-touraine-fonce","#efd7b3"
"PRB Lascaux","prb-lascaux","#bd9e7c"
"PRB Medov","prb-medov","#bca8a1"
"PRB Midi-Pyrenees","prb-midi-pyrenees","#c4a18b"
"PRB Perigord","prb-perigord","#c18e77"
"PRB Picardie","prb-picardie","#efdac0"
"PRB Plaine De Lucon","prb-plaine-de-lucon","#dacbba"
"PRB Rose Anjou","prb-rose-anjou","#e1cdc0"
"PRB Rose Provence","prb-rose-provence","#d6b7a3"
"PRB Rouge Esterel","prb-rouge-esterel","#dcb4a1"
"PRB Rouge Sologne","prb-rouge-sologne","#dba783"
"PRB Saint-Tropez","prb-saint-tropez","#e1b78f"
"PRB Terre De Languedoc","prb-terre-de-languedoc","#d4a56e"
"PRB Ton Pierre","prb-ton-pierre","#efeade"
"PRB Ton Sable","prb-ton-sable","#ccb293"
"PRB Val de Loire","prb-val-de-loire","#eacbaa"
"PRB Vallee De La Sevre","prb-vallee-de-la-sevre","#d5c7b0"
"PRB Vert DAubrac","prb-vert-daubrac","#8aa19c"
"PRB Vert Monaco","prb-vert-monaco","#dae1cf"
"PRB Vieux Pise","prb-vieux-pise","#f5d5a2"
"PRB Vieux Tuffeau","prb-vieux-tuffeau","#e4d5c4"
"PRB Yallauris","prb-yallauris","#dbae8d"
