"Green Beige","1000","#bebd7f"
"Beige","1001","#c2b078"
"Sand Yellow","1002","#c6a664"
"Signal Yellow","1003","#e5be01"
"Golden Yellow","1004","#cda434"
"Honey Yellow","1005","#a98307"
"Maize Yellow","1006","#e4a010"
"Daffodil Yellow","1007","#dc9d00"
"Brown Beige","1011","#8a6642"
"Lemon Yellow","1012","#c7b446"
"Oyster White","1013","#eeeacd"
"Ivory","1014","#e1cc4f"
"Light Ivory","1015","#e6d690"
"Sulfur Yellow","1016","#edff21"
"Saffron Yellow","1017","#f5d033"
"Zinc Yellow","1018","#f8f32b"
"Grey Beige","1019","#9e9764"
"Olive Yellow","1020","#999950"
"Colza Yellow","1021","#f3da0b"
"Traffic Yellow","1023","#fad201"
"Ochre Yellow","1024","#aea04b"
"Luminous Yellow","1026","#ffff00"
"Curry","1027","#9d9101"
"Melon Yellow","1028","#f4a900"
"Broom Yellow","1032","#d6ae01"
"Dahlia Yellow","1033","#f3a505"
"Pastel Yellow","1034","#efa94a"
"Pearl Beige","1035","#6a5d4d"
"Pearl Gold","1036","#705335"
"Sun Yellow","1037","#f39f18"
"Yellow Orange","2000","#ed760e"
"Red Orange","2001","#c93c20"
"Vermilion","2002","#cb2821"
"Pastel Orange","2003","#ff7514"
"Pure Orange","2004","#f44611"
"Luminous Orange","2005","#ff2301"
"Luminous Bright Orange","2007","#ffa420"
"Bright Red Orange","2008","#f75e25"
"Traffic Orange","2009","#f54021"
"Signal Orange","2010","#d84b20"
"Deep Orange","2011","#ec7c26"
"Salmon Range","2012","#e55137"
"Pearl Orange","2013","#c35831"
"Flame Red","3000","#af2b1e"
"Signal Red","3001","#a52019"
"Carmine Red","3002","#a2231d"
"Ruby Red","3003","#9b111e"
"Purple Red","3004","#75151e"
"Wine Red","3005","#5e2129"
"Black Red","3007","#351f21"
"Oxide Red","3009","#642424"
"Brown Red","3011","#781f19"
"Beige Red","3012","#c1876b"
"Tomato Red","3013","#a12312"
"Antique Pink","3014","#d36e70"
"Light Pink","3015","#ea899a"
"Coral Red","3016","#b32821"
"Rose","3017","#e63244"
"Strawberry Red","3018","#d53032"
"Traffic Red","3020","#cc0605"
"Salmon Pink","3022","#d95030"
"Luminous Red","3024","#f80000"
"Luminous","3026","#fe0000"
"Raspberry Red","3027","#c51d34"
"Pure Red","3028","#cb3234"
"Orient Red","3031","#b32428"
"Pearl Ruby Red","3032","#721422"
"Pearl Pink","3033","#b44c43"
"Red Lilac","4001","#6d3f5b"
"Red Violet","4002","#922b3e"
"Heather Violet","4003","#de4c8a"
"Claret Violet","4004","#6e1c34"
"Blue Lilac","4005","#6c4675"
"Traffic Purple","4006","#a03472"
"Purple Violet","4007","#4a192c"
"Signal Violet","4008","#924e7d"
"Pastel Violet","4009","#a47d90"
"Telemagenta","4010","#d72d6d"
"Pearl Violet","4011","#8673a1"
"Pearl Black Berry","4012","#6c6881"
"Violet Blue","5000","#2a2e4b"
"Green Blue","5001","#1f3438"
"Ultramarine Blue","5002","#20214f"
"Saphire Blue","5003","#1d1e33"
"Black Blue","5004","#18171c"
"Signal Blue","5005","#1e2d6e"
"Brillant Blue","5007","#3e5f8a"
"Grey Blue","5008","#26252d"
"Azure Blue","5009","#025669"
"Gentian Blue","5010","#0e294b"
"Steel Blue","5011","#231a24"
"Light Blue","5012","#3b83bd"
"Cobalt Blue","5013","#1e213d"
"Pigeon Blue","5014","#606e8c"
"Sky Blue","5015","#2271b3"
"Traffic Blue","5017","#063971"
"Turquoise Blue","5018","#3f888f"
"Capri Blue","5019","#1b5583"
"Ocean Blue","5020","#1d334a"
"Water Blue","5021","#256d7b"
"Night Blue","5022","#252850"
"Distant Blue","5023","#49678d"
"Pastel Blue","5024","#5d9b9b"
"Pearl Gentian Blue","5025","#2a6478"
"Pearl Night Blue","5026","#102c54"
"Patina Green","6000","#316650"
"Emerald Green","6001","#287233"
"Leaf Green","6002","#2d572c"
"Olive Green","6003","#424632"
"Blue Green","6004","#1f3a3d"
"Moss Green","6005","#2f4538"
"Grey Olive","6006","#3e3b32"
"Bottle Green","6007","#343b29"
"Brown Green","6008","#39352a"
"Fir Green","6009","#31372b"
"Grass Green","6010","#35682d"
"Reseda Green","6011","#587246"
"Black Green","6012","#343e40"
"Reed Green","6013","#6c7156"
"Yellow Olive","6014","#47402e"
"Black Olive","6015","#3b3c36"
"Turquoise Green","6016","#1e5945"
"May Green","6017","#4c9141"
"Yellow Green","6018","#57a639"
"Pastel Green","6019","#bdecb6"
"Chrome Green","6020","#2e3a23"
"Pale Green","6021","#89ac76"
"Olive Drab","6022","#25221b"
"Traffic Green","6024","#308446"
"Fern Green","6025","#3d642d"
