"S 0505-G90Y","s-0505-g90y","#f7f3db"
"S 0520-G90Y","s-0520-g90y","#f4eab0"
"S 0540-G90Y","s-0540-g90y","#f9e781"
"S 0550-G90Y","s-0550-g90y","#f6e169"
"S 0560-G90Y","s-0560-g90y","#efd84b"
"S 0502-Y","s-0502-y","#eeebda"
"S 0510-Y","s-0510-y","#f4eac5"
"S 0520-Y","s-0520-y","#f9e8af"
"S 0530-Y","s-0530-y","#fde596"
"S 0540-Y","s-0540-y","#ffe384"
"S 0507-Y","s-0507-y","#f6efd4"
"S 1015-Y","s-1015-y","#eaddb1"
"S 1030-Y","s-1030-y","#e8d088"
"S 1050-Y","s-1050-y","#eecd61"
"S 1070-Y","s-1070-y","#edc025"
"S 1010-Y","s-1010-y","#e8dcb8"
"S 1515-Y","s-1515-y","#ded0a6"
"S 2020-Y","s-2020-y","#cfbe8f"
"S 2030-Y","s-2030-y","#cdb676"
"S 2050-Y","s-2050-y","#caac52"
"S 0804-Y10R","s-0804-y10r","#f0e9d6"
"S 1515-Y10R","s-1515-y10r","#dfcca4"
"S 2030-Y10R","s-2030-y10r","#d5b67b"
"S 3040-Y10R","s-3040-y10r","#bd9658"
"S 3060-Y10R","s-3060-y10r","#b4832b"
"S 0505-Y10R","s-0505-y10r","#f7efd7"
"S 0520-Y10R","s-0520-y10r","#fde7b2"
"S 0540-Y10R","s-0540-y10r","#ffd581"
"S 0560-Y10R","s-0560-y10r","#ffc754"
"S 1070-Y10R","s-1070-y10r","#f3b42c"
"S 0510-Y10R","s-0510-y10r","#fbebc4"
"S 0530-Y10R","s-0530-y10r","#fddb94"
"S 1040-Y10R","s-1040-y10r","#f3c975"
"S 1060-Y10R","s-1060-y10r","#f9bf48"
"S 2070-Y10R","s-2070-y10r","#d59920"
"S 0505-Y20R","s-0505-y20r","#f9efd5"
"S 0515-Y20R","s-0515-y20r","#fce4b9"
"S 1030-Y20R","s-1030-y20r","#f3c786"
"S 1050-Y20R","s-1050-y20r","#f2b660"
"S 1070-Y20R","s-1070-y20r","#f3a434"
"S 0510-Y20R","s-0510-y20r","#f9e7c4"
"S 0520-Y20R","s-0520-y20r","#fde0a9"
"S 1040-Y20R","s-1040-y20r","#f4bf73"
"S 2050-Y20R","s-2050-y20r","#d69c52"
"S 3060-Y20R","s-3060-y20r","#b77c32"
"S 1010-Y20R","s-1010-y20r","#e9d7b6"
"S 2020-Y20R","s-2020-y20r","#d2b489"
"S 3030-Y20R","s-3030-y20r","#bd9766"
"S 4040-Y20R","s-4040-y20r","#a47842"
"S 5040-Y20R","s-5040-y20r","#906637"
"S 0907-Y30R","s-0907-y30r","#f0dfc7"
"S 1515-Y30R","s-1515-y30r","#e4c5a1"
"S 2030-Y30R","s-2030-y30r","#d8a675"
"S 4030-Y30R","s-4030-y30r","#ab7e56"
"S 6030-Y30R","s-6030-y30r","#7a563a"
"S 0510-Y30R","s-0510-y30r","#fde8cb"
"S 1020-Y30R","s-1020-y30r","#f3cb9d"
"S 2040-Y30R","s-2040-y30r","#d99d64"
"S 3050-Y30R","s-3050-y30r","#be7f49"
"S 4550-Y30R","s-4550-y30r","#9a6235"
"S 0505-Y30R","s-0505-y30r","#f8edd6"
"S 0515-Y30R","s-0515-y30r","#fedeb7"
"S 0530-Y30R","s-0530-y30r","#ffcc91"
"S 1050-Y30R","s-1050-y30r","#f3ab64"
"S 2060-Y30R","s-2060-y30r","#d58841"
"S 0510-Y40R","s-0510-y40r","#fce3c6"
"S 0520-Y40R","s-0520-y40r","#ffd6ad"
"S 1030-Y40R","s-1030-y40r","#f4ba8a"
"S 1050-Y40R","s-1050-y40r","#f1a065"
"S 1070-Y40R","s-1070-y40r","#ee8a40"
"S 0507-Y40R","s-0507-y40r","#fae8d1"
"S 0515-Y40R","s-0515-y40r","#fddbb9"
"S 1020-Y40R","s-1020-y40r","#f1c69f"
"S 2030-Y40R","s-2030-y40r","#d6a077"
"S 3040-Y40R","s-3040-y40r","#bc8055"
"S 0603-Y40R","s-0603-y40r","#f3ecdd"
"S 1010-Y40R","s-1010-y40r","#ecd4b8"
"S 2010-Y40R","s-2010-y40r","#d3bba2"
"S 4020-Y40R","s-4020-y40r","#a9856a"
"S 6030-Y40R","s-6030-y40r","#7b5338"
"S 0502-Y50R","s-0502-y50r","#f3ece0"
"S 0907-Y50R","s-0907-y50r","#efddca"
"S 1515-Y50R","s-1515-y50r","#e3bfa5"
"S 3030-Y50R","s-3030-y50r","#c38b6c"
"S 5040-Y50R","s-5040-y50r","#8b563b"
"S 0510-Y50R","s-0510-y50r","#fbe4ce"
"S 1020-Y50R","s-1020-y50r","#f0c2a2"
"S 2040-Y50R","s-2040-y50r","#d8916a"
"S 2060-Y50R","s-2060-y50r","#cc7646"
"S 3560-Y50R","s-3560-y50r","#a55c33"
"S 0505-Y50R","s-0505-y50r","#f6e6d3"
"S 0515-Y50R","s-0515-y50r","#fcd8bb"
"S 1030-Y50R","s-1030-y50r","#f6b58e"
"S 1050-Y50R","s-1050-y50r","#f19c69"
"S 2070-Y50R","s-2070-y50r","#ce6c37"
"S 0515-Y60R","s-0515-y60r","#fed8c1"
"S 0530-Y60R","s-0530-y60r","#fabb99"
"S 1040-Y60R","s-1040-y60r","#f4a682"
"S 2050-Y60R","s-2050-y60r","#d27d5b"
"S 3060-Y60R","s-3060-y60r","#af5c38"
"S 0510-Y70R","s-0510-y70r","#fce1d0"
"S 0520-Y70R","s-0520-y70r","#fcceba"
"S 1030-Y70R","s-1030-y70r","#efb299"
"S 2040-Y70R","s-2040-y70r","#d38a72"
"S 3050-Y70R","s-3050-y70r","#b2614d"
"S 0907-Y70R","s-0907-y70r","#eedbcf"
"S 1510-Y70R","s-1510-y70r","#ddc4b6"
"S 2020-Y70R","s-2020-y70r","#d2a897"
"S 4030-Y70R","s-4030-y70r","#a97060"
"S 5040-Y70R","s-5040-y70r","#834a39"
"S 0507-Y80R","s-0507-y80r","#fce9df"
"S 1015-Y80R","s-1015-y80r","#ecc9bd"
"S 1030-Y80R","s-1030-y80r","#e9aa9a"
"S 2040-Y80R","s-2040-y80r","#d58778"
"S 3050-Y80R","s-3050-y80r","#ab5c4f"
"S 0505-Y90R","s-0505-y90r","#f5e8df"
"S 0515-Y90R","s-0515-y90r","#fbd8cf"
"S 0530-Y90R","s-0530-y90r","#fcbbb2"
"S 1040-Y90R","s-1040-y90r","#ea9b93"
"S 2050-Y90R","s-2050-y90r","#ca706a"
"S 0510-Y90R","s-0510-y90r","#fbe3d8"
"S 0520-Y90R","s-0520-y90r","#fdcfc6"
"S 1030-Y90R","s-1030-y90r","#e7aaa3"
"S 2040-Y90R","s-2040-y90r","#ce847e"
"S 3040-Y90R","s-3040-y90r","#b36e68"
"S 0804-Y90R","s-0804-y90r","#efe4de"
"S 1010-Y90R","s-1010-y90r","#e9d2cb"
