"Resomur 401","401","#cb8c37"
"Resomur 402","402","#705440"
"Resomur 403","403","#7e5c46"
"Resomur 404","404","#60513d"
"Resomur 405","405","#424242"
"Resomur 406","406","#76726b"
"Resomur 407","407","#7e797a"
"Resomur 408","408","#767b7f"
"Resomur 416","416","#a38f6d"
"Resomur 417","417","#aa8a6b"
"Resomur 418","418","#a37d77"
"Resomur 419","419","#96898d"
"Resomur 420","420","#7b747b"
"Resomur 421","421","#767d86"
"Resomur 422","422","#6f8074"
"Resomur 423","423","#818674"
"Resomur 424","424","#8d8773"
"Resomur 425","425","#b69e5d"
"Resomur 426","426","#bb8e57"
"Resomur 427","427","#bb8258"
"Resomur 428","428","#965951"
"Resomur 429","429","#7f525a"
"Resomur 430","430","#846979"
"Resomur 431","431","#7a6d84"
"Resomur 432","432","#627486"
"Resomur 433","433","#6d7d65"
"Resomur 434","434","#7d7e5d"
"Resomur A400","a400","#efe9d4"
"Resomur A401","a401","#f4e9d4"
"Resomur A402","a402","#eee1d2"
"Resomur A403","a403","#ece2d7"
"Resomur A404","a404","#ece7dd"
"Resomur A405","a405","#dcdbd8"
"Resomur A406","a406","#eeede6"
"Resomur A407","a407","#f2eae2"
"Resomur A408","a408","#e8ebe7"
"Resomur A409","a409","#eeebd9"
"Resomur A410","a410","#eee7dd"
"Resomur A411","a411","#e8e4dd"
"Resomur A412","a412","#e7e1de"
"Resomur A413","a413","#e3e7e6"
"Resomur A414","a414","#dee2d9"
"Resomur A415","a415","#e9e8d7"
"Resomur A416","a416","#efe6c8"
"Resomur A417","a417","#f2dec7"
"Resomur A418","a418","#f0dad0"
"Resomur A419","a419","#efe7e1"
"Resomur A420","a420","#ece6e0"
"Resomur A421","a421","#e3e8e7"
"Resomur A422","a422","#e1e4dc"
"Resomur A423","a423","#e3e6d9"
"Resomur A424","a424","#f0ecdd"
"Resomur A425","a425","#f1e6c8"
"Resomur A426","a426","#f4e5c0"
"Resomur A427","a427","#f1e4ce"
"Resomur A428","a428","#f0d8d3"
"Resomur A429","a429","#f3dedb"
"Resomur A430","a430","#f1e1df"
"Resomur A431","a431","#ebe5e7"
"Resomur A432","a432","#e5ebea"
"Resomur A433","a433","#e4e6d9"
"Resomur A434","a434","#e7e5cf"
"Resomur E400","e400","#f1e8ce"
"Resomur E401","e401","#f2e3c6"
"Resomur E402","e402","#e9d6c1"
"Resomur E403","e403","#e3cfc1"
"Resomur E404","e404","#e7dfd1"
"Resomur E405","e405","#cececa"
"Resomur E406","e406","#e8e7df"
"Resomur E409","e409","#ede3cf"
"Resomur E412","e412","#dcdedd"
"Resomur E415","e415","#e6e4d5"
"Resomur E417","e417","#eed6bb"
"Resomur E418","e418","#e8d1c9"
"Resomur E423","e423","#d6daca"
"Resomur E424","e424","#eee8cf"
"Resomur E425","e425","#f4e2b8"
"Resomur E426","e426","#f0daaa"
"Resomur E427","e427","#eed8bb"
"Resomur E428","e428","#eeccc6"
"Resomur E430","e430","#f1dadc"
"Resomur E431","e431","#eae0e4"
"Resomur J400","j400","#f7e6c0"
"Resomur J401","j401","#f6deb7"
"Resomur J402","j402","#dec7b2"
"Resomur J403","j403","#e9dcd1"
"Resomur J404","j404","#d7cebe"
"Resomur J405","j405","#bdbdbb"
"Resomur J406","j406","#e2ded7"
"Resomur J407","j407","#e3dcd5"
"Resomur J408","j408","#d7dad8"
"Resomur J409","j409","#e7dbc3"
"Resomur J410","j410","#e2dace"
"Resomur J411","j411","#e0d6cc"
"Resomur J412","j412","#dfd6d4"
"Resomur J414","j414","#dcdfd2"
"Resomur J415","j415","#dad7c2"
"Resomur J416","j416","#e9dabb"
"Resomur J417","j417","#dec1a3"
"Resomur J419","j419","#e3d7d4"
"Resomur J420","j420","#d9d6d6"
"Resomur J421","j421","#cad6dc"
"Resomur J422","j422","#d3d9cd"
"Resomur J424","j424","#e7dfbf"
"Resomur J426","j426","#f2d294"
"Resomur J427","j427","#ebcfaa"
"Resomur J429","j429","#eecdcd"
"Resomur J430","j430","#f3d1d9"
"Resomur J432","j432","#d1dce0"
"Resomur J433","j433","#ddddc4"
"Resomur J434","j434","#dcd7b6"
"Resomur N400","n400","#f5dfb2"
"Resomur N401","n401","#eed0a3"
"Resomur N402","n402","#d1b79e"
"Resomur N403","n403","#d8c1b1"
"Resomur N404","n404","#cac0ae"
"Resomur N405","n405","#acadab"
"Resomur N406","n406","#d8d5cf"
"Resomur N407","n407","#d4cecb"
"Resomur N408","n408","#cacecd"
"Resomur N409","n409","#d7cbb7"
"Resomur N410","n410","#e0d3c4"
"Resomur N411","n411","#d2cac3"
"Resomur N412","n412","#cfc6c6"
"Resomur N413","n413","#c7cacb"
"Resomur N414","n414","#c7ccc0"
"Resomur N417","n417","#d4b490"
"Resomur N420","n420","#cdcbcd"
"Resomur N423","n423","#c3c6b1"
"Resomur N425","n425","#eecc8b"
"Resomur N427","n427","#e8c49e"
"Resomur N428","n428","#e5b9b2"
"Resomur N431","n431","#dcd0e0"
"Resomur R400","r400","#edc783"
"Resomur R401","r401","#f2ca92"
"Resomur R402","r402","#bca086"
"Resomur R403","r403","#b29480"
"Resomur R404","r404","#baad99"
"Resomur R405","r405","#959594"
"Resomur R406","r406","#cbc7bf"
"Resomur R407","r407","#b9b7b6"
"Resomur R408","r408","#b6babc"
"Resomur R409","r409","#ccc0ae"
"Resomur R410","r410","#cabeb1"
"Resomur R411","r411","#c8beb7"
"Resomur R412","r412","#c2bbbd"
"Resomur R413","r413","#babfc2"
"Resomur R414","r414","#bdc2b6"
"Resomur R415","r415","#cbcbb7"
"Resomur R416","r416","#d6c4a1"
"Resomur R418","r418","#dcbab1"
"Resomur R419","r419","#cfc3c3"
"Resomur R420","r420","#c0bec3"
"Resomur R421","r421","#a1adb8"
"Resomur R422","r422","#b7c2b6"
"Resomur R423","r423","#b3bda6"
"Resomur R424","r424","#cdc6a9"
"Resomur R426","r426","#eabd75"
"Resomur R428","r428","#dfaaa4"
"Resomur R429","r429","#e1afb3"
"Resomur R430","r430","#e2c2ce"
"Resomur R431","r431","#d2c4db"
"Resomur R432","r432","#9eb2c0"
"Resomur R433","r433","#9ea88f"
"Resomur R434","r434","#c6bf93"
"Resomur V406","v406","#a19d95"
"Resomur V416","v416","#d1bb93"
"Resomur Z400","z400","#deab55"
