"Rubens 323102 Titanweiss","rubens-323102-titanweiss","#deddd6"
"Rubens 323205 Echtgelb zitron","rubens-323205-echtgelb-zitron","#dad50f"
"Rubens 323206 Echtgelb hell","rubens-323206-echtgelb-hell","#e9bf00"
"Rubens 323212 Indischgelb","rubens-323212-indischgelb","#f19d00"
"Rubens 323303 Echtorange","rubens-323303-echtorange","#db4d1a"
"Rubens 323306 Zinnoberrot","rubens-323306-zinnoberrot","#b3292b"
"Rubens 323312 Karminrot","rubens-323312-karminrot","#9e263a"
"Rubens 323317 Krapprot","rubens-323317-krapprot","#832d42"
"Rubens 323318 Magenta","rubens-323318-magenta","#9d3465"
"Rubens 323403 Rotviolett","rubens-323403-rotviolett","#5f375d"
"Rubens 323405 Blauviolett","rubens-323405-blauviolett","#3e2f60"
"Rubens 323408 Kobaltblau","rubens-323408-kobaltblau","#292e54"
"Rubens 323410 Ultramarinblau","rubens-323410-ultramarinblau","#39259c"
"Rubens 323418 Phthaloblau","rubens-323418-phthaloblau","#18406f"
"Rubens 323420 Coelinblau","rubens-323420-coelinblau","#00607d"
"Rubens 323412 Indigo","rubens-323412-indigo","#303740"
"Rubens 323504 Phthalogruen","rubens-323504-phthalogruen","#00604b"
"Rubens 323505 Permanentgruen dunkel","rubens-323505-permanentgruen-dunkel","#00704a"
"Rubens 323507 Permanentgruen hell","rubens-323507-permanentgruen-hell","#1fb134"
"Rubens 323515 Laubgruen","rubens-323515-laubgruen","#50764e"
"Rubens 323516 Olivgruen","rubens-323516-olivgruen","#4d593b"
"Rubens 323217 Hautfarbe","rubens-323217-hautfarbe","#d7ae8f"
"Rubens 323602 Lichter Ocker","rubens-323602-lichter-ocker","#c1883b"
"Rubens 323610 Terra di Siena gebrannt","rubens-323610-terra-di-siena-gebrannt","#8f4a38"
"Rubens 323612 Englischrot","rubens-323612-englischrot","#81423c"
"Rubens 323618 Umbra gebrannt","rubens-323618-umbra-gebrannt","#554642"
"Rubens 323701 Schiefergrau","rubens-323701-schiefergrau","#4b4842"
"Rubens 323704 Paynes Grey","rubens-323704-paynes-grey","#32373b"
"Rubens 323706 Schwarz","rubens-323706-schwarz","#2c2d2e"
"Rubens 323802 Gold","rubens-323802-gold","#9a7a41"
"Rubens 323804 Silber","rubens-323804-silber","#a8a5a2"
"Rubens 323806 Kupfer","rubens-323806-kupfer","#ad7957"
