"Rubens 333102 Titanweiss","rubens-333102-titanweiss","#e0e0da"
"Rubens 333205 Echtgelb zitron","rubens-333205-echtgelb-zitron","#d3d000"
"Rubens 333206 Echtgelb hell","rubens-333206-echtgelb-hell","#e5c000"
"Rubens 333209 Mittelgelb","rubens-333209-mittelgelb","#e6a400"
"Rubens 333212 Indischgelb","rubens-333212-indischgelb","#ee9c00"
"Rubens 333303 Echtorange","rubens-333303-echtorange","#e25e10"
"Rubens 333306 Zinnoberrot","rubens-333306-zinnoberrot","#c1241c"
"Rubens 333312 Karminrot","rubens-333312-karminrot","#a7192e"
"Rubens 333319 Weinrot","rubens-333319-weinrot","#932838"
"Rubens 333316 Magenta","rubens-333316-magenta","#af3078"
"Rubens 333407 Violett","rubens-333407-violett","#43376c"
"Rubens 333408 Kobaltblau","rubens-333408-kobaltblau","#2a2960"
"Rubens 333412 Indigo","rubens-333412-indigo","#2e3340"
"Rubens 333410 Ultramarinblau","rubens-333410-ultramarinblau","#393fae"
"Rubens 333416 Phthaloblau","rubens-333416-phthaloblau","#005a94"
"Rubens 333420 Coelinblau","rubens-333420-coelinblau","#00658b"
"Rubens 333423 Tuerkis","rubens-333423-tuerkis","#00625e"
"Rubens 333504 Phthalogruen","rubens-333504-phthalogruen","#005042"
"Rubens 333513 Gelbgruen","rubens-333513-gelbgruen","#6e9a0e"
"Rubens 333515 Laubgruen","rubens-333515-laubgruen","#3c5739"
"Rubens 333516 Olivgruen","rubens-333516-olivgruen","#635c3b"
"Rubens 333602 Lichter Ocker","rubens-333602-lichter-ocker","#a87433"
"Rubens 333612 Englischrot","rubens-333612-englischrot","#77352b"
"Rubens 333617 Umbra","rubens-333617-umbra","#5f452f"
"Rubens 333619 Dunkelbraun","rubens-333619-dunkelbraun","#45332d"
"Rubens 333708 Schwarz","rubens-333708-schwarz","#302f30"
