"Scala 03-03-09","scala-03-03-09","#d4d3ca"
"Scala 03-03-18","scala-03-03-18","#918e86"
"Scala 03-03-21","scala-03-03-21","#7f7d75"
"Scala 09-06-12","scala-09-06-12","#ccc3b1"
"Scala 09-09-15","scala-09-09-15","#cab186"
"Scala 09-21-15","scala-09-21-15","#f1a901"
"Scala 15-06-21","scala-15-06-21","#978275"
"Scala 18-06-24","scala-18-06-24","#6a5f5d"
"Scala 18-09-21","scala-18-09-21","#967260"
"Scala 18-12-18","scala-18-12-18","#bf8765"
"Scala 18-15-18","scala-18-15-18","#c37b52"
"Scala 21-09-22","scala-21-09-22","#89655a"
"Scala 21-12-16","scala-21-12-16","#c7947d"
"Scala 24-06-19","scala-24-06-19","#927b75"
"Scala 27-13-24","scala-27-13-24","#a95e58"
"Scala 27-15-24","scala-27-15-24","#9d4641"
"Scala 30-12-27","scala-30-12-27","#723f47"
"Scala 33-06-30","scala-33-06-30","#544a50"
"Scala 33-12-30","scala-33-12-30","#512e3f"
"Scala 33-18-24","scala-33-18-24","#af344d"
"Scala 42-03-18","scala-42-03-18","#989494"
"Scala 42-06-24","scala-42-06-24","#6b6169"
"Scala 51-03-24","scala-51-03-24","#7d7f7e"
"Scala 54-09-27","scala-54-09-27","#48506a"
"Scala 57-06-27","scala-57-06-27","#4a525f"
"Scala 60-03-24","scala-60-03-24","#8f9396"
"Scala 60-06-27","scala-60-06-27","#55585e"
"Scala 60-09-21","scala-60-09-21","#6b7e97"
"Scala 60-09-24","scala-60-09-24","#56697f"
"Scala 60-15-30","scala-60-15-30","#1d4267"
"Scala 66-06-24","scala-66-06-24","#606b71"
"Scala 66-18-21","scala-66-18-21","#008eb9"
"Scala 69-09-21","scala-69-09-21","#5a858f"
"Scala 72-06-27","scala-72-06-27","#585e62"
"Scala 72-06-30","scala-72-06-30","#3f4549"
"Scala 75-03-12","scala-75-03-12","#c4c6c4"
"Scala 75-03-15","scala-75-03-15","#afb1aa"
"Scala 75-06-21","scala-75-06-21","#76817f"
"Scala 78-01-15","scala-78-01-15","#9a9f9d"
"Scala 78-06-30","scala-78-06-30","#284438"
"Scala 81-03-16","scala-81-03-16","#99a19c"
"Scala 81-12-16","scala-81-12-16","#81ad76"
"Scala 84-03-24","scala-84-03-24","#808078"
"Scala 84-06-24","scala-84-06-24","#808477"
"Scala 84-15-15","scala-84-15-15","#afce80"
"Scala 90-03-18","scala-90-03-18","#b3b0a0"
"Scala 93-03-18","scala-93-03-18","#b2ab91"
"Scala 96-09-18","scala-96-09-18","#9b8e65"
