"Scala 03-03-09","scala-03-03-09","#d4d3ca"
"Scala 03-03-18","scala-03-03-18","#918e86"
"Scala 03-06-12","scala-03-06-12","#d2cab2"
"Scala 03-06-18","scala-03-06-18","#9c9179"
"Scala 06-12-21","scala-06-12-21","#9d7b3e"
"Scala 06-18-09","scala-06-18-09","#f1cd61"
"Scala 06-18-18","scala-06-18-18","#c4910b"
"Scala 09-06-12","scala-09-06-12","#ccc3b1"
"Scala 09-09-03","scala-09-09-03","#f6e7d0"
"Scala 09-09-09","scala-09-09-09","#e1d2b6"
"Scala 09-09-15","scala-09-09-15","#cab186"
"Scala 09-12-09","scala-09-12-09","#e5ca9b"
"Scala 09-18-18","scala-09-18-18","#d49d4d"
"Scala 12-09-30","scala-12-09-30","#504036"
"Scala 12-18-21","scala-12-18-21","#ad6d2b"
"Scala 15-06-30","scala-15-06-30","#493835"
"Scala 15-09-15","scala-15-09-15","#cbac92"
"Scala 15-09-24","scala-15-09-24","#775541"
"Scala 18-06-21","scala-18-06-21","#827875"
"Scala 18-09-27","scala-18-09-27","#5e4134"
"Scala 21-12-30","scala-21-12-30","#673b36"
"Scala 24-06-30","scala-24-06-30","#473234"
"Scala 24-15-27","scala-24-15-27","#6f3e3a"
"Scala 27-12-30","scala-27-12-30","#7a3435"
"Scala 27-18-27","scala-27-18-27","#953631"
"Scala 27-24-30","scala-27-24-30","#993133"
"Scala 30-06-27","scala-30-06-27","#5e4a4f"
"Scala 51-03-12","scala-51-03-12","#c7c7c6"
"Scala 57-12-27","scala-57-12-27","#3a5073"
"Scala 60-06-12","scala-60-06-12","#bac0c5"
"Scala 60-09-15","scala-60-09-15","#a5b3c3"
"Scala 60-09-21","scala-60-09-21","#6b7e97"
"Scala 63-03-15","scala-63-03-15","#989ea2"
"Scala 63-03-18","scala-63-03-18","#8c949b"
"Scala 63-09-27","scala-63-09-27","#405768"
"Scala 63-12-30","scala-63-12-30","#203f5a"
"Scala 66-09-18","scala-66-09-18","#7d99a8"
"Scala 66-12-24","scala-66-12-24","#3c6f87"
"Scala 69-03-21","scala-69-03-21","#767e80"
"Scala 69-06-21","scala-69-06-21","#6d7f85"
"Scala 69-06-24","scala-69-06-24","#53696e"
"Scala 72-06-30","scala-72-06-30","#3f4549"
"Scala 75-03-12","scala-75-03-12","#c4c6c4"
"Scala 75-12-27","scala-75-12-27","#214b4a"
"Scala 78-03-30","scala-78-03-30","#3b4745"
"Scala 81-03-27","scala-81-03-27","#48534f"
"Scala 81-06-30","scala-81-06-30","#323f37"
"Scala 81-09-30","scala-81-09-30","#21493c"
"Scala 84-09-27","scala-84-09-27","#6b7f5e"
"Scala 84-09-30","scala-84-09-30","#46553e"
"Scala 84-18-27","scala-84-18-27","#3b6c40"
"Scala 87-03-06","scala-87-03-06","#ddded4"
"Scala 87-03-15","scala-87-03-15","#aeb0a5"
"Scala 87-03-21","scala-87-03-21","#7c7e74"
"Scala 90-06-12","scala-90-06-12","#c0c0aa"
"Scala 90-06-21","scala-90-06-21","#7f7d68"
"Scala 93-09-24","scala-93-09-24","#9e9666"
"Scala 93-09-30","scala-93-09-30","#68613e"
