"Scala 03-03-21","scala-03-03-21","#7f7d75"
"Scala 03-03-24","scala-03-03-24","#6d6a63"
"Scala 03-03-25","scala-03-03-25","#646058"
"Scala 03-03-27","scala-03-03-27","#5a544a"
"Scala 03-03-30","scala-03-03-30","#4b473d"
"Scala 03-06-21","scala-03-06-21","#847963"
"Scala 03-06-24","scala-03-06-24","#6b604c"
"Scala 03-06-27","scala-03-06-27","#595244"
"Scala 03-06-30","scala-03-06-30","#3e3c35"
"Scala 03-09-21","scala-03-09-21","#8e7c56"
"Scala 03-09-24","scala-03-09-24","#756446"
"Scala 03-09-27","scala-03-09-27","#554a2c"
"Scala 03-12-21","scala-03-12-21","#8f753c"
"Scala 03-12-24","scala-03-12-24","#746135"
"Scala 03-15-21","scala-03-15-21","#b08d1d"
"Scala 03-15-24","scala-03-15-24","#a28121"
"Scala 06-06-21","scala-06-06-21","#8b7f6c"
"Scala 06-06-24","scala-06-06-24","#625749"
"Scala 06-06-27","scala-06-06-27","#433d35"
"Scala 06-09-21","scala-06-09-21","#87714b"
"Scala 06-09-24","scala-06-09-24","#6f5d40"
"Scala 06-09-27","scala-06-09-27","#62543a"
"Scala 06-12-21","scala-06-12-21","#9d7b3e"
"Scala 06-12-24","scala-06-12-24","#7d643a"
"Scala 06-15-21","scala-06-15-21","#987629"
"Scala 09-06-21","scala-09-06-21","#786e62"
"Scala 09-06-24","scala-09-06-24","#5a4f41"
"Scala 09-06-27","scala-09-06-27","#454139"
"Scala 09-09-21","scala-09-09-21","#886e47"
"Scala 09-09-24","scala-09-09-24","#5e4e38"
"Scala 09-12-21","scala-09-12-21","#926f39"
"Scala 09-12-24","scala-09-12-24","#7a5e3a"
"Scala 12-03-19","scala-12-03-19","#8e8c86"
"Scala 12-03-21","scala-12-03-21","#817e79"
"Scala 12-03-24","scala-12-03-24","#706c66"
"Scala 12-03-27","scala-12-03-27","#5d5751"
"Scala 12-06-19","scala-12-06-19","#958575"
"Scala 12-06-21","scala-12-06-21","#897769"
"Scala 12-06-24","scala-12-06-24","#6e5e51"
"Scala 12-06-27","scala-12-06-27","#5c4c3e"
"Scala 12-09-19","scala-12-09-19","#9c7e63"
"Scala 12-09-21","scala-12-09-21","#8c6f56"
"Scala 12-09-24","scala-12-09-24","#775d45"
"Scala 12-09-27","scala-12-09-27","#634d3a"
"Scala 12-09-30","scala-12-09-30","#504036"
"Scala 12-09-33","scala-12-09-33","#292728"
"Scala 12-12-21","scala-12-12-21","#956e45"
"Scala 12-12-24","scala-12-12-24","#845f3d"
"Scala 12-12-27","scala-12-12-27","#725133"
"Scala 12-15-21","scala-12-15-21","#9a6738"
"Scala 12-15-24","scala-12-15-24","#86572f"
"Scala 12-18-21","scala-12-18-21","#ad6d2b"
"Scala 15-03-21","scala-15-03-21","#887e77"
"Scala 15-03-22","scala-15-03-22","#7d736e"
"Scala 15-03-24","scala-15-03-24","#756963"
"Scala 15-06-21","scala-15-06-21","#978275"
"Scala 15-06-22","scala-15-06-22","#836e60"
"Scala 15-06-24","scala-15-06-24","#765d4e"
"Scala 15-06-27","scala-15-06-27","#594941"
"Scala 15-06-30","scala-15-06-30","#493835"
"Scala 15-09-21","scala-15-09-21","#95735d"
"Scala 15-09-24","scala-15-09-24","#775541"
"Scala 15-09-27","scala-15-09-27","#62493b"
"Scala 15-09-30","scala-15-09-30","#554236"
"Scala 15-12-21","scala-15-12-21","#9e6d48"
"Scala 15-12-24","scala-15-12-24","#7e5133"
"Scala 15-12-27","scala-15-12-27","#704c35"
"Scala 15-15-21","scala-15-15-21","#a86d3d"
"Scala 15-15-24","scala-15-15-24","#8a5631"
"Scala 15-18-21","scala-15-18-21","#ad6c35"
"Scala 18-06-21","scala-18-06-21","#827875"
"Scala 18-06-24","scala-18-06-24","#6a5f5d"
