"Scala 03-03-03","scala-03-03-03","#e7e5e0"
"Scala 03-03-06","scala-03-03-06","#e1ded3"
"Scala 03-03-09","scala-03-03-09","#d4d3ca"
"Scala 03-03-15","scala-03-03-15","#b6b3aa"
"Scala 03-03-16","scala-03-03-16","#a2a098"
"Scala 03-03-18","scala-03-03-18","#918e86"
"Scala 03-03-24","scala-03-03-24","#6d6a63"
"Scala 03-03-27","scala-03-03-27","#59544a"
"Scala 03-09-24","scala-03-09-24","#756446"
"Scala 03-15-15","scala-03-15-15","#d4b139"
"Scala 03-18-18","scala-03-18-18","#eeb800"
"Scala 03-21-18","scala-03-21-18","#edb700"
"Scala 06-06-03","scala-06-06-03","#ebe5d6"
"Scala 06-06-06","scala-06-06-06","#dfd8c6"
"Scala 06-06-09","scala-06-06-09","#d7cfbb"
"Scala 06-06-15","scala-06-06-15","#bdb39a"
"Scala 06-09-06","scala-06-09-06","#ecdbba"
"Scala 06-09-12","scala-06-09-12","#d7c399"
"Scala 06-18-09","scala-06-18-09","#f1cd61"
"Scala 06-21-18","scala-06-21-18","#dca00b"
"Scala 09-06-06","scala-09-06-06","#e5dfd2"
"Scala 09-06-12","scala-09-06-12","#ccc3b1"
"Scala 09-06-21","scala-09-06-21","#786e62"
"Scala 09-06-27","scala-09-06-27","#454138"
"Scala 09-09-06","scala-09-09-06","#ebdcc1"
"Scala 09-09-09","scala-09-09-09","#e1d2b6"
"Scala 09-09-15","scala-09-09-15","#cab186"
"Scala 09-09-21","scala-09-09-21","#886e47"
"Scala 09-12-06","scala-09-12-06","#f3ddb2"
"Scala 09-12-18","scala-09-12-18","#b49150"
"Scala 09-15-15","scala-09-15-15","#d3a75b"
"Scala 09-15-18","scala-09-15-18","#b6873b"
"Scala 09-21-15","scala-09-21-15","#f1a901"
"Scala 09-21-18","scala-09-21-18","#da920f"
"Scala 09-24-15","scala-09-24-15","#faa900"
"Scala 12-03-03","scala-12-03-03","#e5ded6"
"Scala 12-03-09","scala-12-03-09","#ccc7bd"
"Scala 12-03-12","scala-12-03-12","#bab4ab"
"Scala 12-03-15","scala-12-03-15","#a8a39b"
"Scala 12-03-18","scala-12-03-18","#9b9890"
"Scala 12-03-19","scala-12-03-19","#8e8c86"
"Scala 12-03-21","scala-12-03-21","#817e79"
"Scala 12-03-24","scala-12-03-24","#706c66"
"Scala 12-06-12","scala-12-06-12","#bfae9e"
"Scala 12-06-18","scala-12-06-18","#a18f7a"
"Scala 12-09-30","scala-12-09-30","#504036"
"Scala 12-09-33","scala-12-09-33","#292727"
"Scala 12-12-18","scala-12-12-18","#ab8456"
"Scala 12-15-18","scala-12-15-18","#bd8748"
"Scala 12-15-21","scala-12-15-21","#9a6738"
"Scala 12-18-18","scala-12-18-18","#e08c00"
"Scala 12-21-15","scala-12-21-15","#ff9d00"
"Scala 15-06-24","scala-15-06-24","#765d4e"
"Scala 15-06-30","scala-15-06-30","#493835"
"Scala 15-12-27","scala-15-12-27","#704c35"
"Scala 15-18-15","scala-15-18-15","#e49d57"
"Scala 15-21-15","scala-15-21-15","#f09427"
"Scala 18-06-33","scala-18-06-33","#3a312f"
"Scala 18-09-27","scala-18-09-27","#5e4134"
"Scala 18-15-24","scala-18-15-24","#a05c36"
"Scala 18-21-18","scala-18-21-18","#db722b"
"Scala 18-24-21","scala-18-24-21","#d5721e"
"Scala 21-06-30","scala-21-06-30","#50433e"
"Scala 21-09-24","scala-21-09-24","#795245"
"Scala 21-09-27","scala-21-09-27","#623b35"
"Scala 21-12-24","scala-21-12-24","#8c4f3c"
"Scala 21-18-18","scala-21-18-18","#ee7933"
"Scala 21-18-24","scala-21-18-24","#ca6135"
"Scala 24-06-15","scala-24-06-15","#beaaa4"
"Scala 24-06-30","scala-24-06-30","#473234"
"Scala 24-09-30","scala-24-09-30","#513630"
"Scala 24-12-18","scala-24-12-18","#c18671"
"Scala 24-15-21","scala-24-15-21","#c96956"
"Scala 24-15-27","scala-24-15-27","#6f3e3a"
"Scala 24-18-27","scala-24-18-27","#8b493f"
"Scala 24-18-30","scala-24-18-30","#6e2d29"
"Scala 24-21-15","scala-24-21-15","#e96742"
"Scala 24-21-18","scala-24-21-18","#db5621"
"Scala 24-21-24","scala-24-21-24","#b65033"
"Scala 24-24-24","scala-24-24-24","#a94335"
"Scala 27-09-30","scala-27-09-30","#5e2d33"
"Scala 27-09-33","scala-27-09-33","#43252a"
"Scala 27-12-27","scala-27-12-27","#7b3b3c"
"Scala 27-12-30","scala-27-12-30","#793435"
"Scala 27-15-21","scala-27-15-21","#b3625b"
"Scala 27-18-24","scala-27-18-24","#a4453d"
"Scala 27-18-30","scala-27-18-30","#82292f"
"Scala 27-21-21","scala-27-21-21","#ba3e2f"
"Scala 27-21-27","scala-27-21-27","#982d30"
"Scala 27-24-24","scala-27-24-24","#b42624"
"Scala 27-24-27","scala-27-24-27","#a23330"
"Scala 27-24-30","scala-27-24-30","#993033"
"Scala 30-18-21","scala-30-18-21","#c65660"
"Scala 30-18-24","scala-30-18-24","#c44551"
"Scala 30-18-27","scala-30-18-27","#a83146"
"Scala 30-18-33","scala-30-18-33","#6c2c32"
"Scala 33-09-13","scala-33-09-13","#d2bcbf"
