"Scala 03-03-03","scala-03-03-03","#e7e6e0"
"Scala 03-03-09","scala-03-03-09","#d4d3ca"
"Scala 03-03-25","scala-03-03-25","#646058"
"Scala 03-06-03","scala-03-06-03","#f3edd9"
"Scala 03-06-15","scala-03-06-15","#b1a995"
"Scala 03-06-21","scala-03-06-21","#847963"
"Scala 03-09-01","scala-03-09-01","#f5edd9"
"Scala 03-09-12","scala-03-09-12","#dac792"
"Scala 03-09-18","scala-03-09-18","#a18f62"
"Scala 03-12-01","scala-03-12-01","#f6edc7"
"Scala 03-12-06","scala-03-12-06","#f3dea1"
"Scala 03-12-12","scala-03-12-12","#e1c87b"
"Scala 03-12-16","scala-03-12-16","#ba9f5c"
"Scala 03-15-01","scala-03-15-01","#f6edc1"
"Scala 03-15-02","scala-03-15-02","#f6ebb5"
"Scala 03-15-03","scala-03-15-03","#f5e3a0"
"Scala 03-15-09","scala-03-15-09","#f7d166"
"Scala 03-15-15","scala-03-15-15","#d4b139"
"Scala 03-18-18","scala-03-18-18","#eeb900"
"Scala 03-21-12","scala-03-21-12","#facc2d"
"Scala 06-06-09","scala-06-06-09","#d7cfbb"
"Scala 06-06-18","scala-06-06-18","#9c917a"
"Scala 06-09-15","scala-06-09-15","#c5ab7a"
"Scala 06-09-24","scala-06-09-24","#6f5d40"
"Scala 06-12-01","scala-06-12-01","#f2eddb"
"Scala 06-12-02","scala-06-12-02","#f2e9cd"
"Scala 06-12-03","scala-06-12-03","#eee2be"
"Scala 06-12-09","scala-06-12-09","#e3c98f"
"Scala 06-15-01","scala-06-15-01","#f6efd1"
"Scala 06-15-02","scala-06-15-02","#f5e9bd"
"Scala 06-15-03","scala-06-15-03","#f5e4ac"
"Scala 06-15-06","scala-06-15-06","#f3de98"
"Scala 06-15-09","scala-06-15-09","#f1cb75"
"Scala 06-15-21","scala-06-15-21","#987629"
"Scala 06-21-12","scala-06-21-12","#f7cc59"
"Scala 06-21-15","scala-06-21-15","#f8b400"
"Scala 09-07-03","scala-09-07-03","#ece4d2"
"Scala 09-07-09","scala-09-07-09","#dacdb6"
"Scala 09-09-01","scala-09-09-01","#f6f0df"
"Scala 09-09-02","scala-09-09-02","#f7edd8"
"Scala 09-09-03","scala-09-09-03","#f6e7d0"
"Scala 09-09-06","scala-09-09-06","#ebdcc1"
"Scala 09-11-12","scala-09-11-12","#dcc294"
"Scala 09-12-01","scala-09-12-01","#f1ead8"
"Scala 09-12-24","scala-09-12-24","#7a5e3a"
"Scala 09-15-02","scala-09-15-02","#f7e7c6"
"Scala 09-15-18","scala-09-15-18","#b6873b"
"Scala 09-18-03","scala-09-18-03","#f6e5b9"
"Scala 09-18-09","scala-09-18-09","#f6d48c"
"Scala 09-18-15","scala-09-18-15","#dfae5e"
"Scala 09-21-12","scala-09-21-12","#fdc560"
"Scala 09-24-15","scala-09-24-15","#faa900"
"Scala 12-03-03","scala-12-03-03","#e5ded7"
"Scala 12-03-09","scala-12-03-09","#ccc7bd"
"Scala 12-03-24","scala-12-03-24","#706c66"
"Scala 12-06-12","scala-12-06-12","#bfae9e"
"Scala 12-06-19","scala-12-06-19","#958575"
"Scala 12-09-06","scala-12-09-06","#ebd6ba"
"Scala 12-09-30","scala-12-09-30","#504036"
"Scala 12-15-03","scala-12-15-03","#f6e9cc"
"Scala 12-15-12","scala-12-15-12","#eebb76"
"Scala 12-15-24","scala-12-15-24","#86572f"
"Scala 12-18-02","scala-12-18-02","#f6e3be"
"Scala 12-18-03","scala-12-18-03","#f7e0b3"
"Scala 12-18-06","scala-12-18-06","#fadaa3"
"Scala 12-18-07","scala-12-18-07","#f8d195"
"Scala 12-18-12","scala-12-18-12","#edaa55"
"Scala 12-21-12","scala-12-21-12","#ffb245"
"Scala 15-03-03","scala-15-03-03","#eee8de"
"Scala 15-09-09","scala-15-09-09","#dfcab5"
"Scala 15-09-15","scala-15-09-15","#cbac92"
"Scala 15-09-21","scala-15-09-21","#95735d"
"Scala 15-09-27","scala-15-09-27","#62493b"
"Scala 15-12-21","scala-15-12-21","#9e6d48"
"Scala 15-15-01","scala-15-15-01","#f6eddd"
"Scala 15-15-03","scala-15-15-03","#f7e8d5"
"Scala 15-15-06","scala-15-15-06","#f7dabd"
"Scala 15-15-12","scala-15-15-12","#eab486"
"Scala 15-15-18","scala-15-15-18","#c3844c"
"Scala 15-18-06","scala-15-18-06","#f9dab9"
"Scala 15-18-07","scala-15-18-07","#f6cea4"
"Scala 15-18-12","scala-15-18-12","#fdb268"
"Scala 15-18-21","scala-15-18-21","#ad6c35"
"Scala 15-21-15","scala-15-21-15","#f09427"
"Scala 18-06-03","scala-18-06-03","#f0e9e1"
"Scala 18-09-03","scala-18-09-03","#f1e2d1"
"Scala 18-09-09","scala-18-09-09","#e1c5ae"
"Scala 18-09-12","scala-18-09-12","#dbbaa2"
"Scala 18-09-25","scala-18-09-25","#6f4c3b"
"Scala 18-12-03","scala-18-12-03","#f0dac6"
"Scala 18-12-06","scala-18-12-06","#f9d9c0"
"Scala 18-12-07","scala-18-12-07","#f2ceb4"
"Scala 18-12-13","scala-18-12-13","#e1b08e"
"Scala 18-12-15","scala-18-12-15","#d7a07c"
"Scala 18-12-21","scala-18-12-21","#a57254"
"Scala 18-15-18","scala-18-15-18","#c37b52"
"Scala 18-15-30","scala-18-15-30","#7f4b36"
"Scala 18-18-12","scala-18-18-12","#f7a972"
"Scala 18-21-15","scala-18-21-15","#f88f45"
"Scala 18-21-18","scala-18-21-18","#dc722c"
"Scala 21-06-24","scala-21-06-24","#7b6862"
"Scala 21-06-30","scala-21-06-30","#50433e"
"Scala 21-09-03","scala-21-09-03","#f7e9db"
"Scala 21-12-06","scala-21-12-06","#fcdbc7"
"Scala 21-12-09","scala-21-12-09","#ecc9b6"
"Scala 21-12-27","scala-21-12-27","#6f4136"
"Scala 21-15-12","scala-21-15-12","#ecb292"
"Scala 21-15-16","scala-21-15-16","#d9906f"
"Scala 21-16-18","scala-21-16-18","#d27750"
"Scala 21-16-24","scala-21-16-24","#b65532"
"Scala 21-18-16","scala-21-18-16","#f9965f"
"Scala 21-18-21","scala-21-18-21","#e56d2f"
"Scala 24-06-03","scala-24-06-03","#f3e8e3"
"Scala 24-06-06","scala-24-06-06","#e8d9cf"
"Scala 24-06-12","scala-24-06-12","#d2bfb7"
"Scala 24-06-19","scala-24-06-19","#927b75"
"Scala 24-06-27","scala-24-06-27","#60494a"
"Scala 24-09-12","scala-24-09-12","#dcb8aa"
"Scala 24-09-16","scala-24-09-16","#c19a8e"
"Scala 24-09-24","scala-24-09-24","#7d5650"
"Scala 24-12-03","scala-24-12-03","#f4e2d7"
"Scala 24-12-06","scala-24-12-06","#fad9cb"
"Scala 24-12-16","scala-24-12-16","#d09682"
"Scala 24-13-18","scala-24-13-18","#c98674"
"Scala 24-13-21","scala-24-13-21","#b46d5c"
"Scala 24-13-24","scala-24-13-24","#9c5a50"
"Scala 24-15-15","scala-24-15-15","#ec9d83"
"Scala 24-18-18","scala-24-18-18","#da7a63"
"Scala 24-18-23","scala-24-18-23","#ba5d4a"
"Scala 24-21-15","scala-24-21-15","#ea6742"
"Scala 24-24-21","scala-24-24-21","#d14c2a"
"Scala 24-24-24","scala-24-24-24","#a94335"
"Scala 27-09-03","scala-27-09-03","#eddbd3"
"Scala 27-09-06","scala-27-09-06","#f0dcd5"
"Scala 27-09-09","scala-27-09-09","#e5ccc7"
"Scala 27-09-19","scala-27-09-19","#b58b80"
"Scala 27-09-30","scala-27-09-30","#5e2d33"
"Scala 27-09-33","scala-27-09-33","#43252a"
"Scala 27-12-06","scala-27-12-06","#f6dbd4"
"Scala 27-12-09","scala-27-12-09","#ebc9c2"
"Scala 27-15-06","scala-27-15-06","#fdd4cc"
"Scala 27-15-12","scala-27-15-12","#f3b0a7"
"Scala 27-15-24","scala-27-15-24","#9d4641"
"Scala 27-18-15","scala-27-18-15","#ef978a"
"Scala 27-21-18","scala-27-21-18","#e46d64"
"Scala 27-21-30","scala-27-21-30","#a23940"
"Scala 27-24-24","scala-27-24-24","#b42624"
"Scala 27-24-27","scala-27-24-27","#a23230"
"Scala 30-06-06","scala-30-06-06","#ebdcda"
"Scala 30-06-12","scala-30-06-12","#d4c4c5"
"Scala 30-06-30","scala-30-06-30","#493a3f"
"Scala 30-09-03","scala-30-09-03","#f8e4e1"
"Scala 30-09-06","scala-30-09-06","#f2dbdb"
"Scala 30-09-09","scala-30-09-09","#e5caca"
"Scala 30-12-24","scala-30-12-24","#8e5258"
"Scala 30-15-06","scala-30-15-06","#f9d8d7"
