"Y1-2-03","y1-2-03","#efc84f"
"Y1-2-04","y1-2-04","#fae698"
"Y1-2-05","y1-2-05","#f9e599"
"Y1-2-06","y1-2-06","#fdf6cd"
"Y1-3-03","y1-3-03","#e4bb4a"
"Y1-3-04","y1-3-04","#f2d67d"
"Y1-3-05","y1-3-05","#f3d982"
"Y1-3-06","y1-3-06","#f9e6a1"
"Y1-3-07","y1-3-07","#fff2c0"
"Y1-4-03","y1-4-03","#d6ae52"
"Y1-4-04","y1-4-04","#deb85c"
"Y1-4-05","y1-4-05","#e6c875"
"Y1-4-06","y1-4-06","#ecd78f"
"Y1-4-07","y1-4-07","#f3e1a1"
"Y1-4-08","y1-4-08","#f9eebc"
"Y1-5-03","y1-5-03","#c0a05d"
"Y1-5-04","y1-5-04","#d0b270"
"Y1-5-05","y1-5-05","#d8c085"
"Y1-5-06","y1-5-06","#decb95"
"Y1-5-07","y1-5-07","#e5d6a3"
"Y1-5-08","y1-5-08","#eee2b4"
"Y1-6-03","y1-6-03","#b49965"
"Y1-6-04","y1-6-04","#c0a570"
"Y1-6-05","y1-6-05","#cbb280"
"Y1-6-06","y1-6-06","#d5bf91"
"Y1-6-07","y1-6-07","#e0cfa3"
"Y1-6-08","y1-6-08","#e9ddb6"
"Y1-6-09","y1-6-09","#f2eacb"
"YG-03","yg-03","#827460"
"YG-04","yg-04","#8f816e"
"YG-05","yg-05","#9f927f"
"YG-06","yg-06","#ab9f8c"
"YG-07","yg-07","#bcb09d"
"YG-08","yg-08","#c9bfae"
"YG-09","yg-09","#d9d1c3"
"YG-10","yg-10","#e5dfd3"
"YG-11","yg-11","#f3eee4"
"Y2-6-03","y2-6-03","#9b7a53"
"Y2-6-04","y2-6-04","#a98960"
"Y2-6-05","y2-6-05","#b4956c"
"Y2-6-06","y2-6-06","#bca079"
"Y2-6-07","y2-6-07","#cdb28a"
"Y2-6-08","y2-6-08","#d6bf9a"
"Y2-6-09","y2-6-09","#decba9"
"Y2-6-10","y2-6-10","#e8d7b6"
"Y2-5-03","y2-5-03","#ae8859"
"Y2-5-04","y2-5-04","#bb9667"
"Y2-5-05","y2-5-05","#c4a174"
"Y2-5-06","y2-5-06","#cead81"
"Y2-5-07","y2-5-07","#dabe91"
"Y2-5-08","y2-5-08","#e2caa1"
"Y2-5-09","y2-5-09","#ead6b0"
"Y2-5-10","y2-5-10","#f4e3c2"
"Y2-4-03","y2-4-03","#c29150"
"Y2-4-04","y2-4-04","#cca064"
"Y2-4-05","y2-4-05","#d7ae75"
"Y2-4-06","y2-4-06","#e1bc84"
"Y2-4-07","y2-4-07","#e8c995"
"Y2-4-08","y2-4-08","#f0d7a8"
"Y2-4-09","y2-4-09","#f8e3bb"
"Y2-3-03","y2-3-03","#d69c42"
"Y2-3-04","y2-3-04","#e0ac53"
"Y2-3-05","y2-3-05","#eaba6a"
