"S 0505-G90Y","s-0505-g90y","#f7f4df"
"S 1010-G90Y","s-1010-g90y","#e5debd"
"S 1510-G90Y","s-1510-g90y","#d8d2b3"
"S 0804-G90Y","s-0804-g90y","#ebe8d7"
"S 0907-G90Y","s-0907-g90y","#e8e4cb"
"S 1005-G90Y","s-1005-g90y","#e5e2ce"
"S 1505-G90Y","s-1505-g90y","#d7d4c2"
"S 2005-G90Y","s-2005-g90y","#ccc8b7"
"S 0510-G90Y","s-0510-g90y","#f6f1ce"
"S 1010-G90Y","s-1010-g90y","#e5dfbd"
"S 2010-G90Y","s-2010-g90y","#ccc4a5"
"S 3010-G90Y","s-3010-g90y","#b4ad91"
"S 4010-G90Y","s-4010-g90y","#9e967d"
"S 5010-G90Y","s-5010-g90y","#8b836e"
"S 6010-G90Y","s-6010-g90y","#746e5b"
"S 7010-G90Y","s-7010-g90y","#5e5644"
"S 8010-G90Y","s-8010-g90y","#484232"
"S 0515-G90Y","s-0515-g90y","#f6edbe"
"S 1015-G90Y","s-1015-g90y","#e7dfb2"
"S 1515-G90Y","s-1515-g90y","#d9cfa5"
"S 1510-G90Y","s-1510-g90y","#d7d2b3"
"S 2010-G90Y","s-2010-g90y","#cac3a4"
"S 3010-G90Y","s-3010-g90y","#b3ab90"
"S 5010-G90Y","s-5010-g90y","#8a836d"
"S 6010-G90Y","s-6010-g90y","#736d5b"
"S 0520-G90Y","s-0520-g90y","#f3eab1"
"S 1020-G90Y","s-1020-g90y","#e8dea7"
"S 2020-G90Y","s-2020-g90y","#ccc192"
"S 3020-G90Y","s-3020-g90y","#b5a87b"
"S 4020-G90Y","s-4020-g90y","#9c916b"
"S 5020-G90Y","s-5020-g90y","#867b58"
"S 6020-G90Y","s-6020-g90y","#706443"
"S 7020-G90Y","s-7020-g90y","#54472c"
"S 0530-G90Y","s-0530-g90y","#faec9b"
"S 1030-G90Y","s-1030-g90y","#e5d88d"
"S 2030-G90Y","s-2030-g90y","#c8ba76"
"S 3030-G90Y","s-3030-g90y","#b3a263"
"S 4030-G90Y","s-4030-g90y","#998a54"
"S 4040-G90Y","s-4040-g90y","#937f3d"
"S 5030-G90Y","s-5030-g90y","#847542"
"S 5040-G90Y","s-5040-g90y","#7b672b"
"S 6030-G90Y","s-6030-g90y","#6c5c31"
"S 0540-G90Y","s-0540-g90y","#f8e67f"
"S 0550-G90Y","s-0550-g90y","#f3df66"
"S 1040-G90Y","s-1040-g90y","#e3d376"
"S 1050-G90Y","s-1050-g90y","#e3cf5a"
"S 2040-G90Y","s-2040-g90y","#cbb963"
"S 2050-G90Y","s-2050-g90y","#c3af4a"
"S 3040-G90Y","s-3040-g90y","#ac9b4f"
"S 3050-G90Y","s-3050-g90y","#a59135"
"S 4050-G90Y","s-4050-g90y","#8d7a2d"
"S 0560-G90Y","s-0560-g90y","#efd842"
"S 0570-G90Y","s-0570-g90y","#f2d40d"
"S 0575-G90Y","s-0575-g90y","#efd000"
"S 1060-G90Y","s-1060-g90y","#dec53c"
"S 1070-G90Y","s-1070-g90y","#d8be00"
"S 1075-G90Y","s-1075-g90y","#dbb900"
"S 2060-G90Y","s-2060-g90y","#c0a62d"
"S 2070-G90Y","s-2070-g90y","#be9c00"
"S 3060-G90Y","s-3060-g90y","#a18817"
"S 0502-Y","s-0502-y","#f5f3e6"
"S 0505-Y","s-0505-y","#f7f3de"
"S 0507-Y","s-0507-y","#f7f0d5"
"S 0510-Y","s-0510-y","#f3ebc7"
"S 1010-Y","s-1010-y","#e6ddba"
"S 1002-Y","s-1002-y","#e2dfd5"
"S 1005-Y","s-1005-y","#e6e2cc"
"S 1505-Y","s-1505-y","#dad5c1"
"S 2005-Y","s-2005-y","#cac6b3"
"S 0515-Y","s-0515-y","#fbedbe"
"S 1015-Y","s-1015-y","#e9dcb0"
"S 1515-Y","s-1515-y","#dccfa4"
"S 1510-Y","s-1510-y","#dad1b1"
"S 2010-Y","s-2010-y","#ccc3a5"
"S 3010-Y","s-3010-y","#b6ab8d"
"S 0520-Y","s-0520-y","#fcebb4"
"S 1020-Y","s-1020-y","#e9daa4"
"S 2020-Y","s-2020-y","#cebd8f"
"S 3020-Y","s-3020-y","#b8a67a"
"S 4020-Y","s-4020-y","#a18d65"
"S 5020-Y","s-5020-y","#8b7852"
"S 6020-Y","s-6020-y","#756240"
"S 7020-Y","s-7020-y","#5a492d"
"S 0530-Y","s-0530-y","#fbe496"
"S 1030-Y","s-1030-y","#e6d088"
"S 2030-Y","s-2030-y","#ccb574"
"S 3030-Y","s-3030-y","#b49d63"
"S 4030-Y","s-4030-y","#9e8651"
"S 5030-Y","s-5030-y","#88703d"
"S 6030-Y","s-6030-y","#6f572a"
"S 0540-Y","s-0540-y","#ffe283"
"S 1040-Y","s-1040-y","#efd276"
"S 2040-Y","s-2040-y","#d1b45f"
"S 3040-Y","s-3040-y","#b3964b"
"S 3050-Y","s-3050-y","#b08c36"
"S 4040-Y","s-4040-y","#9a7e3b"
"S 4050-Y","s-4050-y","#957727"
"S 5040-Y","s-5040-y","#83662d"
"S 0550-Y","s-0550-y","#fad668"
"S 0560-Y","s-0560-y","#fcd049"
"S 1050-Y","s-1050-y","#eecc5b"
"S 1060-Y","s-1060-y","#f0c846"
"S 2050-Y","s-2050-y","#c9aa4a"
"S 2060-Y","s-2060-y","#c79f2b"
"S 3060-Y","s-3060-y","#ab8828"
"S 3560-Y","s-3560-y","#a57e25"
"S 4550-Y","s-4550-y","#8d6e2c"
"S 0570-Y","s-0570-y","#f7cc1c"
"S 0580-Y","s-0580-y","#ffcc00"
"S 1060-Y","s-1060-y","#f0c844"
"S 1070-Y","s-1070-y","#ebbf13"
"S 1080-Y","s-1080-y","#e8b600"
"S 2060-Y","s-2060-y","#c79f2c"
"S 2070-Y","s-2070-y","#c79b05"
"S 3060-Y","s-3060-y","#ac8825"
"S 3560-Y","s-3560-y","#a17a1c"
"S 0505-Y10R","s-0505-y10r","#f6efd8"
"S 1010-Y10R","s-1010-y10r","#e7dab8"
