"SIGMA 0001-06","sigma-0001-06","#e5d8b8"
"SIGMA 0002-06","sigma-0002-06","#f9dcaa"
"SIGMA 0003-06","sigma-0003-06","#e6cc9c"
"SIGMA 0004-06","sigma-0004-06","#f3e8d2"
"SIGMA 0005-06","sigma-0005-06","#e3d1b0"
"SIGMA 0006-06","sigma-0006-06","#e6d3b7"
"SIGMA 0007-06","sigma-0007-06","#e2d9c4"
"SIGMA 0008-06","sigma-0008-06","#d1bea3"
"SIGMA 0009-06","sigma-0009-06","#e7d1b8"
"SIGMA 0010-06","sigma-0010-06","#cfb7a1"
"SIGMA 0011-06","sigma-0011-06","#f4e7d8"
"SIGMA 0012-06","sigma-0012-06","#dbd0c3"
"SIGMA 0013-06","sigma-0013-06","#c8bcaf"
"SIGMA 0014-06","sigma-0014-06","#ded9d3"
"SIGMA 0015-06","sigma-0015-06","#ddd3cc"
"SIGMA 0016-06","sigma-0016-06","#c7beb8"
"SIGMA 0017-06","sigma-0017-06","#f3e8df"
"SIGMA 0018-06","sigma-0018-06","#dcccca"
"SIGMA 0019-06","sigma-0019-06","#cbb8b6"
"SIGMA 0020-06","sigma-0020-06","#cab4a9"
"SIGMA 0021-06","sigma-0021-06","#dededa"
"SIGMA 0022-06","sigma-0022-06","#dbdee5"
"SIGMA 0023-06","sigma-0023-06","#d5d2d9"
"SIGMA 0024-06","sigma-0024-06","#efede4"
"SIGMA 0025-06","sigma-0025-06","#ecebe0"
"SIGMA 0026-06","sigma-0026-06","#dcdad0"
"SIGMA 0027-06","sigma-0027-06","#cdc4b2"
"SIGMA 0028-06","sigma-0028-06","#d8dbda"
"SIGMA 0029-06","sigma-0029-06","#d6dbd5"
"SIGMA 0030-06","sigma-0030-06","#ccd0cb"
"SIGMA 0031-06","sigma-0031-06","#c4c4c1"
"SIGMA 0032-06","sigma-0032-06","#c3d6d3"
"SIGMA 0033-06","sigma-0033-06","#b7c1bd"
"SIGMA 0034-06","sigma-0034-06","#afbec0"
"SIGMA 0035-06","sigma-0035-06","#ddeee2"
"SIGMA 0036-06","sigma-0036-06","#cddfd3"
"SIGMA 0037-06","sigma-0037-06","#adc2b7"
"SIGMA 0038-06","sigma-0038-06","#d9dfc7"
"SIGMA 0039-06","sigma-0039-06","#c8d5c6"
"SIGMA 0040-06","sigma-0040-06","#b6bfac"
"SIGMA 0041-06","sigma-0041-06","#eaeccb"
"SIGMA 0042-06","sigma-0042-06","#ddddbe"
"SIGMA 0043-06","sigma-0043-06","#c1c1a5"
"SIGMA 0044-06","sigma-0044-06","#aaab91"
"SIGMA 0045-06","sigma-0045-06","#efe392"
"SIGMA 0046-06","sigma-0046-06","#e0d6b4"
"SIGMA 0047-06","sigma-0047-06","#c9bea4"
"SIGMA 0048-06","sigma-0048-06","#e0dabc"
"SIGMA 0049-06","sigma-0049-06","#c6bb8c"
"SIGMA 0050-06","sigma-0050-06","#f1e1ab"
"SIGMA 0051-06","sigma-0051-06","#ded288"
"SIGMA 0052-06","sigma-0052-06","#c5b173"
"SIGMA 0053-06","sigma-0053-06","#e8cb73"
"SIGMA 0054-06","sigma-0054-06","#d7c657"
"SIGMA 0055-06","sigma-0055-06","#c4b65f"
"SIGMA 0056-06","sigma-0056-06","#efc485"
"SIGMA 0057-06","sigma-0057-06","#d1aa72"
"SIGMA 0058-06","sigma-0058-06","#cea371"
"SIGMA 0059-06","sigma-0059-06","#eaac94"
"SIGMA 0060-06","sigma-0060-06","#e79269"
"SIGMA 0061-06","sigma-0061-06","#f5dfdb"
"SIGMA 0062-06","sigma-0062-06","#efced0"
"SIGMA 0063-06","sigma-0063-06","#e4adc6"
"SIGMA 0064-06","sigma-0064-06","#b8e0df"
"SIGMA 0065-06","sigma-0065-06","#87c7de"
"SIGMA 0066-06","sigma-0066-06","#b1d4c2"
"SIGMA 0067-06","sigma-0067-06","#91bbb2"
"SIGMA 0068-06","sigma-0068-06","#7dbaaf"
"SIGMA 0069-06","sigma-0069-06","#deeda5"
"SIGMA 0070-06","sigma-0070-06","#d5d989"
"SIGMA 0071-06","sigma-0071-06","#bcba75"
"SIGMA 0072-06","sigma-0072-06","#a4b368"
"SIGMA 0073-06","sigma-0073-06","#ecc542"
"SIGMA 0074-06","sigma-0074-06","#f0aa42"
"SIGMA 0075-06","sigma-0075-06","#e99d18"
"SIGMA 0076-06","sigma-0076-06","#d19c71"
"SIGMA 0077-06","sigma-0077-06","#d3874b"
"SIGMA 0078-06","sigma-0078-06","#d07f4e"
"SIGMA 0079-06","sigma-0079-06","#be8664"
"SIGMA 0080-06","sigma-0080-06","#b9794f"
"SIGMA 0081-06","sigma-0081-06","#b7773a"
"SIGMA 0082-06","sigma-0082-06","#bd4f23"
"SIGMA 0083-06","sigma-0083-06","#b34432"
"SIGMA 0084-06","sigma-0084-06","#ac3b33"
"SIGMA 0085-06","sigma-0085-06","#dc6f5a"
"SIGMA 0086-06","sigma-0086-06","#ad2c15"
"SIGMA 0087-06","sigma-0087-06","#9a061f"
"SIGMA 0088-06","sigma-0088-06","#b96473"
"SIGMA 0089-06","sigma-0089-06","#8c3243"
"SIGMA 0090-06","sigma-0090-06","#784b61"
"SIGMA 0091-06","sigma-0091-06","#60336a"
"SIGMA 0092-06","sigma-0092-06","#515980"
"SIGMA 0093-06","sigma-0093-06","#212556"
"SIGMA 0094-06","sigma-0094-06","#4197ba"
"SIGMA 0095-06","sigma-0095-06","#00639a"
"SIGMA 0096-06","sigma-0096-06","#005684"
"SIGMA 0097-06","sigma-0097-06","#13335d"
"SIGMA 0098-06","sigma-0098-06","#7fa49d"
"SIGMA 0099-06","sigma-0099-06","#4c8583"
"SIGMA 0100-06","sigma-0100-06","#00515b"
"SIGMA 0101-06","sigma-0101-06","#80a798"
"SIGMA 0102-06","sigma-0102-06","#34706e"
"SIGMA 0103-06","sigma-0103-06","#004d50"
"SIGMA 0104-06","sigma-0104-06","#7cad75"
"SIGMA 0105-06","sigma-0105-06","#3b7d5e"
"SIGMA 0106-06","sigma-0106-06","#2f6a58"
"SIGMA 0107-06","sigma-0107-06","#004c3b"
"SIGMA 0108-06","sigma-0108-06","#79ad3d"
"SIGMA 0109-06","sigma-0109-06","#398036"
"SIGMA 0110-06","sigma-0110-06","#00412e"
"SIGMA 0111-06","sigma-0111-06","#aeb980"
"SIGMA 0112-06","sigma-0112-06","#839e6f"
"SIGMA 0113-06","sigma-0113-06","#446e4d"
"SIGMA 0114-06","sigma-0114-06","#004e2e"
"SIGMA 0115-06","sigma-0115-06","#b36d56"
"SIGMA 0116-06","sigma-0116-06","#a16855"
"SIGMA 0117-06","sigma-0117-06","#9a5741"
"SIGMA 0118-06","sigma-0118-06","#ab5b43"
"SIGMA 0119-06","sigma-0119-06","#9c412f"
"SIGMA 0120-06","sigma-0120-06","#962e19"
"SIGMA 0121-06","sigma-0121-06","#a55148"
"SIGMA 0122-06","sigma-0122-06","#973a33"
"SIGMA 0123-06","sigma-0123-06","#ab6667"
"SIGMA 0124-06","sigma-0124-06","#7c2a2d"
"SIGMA 0125-06","sigma-0125-06","#63111a"
"SIGMA 0126-06","sigma-0126-06","#ac675f"
"SIGMA 0127-06","sigma-0127-06","#924e47"
"SIGMA 0128-06","sigma-0128-06","#7d4942"
"SIGMA 0129-06","sigma-0129-06","#ad777e"
"SIGMA 0130-06","sigma-0130-06","#9a6560"
"SIGMA 0131-06","sigma-0131-06","#7b4a51"
"SIGMA 0132-06","sigma-0132-06","#78809a"
"SIGMA 0133-06","sigma-0133-06","#656c84"
"SIGMA 0134-06","sigma-0134-06","#494f6c"
"SIGMA 0135-06","sigma-0135-06","#9bb2c5"
"SIGMA 0136-06","sigma-0136-06","#6e8498"
"SIGMA 0137-06","sigma-0137-06","#436180"
"SIGMA 0138-06","sigma-0138-06","#95bdc0"
"SIGMA 0139-06","sigma-0139-06","#6d9291"
"SIGMA 0140-06","sigma-0140-06","#376878"
