"SIGMA 1231-5","sigma-1231-5","#adccd8"
"SIGMA 1232-5","sigma-1232-5","#679fba"
"SIGMA 1233-5","sigma-1233-5","#4c88a6"
"SIGMA 1234-5","sigma-1234-5","#397490"
"SIGMA 1235-5","sigma-1235-5","#6692a7"
"SIGMA 1236-5","sigma-1236-5","#98b7c4"
"SIGMA 1237-5","sigma-1237-5","#cad9dc"
"SIGMA 1238-5","sigma-1238-5","#97b8c1"
"SIGMA 1239-5","sigma-1239-5","#7a9ea8"
"SIGMA 1240-5","sigma-1240-5","#326676"
"SIGMA 1241-5","sigma-1241-5","#708186"
"SIGMA 1242-5","sigma-1242-5","#95a6ad"
"SIGMA 1243-5","sigma-1243-5","#d4e9e3"
"SIGMA 1244-5","sigma-1244-5","#aad3cf"
"SIGMA 1245-5","sigma-1245-5","#64a09d"
"SIGMA 1246-5","sigma-1246-5","#4a8583"
"SIGMA 1247-5","sigma-1247-5","#3b605f"
"SIGMA 1248-5","sigma-1248-5","#6d9191"
"SIGMA 1249-5","sigma-1249-5","#93bab7"
"SIGMA 1250-5","sigma-1250-5","#7ea69e"
"SIGMA 3200-5","sigma-3200-5","#f4e6c4"
"SIGMA 3201-5","sigma-3201-5","#f8e2ac"
"SIGMA 3202-5","sigma-3202-5","#ebc174"
"SIGMA 3203-5","sigma-3203-5","#d19c2e"
"SIGMA 3204-5","sigma-3204-5","#d5ac62"
"SIGMA 3205-5","sigma-3205-5","#e6d9b8"
"SIGMA 3206-5","sigma-3206-5","#b2a78a"
"SIGMA 3207-5","sigma-3207-5","#b1a276"
"SIGMA 3208-5","sigma-3208-5","#e3d9b7"
"SIGMA 3209-5","sigma-3209-5","#ccb58a"
"SIGMA 3210-5","sigma-3210-5","#b79f76"
"SIGMA 3211-5","sigma-3211-5","#9d8864"
"SIGMA 3212-5","sigma-3212-5","#b99961"
"SIGMA 3213-5","sigma-3213-5","#e8c987"
"SIGMA 3214-5","sigma-3214-5","#e2d0af"
"SIGMA 3215-5","sigma-3215-5","#cfb386"
"SIGMA 3216-5","sigma-3216-5","#b79b71"
"SIGMA 3217-5","sigma-3217-5","#b6915d"
"SIGMA 3218-5","sigma-3218-5","#e9ca9a"
"SIGMA 3219-5","sigma-3219-5","#f6e3c0"
"SIGMA 3220-5","sigma-3220-5","#f4e9d3"
"SIGMA 3221-5","sigma-3221-5","#e8d5ba"
"SIGMA 3222-5","sigma-3222-5","#d4c0a6"
"SIGMA 3223-5","sigma-3223-5","#a38261"
"SIGMA 3224-5","sigma-3224-5","#89623c"
"SIGMA 3225-5","sigma-3225-5","#a3794f"
"SIGMA 3226-5","sigma-3226-5","#d0b18a"
"SIGMA 3227-5","sigma-3227-5","#e4cab7"
"SIGMA 3228-5","sigma-3228-5","#ccb4a3"
"SIGMA 3229-5","sigma-3229-5","#a48e7e"
"SIGMA 3230-5","sigma-3230-5","#755f51"
"SIGMA 3232-5","sigma-3232-5","#a47c63"
"SIGMA 3234-5","sigma-3234-5","#f4e6d6"
"SIGMA 3235-5","sigma-3235-5","#e7cdb7"
"SIGMA 3236-5","sigma-3236-5","#bca595"
"SIGMA 3237-5","sigma-3237-5","#8c7566"
"SIGMA 3239-5","sigma-3239-5","#b67c67"
"SIGMA 3240-5","sigma-3240-5","#d2a692"
"SIGMA 3241-5","sigma-3241-5","#e6ccbd"
"SIGMA 3242-5","sigma-3242-5","#f5e8de"
"SIGMA 3243-5","sigma-3243-5","#e0d6ce"
"SIGMA 3244-5","sigma-3244-5","#c6bdb7"
"SIGMA 3245-5","sigma-3245-5","#9d928d"
"SIGMA 3246-5","sigma-3246-5","#60534f"
"SIGMA 3247-5","sigma-3247-5","#86716d"
"SIGMA 3248-5","sigma-3248-5","#af9b95"
"SIGMA 3249-5","sigma-3249-5","#f2e2d9"
"SIGMA 3250-5","sigma-3250-5","#e3a89e"
"SIGMA 3251-5","sigma-3251-5","#c87f78"
"SIGMA 3252-5","sigma-3252-5","#934e48"
"SIGMA 3253-5","sigma-3253-5","#aa645d"
"SIGMA 3254-5","sigma-3254-5","#c99088"
"SIGMA 4231-5","sigma-4231-5","#a8a990"
"SIGMA 4232-5","sigma-4232-5","#64603c"
"SIGMA 4233-5","sigma-4233-5","#a2a277"
"SIGMA 4234-5","sigma-4234-5","#dfdece"
"SIGMA 4235-5","sigma-4235-5","#c5c6b4"
"SIGMA 4236-5","sigma-4236-5","#dfdabb"
"SIGMA 4237-5","sigma-4237-5","#7e7552"
"SIGMA 4238-5","sigma-4238-5","#6d6141"
"SIGMA 4239-5","sigma-4239-5","#998e67"
"SIGMA 5211-5","sigma-5211-5","#5e6367"
"SIGMA 5213-5","sigma-5213-5","#868a8d"
"SIGMA 5215-5","sigma-5215-5","#d4d9d7"
"SIGMA 5217-5","sigma-5217-5","#e6eae6"
"SIGMA 5230-5","sigma-5230-5","#f0ede1"
"SIGMA 5231-5","sigma-5231-5","#dcdbd0"
"SIGMA 5232-5","sigma-5232-5","#bab8b0"
"SIGMA 5233-5","sigma-5233-5","#a3a19a"
"SIGMA 5234-5","sigma-5234-5","#8e8c87"
"SIGMA 5235-5","sigma-5235-5","#7b7974"
"SIGMA 5236-5","sigma-5236-5","#64635e"
"SIGMA 5241-5","sigma-5241-5","#d3d9d3"
"SIGMA 5242-5","sigma-5242-5","#cacdc8"
"SIGMA 5243-5","sigma-5243-5","#b5b9b5"
"SIGMA 5244-5","sigma-5244-5","#9ca19d"
"SIGMA 5245-5","sigma-5245-5","#878c89"
"SIGMA 5246-5","sigma-5246-5","#747975"
"SIGMA 5247-5","sigma-5247-5","#606362"
"SIGMA 5260-5","sigma-5260-5","#ebe7e0"
"SIGMA 5261-5","sigma-5261-5","#dcd7d1"
"SIGMA 6220-5","sigma-6220-5","#cbb8b5"
"SIGMA 6221-5","sigma-6221-5","#b18d8d"
"SIGMA 6222-5","sigma-6222-5","#6b5963"
"SIGMA 6223-5","sigma-6223-5","#9a8a93"
"SIGMA 6224-5","sigma-6224-5","#af9ca1"
"SIGMA 6225-5","sigma-6225-5","#dbdee4"
"SIGMA 6226-5","sigma-6226-5","#cad0d7"
"SIGMA 6227-5","sigma-6227-5","#a3a7b1"
"SIGMA 6230-5","sigma-6230-5","#90969c"
"SIGMA 6231-5","sigma-6231-5","#bcc1c3"
