"ALFA ROMEO 114A aurora iridescente","114a-aurora-iridescente","#b0bdb2"
"ALFA ROMEO 117B rosso brunello","117b-rosso-brunello","#3b2225"
"ALFA ROMEO 134A bordeaux","134a-bordeaux","#46292f"
"ALFA ROMEO 164A prugna scuro","164a-prugna-scuro","#3d2e32"
"ALFA ROMEO 167A rosso miro","167a-rosso-miro","#8a3534"
"ALFA ROMEO 210 bianco  94","210-bianco-94","#dbe0de"
"ALFA ROMEO 212A bianco nuvola","212a-bianco-nuvola","#dcded6"
"ALFA ROMEO 235A luce di bosco- amalfi","235a-luce-di-bosco-amalfi","#bfbbad"
"ALFA ROMEO 302A verde acido","302a-verde-acido","#a2a44e"
"ALFA ROMEO 309A verde tropico","309a-verde-tropico","#213e35"
"ALFA ROMEO 310A verde bosco","310a-verde-bosco","#48563c"
"ALFA ROMEO 315A verde minerva","315a-verde-minerva","#2e3526"
"ALFA ROMEO 316B verde artic","316b-verde-artic","#aeb8ac"
"ALFA ROMEO 320A verde caraibi","320a-verde-caraibi","#006a61"
"ALFA ROMEO 326B petrolio scuro","326b-petrolio-scuro","#314748"
"ALFA ROMEO 331A verde amazzonia","331a-verde-amazzonia","#3b4336"
"ALFA ROMEO 335A blu nord","335a-blu-nord","#2f557d"
"ALFA ROMEO 337A verde orione","337a-verde-orione","#899d94"
"ALFA ROMEO 341A verde oasi","341a-verde-oasi","#57745f"
"ALFA ROMEO 348A verde tundra","348a-verde-tundra","#355a42"
"ALFA ROMEO 353A verde sargassi","353a-verde-sargassi","#1f6b6d"
"ALFA ROMEO 361A verde coventry","361a-verde-coventry","#243434"
"ALFA ROMEO 373A verde argo","373a-verde-argo","#636660"
"ALFA ROMEO 377A verde stresa","377a-verde-stresa","#284235"
"ALFA ROMEO 378A verde oro","378a-verde-oro","#9f9c8d"
"ALFA ROMEO 379A verde boreale","379a-verde-boreale","#9ba592"
"ALFA ROMEO 400B blu vela","400b-blu-vela","#283146"
"ALFA ROMEO 401B blu victoria","401b-blu-victoria","#30436c"
"ALFA ROMEO 402B azzuro fantasia","402b-azzuro-fantasia","#5e8895"
"ALFA ROMEO 427B blu lightning","427b-blu-lightning","#1f2d42"
"ALFA ROMEO 428B blu cosmo","428b-blu-cosmo","#262f34"
"ALFA ROMEO 441B blu sirio","441b-blu-sirio","#223158"
"ALFA ROMEO 442A blu","442a-blu","#2d4671"
"ALFA ROMEO 446B blu ontario","446b-blu-ontario","#353e45"
"ALFA ROMEO 460A blu scuro","460a-blu-scuro","#363847"
"ALFA ROMEO 463A pervinca","463a-pervinca","#383f5d"
"ALFA ROMEO 472B blu odissea","472b-blu-odissea","#242933"
"ALFA ROMEO 477A blu genoa","477a-blu-genoa","#2e3741"
"ALFA ROMEO 490A blu francia","490a-blu-francia","#0085af"
"ALFA ROMEO 492A blu armonico","492a-blu-armonico","#39414b"
"ALFA ROMEO 497A prugna","497a-prugna","#4a3942"
"ALFA ROMEO 499A blu golfo","499a-blu-golfo","#2a3c4c"
"ALFA ROMEO 639A grigio lipari-kafla","639a-grigio-lipari-kafla","#3b3d3f"
"ALFA ROMEO 642 grigio lothar-mts-","642-grigio-lothar-mts-","#424849"
"ALFA ROMEO 644 grigio nuvola","644-grigio-nuvola","#8c8c90"
"ALFA ROMEO 656A grigio nettuno","656a-grigio-nettuno","#606771"
"ALFA ROMEO 659A eclisse 3","659a-eclisse-3","#6d7173"
"ALFA ROMEO 668 grigio martora","668-grigio-martora","#897d6e"
"ALFA ROMEO 676 grigio chiaro","676-grigio-chiaro","#c7c9ca"
"ALFA ROMEO 677 grigio meteora","677-grigio-meteora","#788084"
"ALFA ROMEO 684A grigio geo-dolceacqua","684a-grigio-geo-dolceacqua","#545555"
"ALFA ROMEO 689A grigio platino","689a-grigio-platino","#9f9d8a"
"ALFA ROMEO 693 azzurro gabbiano","693-azzurro-gabbiano","#8897a0"
"ALFA ROMEO 719A blu cobalto","719a-blu-cobalto","#005d89"
"ALFA ROMEO 739 grigio spoleto","739-grigio-spoleto","#7e7b76"
"ALFA ROMEO 743 blu inca","743-blu-inca","#353943"
"ALFA ROMEO 782A blu notte-capri","782a-blu-notte-capri","#2f373d"
"ALFA ROMEO 814A nero vulcano ","814a-nero-vulcano","#322d30"
"ALFA ROMEO 837A grigio artico","837a-grigio-artico","#555a61"
"ALFA ROMEO 846A nero","846a-nero","#303131"
"ALFA ROMEO 895A blu casual","895a-blu-casual","#272941"
"ASIA a-aW aspen white","asia-a-aw-aspen-white","#dedcd0"
"ASIA AW asia white","asia-aw-asia-white","#deded2"
"ASIA B light beige","asia-b-light-beige","#ddd2c4"
"ASIA B pacific blue","asia-b-pacific-blue","#84b6c8"
"ASIA B dark blue","asia-b-dark-blue","#292a45"
"ASIA B1 jaar brown","asia-b1-jaar-brown","#353132"
"ASIA B4 soldier beige","asia-b4-soldier-beige","#746c60"
"ASIA B5 prussian blue","asia-b5-prussian-blue","#384653"
"ASIA B7 pastel blue","asia-b7-pastel-blue","#7592a8"
