"B1-B001","b1-b001","#9eccd2"
"B1-B002","b1-b002","#67c5e4"
"B1-B003","b1-b003","#65b8d7"
"B1-B004","b1-b004","#60b6d7"
"B1-B005","b1-b005","#65b1d6"
"B1-B006","b1-b006","#56b2d2"
"B1-B007","b1-b007","#6eaed7"
"B1-B008","b1-b008","#55bcd9"
"B1-B009","b1-b009","#6bb9be"
"B1-B010","b1-b010","#69bacb"
"B1-B011","b1-b011","#8abbd3"
"B1-B012","b1-b012","#57b7c8"
"B1-B013","b1-b013","#58b9ba"
"B1-B014","b1-b014","#3ab7d6"
"B1-B015","b1-b015","#6aaedc"
"B1-B016","b1-b016","#32acc9"
"B1-B017","b1-b017","#66a3d2"
"B1-B018","b1-b018","#65a2c9"
"B1-B019","b1-b019","#57a6cc"
"B1-B020","b1-b020","#4ea7c4"
"B1-B021","b1-b021","#52a5ba"
"B1-B022","b1-b022","#44a5bc"
"B1-B023","b1-b023","#5b9fac"
"B1-B024","b1-b024","#509db6"
"B1-B025","b1-b025","#4897ad"
"B1-B026","b1-b026","#4498a7"
"B1-B027","b1-b027","#259dbc"
"B1-B028","b1-b028","#2f9eba"
"B1-B029","b1-b029","#4899d0"
"B1-B030","b1-b030","#488fbf"
"B1-B031","b1-b031","#358fad"
"B1-B032","b1-b032","#3a8faf"
"B1-B033","b1-b033","#39909c"
"B1-B034","b1-b034","#3e9193"
"B1-B035","b1-b035","#25939f"
"B1-B036","b1-b036","#2c8ab3"
"B1-B037","b1-b037","#108aac"
"B1-B038","b1-b038","#008ca5"
"B1-B039","b1-b039","#008ba5"
"B1-B040","b1-b040","#0089a2"
"B1-B041","b1-b041","#0089a3"
"B1-B042","b1-b042","#0089a1"
"B1-B043","b1-b043","#3f8294"
"B1-B044","b1-b044","#3787a0"
"B1-B045","b1-b045","#1c88a1"
"B1-B046","b1-b046","#3b7bb0"
"B1-B047","b1-b047","#3a77a6"
"B1-B048","b1-b048","#007992"
"B1-B049","b1-b049","#007993"
"B1-B050","b1-b050","#426ca5"
"B1-B051","b1-b051","#426898"
"B1-B052","b1-b052","#0f6d93"
"B1-B053","b1-b053","#276d94"
"B1-B054","b1-b054","#4eb5d6"
"B1-B055","b1-b055","#00b0cd"
"B1-B056","b1-b056","#25abd4"
"B1-B057","b1-b057","#12a7d5"
"B1-B058","b1-b058","#34a3c9"
"B1-B059","b1-b059","#009ccd"
"B1-B060","b1-b060","#0093c6"
"B1-B061","b1-b061","#0092c5"
"B1-B062","b1-b062","#0092c6"
"B1-B063","b1-b063","#008ab7"
"B1-B064","b1-b064","#008dac"
"B1-B065","b1-b065","#0090bd"
"B1-B066","b1-b066","#008eb3"
"B1-B067","b1-b067","#008aad"
"B1-B068","b1-b068","#0087a9"
"B1-B069","b1-b069","#008bb2"
"B1-B070","b1-b070","#2f88b3"
"B1-B071","b1-b071","#0094c6"
"B1-B072","b1-b072","#4385b9"
"B1-B073","b1-b073","#008ebd"
"B1-B074","b1-b074","#2e89b6"
"B1-B075","b1-b075","#2c86b2"
"B1-B076","b1-b076","#2f8cac"
"B1-B077","b1-b077","#2c87aa"
"B1-B078","b1-b078","#2784b1"
