"Sto 31100","sto-31100","#beba3b"
"Sto 31101","sto-31101","#c9c64c"
"Sto 31102","sto-31102","#cfce5b"
"Sto 31103","sto-31103","#dddb75"
"Sto 31104","sto-31104","#e3e38c"
"Sto 31105","sto-31105","#e9eaa3"
"Sto 31106","sto-31106","#ececac"
"Sto 31107","sto-31107","#f1f1c1"
"Sto 31108","sto-31108","#f6f4ce"
"Sto 31109","sto-31109","#f8f6d8"
"Sto 31110","sto-31110","#bbb360"
"Sto 31111","sto-31111","#cec77a"
"Sto 31112","sto-31112","#d7d18e"
"Sto 31113","sto-31113","#e2dda5"
"Sto 31114","sto-31114","#e6e2b1"
"Sto 31115","sto-31115","#edeac2"
"Sto 31116","sto-31116","#f2efd0"
"Sto 31120","sto-31120","#9a9762"
"Sto 31121","sto-31121","#b2ad7d"
"Sto 31122","sto-31122","#beb990"
"Sto 31123","sto-31123","#c5c2a4"
"Sto 31130","sto-31130","#75745d"
"Sto 31131","sto-31131","#908d74"
"Sto 31132","sto-31132","#a09f86"
"Sto 31133","sto-31133","#b3b29c"
"Sto 31134","sto-31134","#c7c6b1"
"Sto 31135","sto-31135","#d4d4c2"
"Sto 31136","sto-31136","#deddcd"
"Sto 31137","sto-31137","#e9e7d9"
"Sto 31140","sto-31140","#a09a42"
"Sto 31141","sto-31141","#807d4a"
"Sto 31142","sto-31142","#69694a"
"Sto 31143","sto-31143","#636253"
"Sto 31200","sto-31200","#edcc46"
"Sto 31201","sto-31201","#f0d456"
"Sto 31202","sto-31202","#f2db68"
"Sto 31203","sto-31203","#f5e585"
"Sto 31204","sto-31204","#f6e890"
"Sto 31205","sto-31205","#f6efb1"
"Sto 31206","sto-31206","#f7f2ba"
"Sto 31207","sto-31207","#f7f4c8"
"Sto 31208","sto-31208","#f8f6d5"
"Sto 31209","sto-31209","#f6f4db"
"Sto 31210","sto-31210","#e2cc6d"
"Sto 31211","sto-31211","#e8d784"
"Sto 31212","sto-31212","#eddf95"
"Sto 31213","sto-31213","#f3e7ab"
"Sto 31214","sto-31214","#f5ebb6"
"Sto 31215","sto-31215","#f6f0c7"
"Sto 31216","sto-31216","#f7f3d4"
"Sto 31220","sto-31220","#d1be71"
"Sto 31221","sto-31221","#d7cc8d"
"Sto 31222","sto-31222","#d6cf9e"
"Sto 31223","sto-31223","#d7d5b4"
"Sto 31224","sto-31224","#d8d6c0"
"Sto 31230","sto-31230","#706853"
"Sto 31231","sto-31231","#8e856e"
"Sto 31232","sto-31232","#9e957b"
"Sto 31233","sto-31233","#b1a990"
"Sto 31234","sto-31234","#c7bea7"
"Sto 31235","sto-31235","#d5cdb8"
"Sto 31236","sto-31236","#ded7c4"
"Sto 31237","sto-31237","#eae4d2"
"Sto 31240","sto-31240","#d8bf59"
"Sto 31241","sto-31241","#af9944"
"Sto 31242","sto-31242","#9e8846"
"Sto 31243","sto-31243","#716946"
"Sto 31244","sto-31244","#575245"
"Sto 31300","sto-31300","#deab3b"
"Sto 31301","sto-31301","#ecbd55"
"Sto 31302","sto-31302","#f2c966"
"Sto 31303","sto-31303","#f6d57c"
"Sto 31304","sto-31304","#f7dc8f"
"Sto 31305","sto-31305","#f6e4a7"
"Sto 31306","sto-31306","#f8e9b8"
"Sto 31307","sto-31307","#f9efcd"
"Sto 31308","sto-31308","#faf1d5"
"Sto 31309","sto-31309","#f6efd9"
"Sto 31310","sto-31310","#dab762"
"Sto 31311","sto-31311","#e7c97d"
"Sto 31312","sto-31312","#ecd392"
"Sto 31313","sto-31313","#f3e0a9"
"Sto 31314","sto-31314","#f4e4b5"
"Sto 31315","sto-31315","#f6ecc6"
"Sto 31316","sto-31316","#f6efd2"
"Sto 31320","sto-31320","#d2b670"
"Sto 31321","sto-31321","#d7c183"
"Sto 31322","sto-31322","#d9cb97"
"Sto 31323","sto-31323","#d6ceaa"
"Sto 31324","sto-31324","#dfd9c1"
"Sto 31330","sto-31330","#706554"
"Sto 31331","sto-31331","#8e836e"
"Sto 31332","sto-31332","#9e927d"
"Sto 31333","sto-31333","#b2a892"
"Sto 31334","sto-31334","#c1b7a4"
"Sto 31335","sto-31335","#d5cbba"
"Sto 31336","sto-31336","#e0d8c7"
"Sto 31337","sto-31337","#e9e2d3"
"Sto 31340","sto-31340","#c59d43"
"Sto 31341","sto-31341","#ae9048"
"Sto 31342","sto-31342","#9a8348"
"Sto 31343","sto-31343","#7b6b47"
"Sto 31344","sto-31344","#6b6049"
"Sto 31400","sto-31400","#e1a148"
"Sto 31401","sto-31401","#e8ad5b"
"Sto 31402","sto-31402","#edb86b"
"Sto 31403","sto-31403","#f4cb8b"
"Sto 31404","sto-31404","#f6d59e"
"Sto 31405","sto-31405","#f8e0b4"
"Sto 31406","sto-31406","#f8e4bf"
"Sto 31407","sto-31407","#f9eccf"
"Sto 31408","sto-31408","#faf0d9"
"Sto 31409","sto-31409","#faf3e0"
"Sto 31410","sto-31410","#dcae6b"
"Sto 31411","sto-31411","#eabf80"
"Sto 31412","sto-31412","#edcc99"
"Sto 31413","sto-31413","#f5d9ae"
"Sto 31414","sto-31414","#f4e2c3"
"Sto 31415","sto-31415","#f5e8cd"
"Sto 31416","sto-31416","#f6ecd5"
"Sto 31420","sto-31420","#c59c5f"
"Sto 31421","sto-31421","#ceac75"
"Sto 31422","sto-31422","#d6bc8f"
"Sto 31423","sto-31423","#d9c9a7"
"Sto 31424","sto-31424","#dcd4c0"
"Sto 31430","sto-31430","#6d6153"
"Sto 31431","sto-31431","#8b7d6d"
"Sto 31432","sto-31432","#968979"
"Sto 31433","sto-31433","#ada08e"
"Sto 31434","sto-31434","#c0b5a5"
"Sto 31435","sto-31435","#d0c6b6"
"Sto 31436","sto-31436","#dad1c5"
"Sto 31437","sto-31437","#e8e0d1"
"Sto 31440","sto-31440","#cc9855"
"Sto 31441","sto-31441","#b88546"
"Sto 31442","sto-31442","#9e7946"
"Sto 31443","sto-31443","#7d6a47"
"Sto 32100","sto-32100","#eb9741"
"Sto 32101","sto-32101","#f0a34e"
"Sto 32102","sto-32102","#f2af5e"
"Sto 32103","sto-32103","#f8c47b"
"Sto 32104","sto-32104","#face8d"
"Sto 32105","sto-32105","#f8daa0"
"Sto 32106","sto-32106","#f7e0ad"
"Sto 32107","sto-32107","#f8e9c0"
"Sto 32108","sto-32108","#faefcf"
"Sto 32109","sto-32109","#faf2da"
"Sto 32110","sto-32110","#dca157"
"Sto 32111","sto-32111","#ebb973"
"Sto 32112","sto-32112","#eec992"
"Sto 32113","sto-32113","#f2d3a1"
"Sto 32114","sto-32114","#fae5c1"
"Sto 32120","sto-32120","#c7a178"
"Sto 32121","sto-32121","#d2b591"
"Sto 32122","sto-32122","#d7c4a5"
"Sto 32123","sto-32123","#ddd4c3"
"Sto 32130","sto-32130","#755f4b"
"Sto 32131","sto-32131","#8e7862"
"Sto 32132","sto-32132","#99836a"
"Sto 32133","sto-32133","#b29d86"
"Sto 32134","sto-32134","#c0ac93"
"Sto 32135","sto-32135","#d1c0a9"
"Sto 32136","sto-32136","#ddcfbb"
"Sto 32137","sto-32137","#e7dccb"
"Sto 32138","sto-32138","#efe8d6"
"Sto 32140","sto-32140","#c28943"
"Sto 32141","sto-32141","#aa7a45"
"Sto 32142","sto-32142","#99714b"
"Sto 32143","sto-32143","#775d46"
"Sto 32144","sto-32144","#6b5b4d"
"Sto 32200","sto-32200","#e78345"
"Sto 32201","sto-32201","#eb9151"
"Sto 32202","sto-32202","#ef9c60"
"Sto 32203","sto-32203","#f6b57d"
"Sto 32204","sto-32204","#fbc18d"
"Sto 32205","sto-32205","#fbcfa2"
"Sto 32206","sto-32206","#fad8b0"
"Sto 32207","sto-32207","#fbe1c2"
"Sto 32208","sto-32208","#fcead0"
"Sto 32209","sto-32209","#fcf0db"
"Sto 32214","sto-32214","#f0d1b1"
"Sto 32215","sto-32215","#f4ddc3"
"Sto 32216","sto-32216","#f6e5cf"
"Sto 32220","sto-32220","#b49376"
"Sto 32221","sto-32221","#c3a88e"
"Sto 32222","sto-32222","#cab69f"
"Sto 32223","sto-32223","#dacfc1"
"Sto 32230","sto-32230","#705e55"
"Sto 32231","sto-32231","#8d7b70"
"Sto 32232","sto-32232","#9b897c"
"Sto 32233","sto-32233","#af9e91"
"Sto 32234","sto-32234","#c2b4a9"
"Sto 32235","sto-32235","#d0c3b7"
"Sto 32236","sto-32236","#dcd1c5"
"Sto 32237","sto-32237","#e9e1d3"
"Sto 32240","sto-32240","#bb7546"
"Sto 32241","sto-32241","#996848"
"Sto 32242","sto-32242","#816653"
"Sto 32243","sto-32243","#574a43"
"Sto 32300","sto-32300","#e16e44"
"Sto 32301","sto-32301","#e67d52"
"Sto 32302","sto-32302","#ec8b60"
"Sto 32303","sto-32303","#f7a37b"
"Sto 32304","sto-32304","#f9af8b"
"Sto 32305","sto-32305","#f9c2a3"
"Sto 32306","sto-32306","#facbae"
"Sto 32307","sto-32307","#fdd8c2"
"Sto 32308","sto-32308","#fce3d0"
"Sto 32309","sto-32309","#fdebdb"
"Sto 32310","sto-32310","#d38564"
"Sto 32311","sto-32311","#e49d7d"
"Sto 32312","sto-32312","#edad90"
"Sto 32313","sto-32313","#f5c0a6"
"Sto 32314","sto-32314","#f7cab3"
"Sto 32315","sto-32315","#f9d7c5"
"Sto 32316","sto-32316","#fae0d1"
"Sto 32320","sto-32320","#ba8d78"
"Sto 32321","sto-32321","#cda792"
"Sto 32322","sto-32322","#d1b6a5"
"Sto 32323","sto-32323","#ded0c4"
"Sto 32330","sto-32330","#8d6957"
"Sto 32331","sto-32331","#9c7966"
"Sto 32332","sto-32332","#b2917e"
"Sto 32333","sto-32333","#c4a492"
"Sto 32334","sto-32334","#d4bba7"
"Sto 32335","sto-32335","#ddc8b5"
"Sto 32336","sto-32336","#ebdbcc"
"Sto 32337","sto-32337","#eee2d3"
"Sto 32340","sto-32340","#b06244"
"Sto 32341","sto-32341","#8b5e4d"
"Sto 32342","sto-32342","#795648"
"Sto 32343","sto-32343","#675045"
"Sto 32400","sto-32400","#d65843"
"Sto 32401","sto-32401","#e06750"
"Sto 32402","sto-32402","#e9755f"
"Sto 32403","sto-32403","#f38d79"
"Sto 32404","sto-32404","#f89c8c"
"Sto 32405","sto-32405","#fab2a3"
"Sto 32406","sto-32406","#fbbcaf"
"Sto 32407","sto-32407","#fccbc0"
"Sto 32408","sto-32408","#fed8ce"
"Sto 32409","sto-32409","#fde2d9"
"Sto 32410","sto-32410","#cf705f"
"Sto 32411","sto-32411","#e38a79"
"Sto 32412","sto-32412","#eb9a8c"
"Sto 32413","sto-32413","#f4b0a4"
"Sto 32414","sto-32414","#f8bbb0"
"Sto 32420","sto-32420","#be8a7e"
"Sto 32421","sto-32421","#cea49a"
"Sto 32422","sto-32422","#d3b3ab"
"Sto 32423","sto-32423","#d6c0ba"
"Sto 32424","sto-32424","#d8cac5"
"Sto 32430","sto-32430","#8d5d51"
"Sto 32431","sto-32431","#9c6e63"
"Sto 32432","sto-32432","#b18b7f"
"Sto 32433","sto-32433","#c8a296"
"Sto 32434","sto-32434","#d1b1a7"
"Sto 32435","sto-32435","#e1c7be"
"Sto 32436","sto-32436","#e1cec5"
"Sto 32440","sto-32440","#b0513f"
"Sto 32441","sto-32441","#985c4f"
"Sto 33100","sto-33100","#c7473f"
"Sto 33101","sto-33101","#d4554f"
"Sto 33102","sto-33102","#df6461"
"Sto 33103","sto-33103","#ed7b79"
"Sto 33104","sto-33104","#f48c8d"
"Sto 33105","sto-33105","#f9a2a3"
"Sto 33106","sto-33106","#fbadaf"
"Sto 33107","sto-33107","#fcbebf"
"Sto 33108","sto-33108","#fecece"
"Sto 33109","sto-33109","#fdd8d7"
"Sto 33110","sto-33110","#b36f61"
"Sto 33111","sto-33111","#c48478"
"Sto 33112","sto-33112","#d8a094"
"Sto 33113","sto-33113","#e3b1a6"
"Sto 33114","sto-33114","#f0cbc0"
"Sto 33115","sto-33115","#f5d7cd"
"Sto 33116","sto-33116","#f6e0d6"
"Sto 33120","sto-33120","#b57a6d"
"Sto 33121","sto-33121","#c58f85"
"Sto 33122","sto-33122","#cea69e"
"Sto 33123","sto-33123","#d9c2b9"
"Sto 33130","sto-33130","#6f6361"
"Sto 33131","sto-33131","#837977"
"Sto 33132","sto-33132","#958b88"
"Sto 33133","sto-33133","#a9a09e"
"Sto 33134","sto-33134","#b7afac"
"Sto 33135","sto-33135","#c7c0bd"
"Sto 33136","sto-33136","#d5d0cc"
"Sto 33137","sto-33137","#dddad6"
"Sto 33140","sto-33140","#a15b4d"
"Sto 33141","sto-33141","#8a4b3c"
"Sto 33142","sto-33142","#724c43"
"Sto 33143","sto-33143","#604640"
"Sto 33144","sto-33144","#54433e"
"Sto 33200","sto-33200","#aa4641"
"Sto 33201","sto-33201","#c15453"
"Sto 33202","sto-33202","#ce6363"
"Sto 33203","sto-33203","#e27c7e"
"Sto 33204","sto-33204","#eb8c91"
"Sto 33205","sto-33205","#f3a2a6"
"Sto 33206","sto-33206","#f6aeb2"
"Sto 33207","sto-33207","#fabfc3"
"Sto 33208","sto-33208","#fccfd0"
"Sto 33209","sto-33209","#fedcdb"
"Sto 33210","sto-33210","#a06561"
"Sto 33211","sto-33211","#b67f7e"
"Sto 33212","sto-33212","#c59392"
"Sto 33213","sto-33213","#d5aaa9"
"Sto 33214","sto-33214","#ddb6b5"
"Sto 33215","sto-33215","#e6c7c5"
"Sto 33216","sto-33216","#eed5d2"
"Sto 33220","sto-33220","#a67572"
"Sto 33221","sto-33221","#bd9695"
"Sto 33222","sto-33222","#ccaeac"
"Sto 33223","sto-33223","#d5c0bf"
"Sto 33224","sto-33224","#d8cbca"
"Sto 33230","sto-33230","#6d4f4b"
"Sto 33231","sto-33231","#7c605d"
"Sto 33232","sto-33232","#947a78"
"Sto 33233","sto-33233","#a28c8a"
"Sto 33234","sto-33234","#b5a2a0"
"Sto 33235","sto-33235","#c5b5b4"
"Sto 33236","sto-33236","#d5ccca"
"Sto 33237","sto-33237","#e2dad7"
"Sto 33240","sto-33240","#83463e"
"Sto 33241","sto-33241","#78443a"
"Sto 33300","sto-33300","#904d4c"
"Sto 33301","sto-33301","#a85b5e"
"Sto 33302","sto-33302","#b7686d"
"Sto 33303","sto-33303","#ce8187"
"Sto 33304","sto-33304","#d89198"
"Sto 33305","sto-33305","#e8a8ae"
"Sto 33306","sto-33306","#ecb3b9"
"Sto 33307","sto-33307","#f2c1c6"
"Sto 33308","sto-33308","#f8d3d5"
"Sto 33309","sto-33309","#fcdfde"
"Sto 33310","sto-33310","#976462"
"Sto 33311","sto-33311","#b08080"
"Sto 33312","sto-33312","#bc9090"
"Sto 33313","sto-33313","#cca6a6"
"Sto 33314","sto-33314","#d5b2b2"
"Sto 33315","sto-33315","#e1c5c3"
"Sto 33316","sto-33316","#e9d4d2"
"Sto 33317","sto-33317","#efe0dc"
"Sto 33320","sto-33320","#a07675"
"Sto 33321","sto-33321","#b49293"
"Sto 33322","sto-33322","#c5aaaa"
"Sto 33323","sto-33323","#d0bdbd"
"Sto 33324","sto-33324","#d2c7c7"
"Sto 33330","sto-33330","#7c5957"
"Sto 33331","sto-33331","#936f6f"
"Sto 33332","sto-33332","#a28282"
"Sto 33333","sto-33333","#b79a9a"
"Sto 33334","sto-33334","#c3a7a6"
"Sto 33335","sto-33335","#d1b9b9"
"Sto 33336","sto-33336","#decac8"
"Sto 33337","sto-33337","#e6d8d5"
"Sto 33340","sto-33340","#86473f"
"Sto 33341","sto-33341","#794a44"
"Sto 33342","sto-33342","#674640"
"Sto 33400","sto-33400","#785058"
"Sto 33401","sto-33401","#91626e"
"Sto 33402","sto-33402","#a37380"
"Sto 33403","sto-33403","#bb8c99"
"Sto 33404","sto-33404","#c89daa"
"Sto 33405","sto-33405","#d8b3bc"
"Sto 33406","sto-33406","#dfbdc5"
"Sto 33407","sto-33407","#e8ced2"
"Sto 33408","sto-33408","#f1dbdc"
"Sto 33409","sto-33409","#f4e4e3"
"Sto 33410","sto-33410","#8c6874"
"Sto 33411","sto-33411","#a27c89"
"Sto 33412","sto-33412","#b4919c"
"Sto 33413","sto-33413","#c6a6b1"
"Sto 33414","sto-33414","#d5b7be"
"Sto 33420","sto-33420","#8a7076"
"Sto 33421","sto-33421","#a89096"
"Sto 33422","sto-33422","#bcacb2"
"Sto 33423","sto-33423","#c9bcbf"
"Sto 33424","sto-33424","#cec7c9"
"Sto 33430","sto-33430","#6e5e63"
"Sto 33431","sto-33431","#83737b"
"Sto 33432","sto-33432","#92828a"
