"swedex 22 beige ledergenarbt","22-beige-ledergenarbt","#eccaa0"
"swedex 23 hellrot ledergenarbt","23-hellrot-ledergenarbt","#ad3d48"
"swedex 24 weinrot ledergenarbt","24-weinrot-ledergenarbt","#6f414a"
"swedex 25 mittel-braun ledergenarbt","25-mittel-braun-ledergenarbt","#78503e"
"swedex 26 hellbraun ledergenarbt","26-hellbraun-ledergenarbt","#a37a5d"
"swedex 27 dunkel-braun ledergenarbt","27-dunkel-braun-ledergenarbt","#5c504b"
"swedex 28 olivgruen ledergenarbt","28-olivgruen-ledergenarbt","#6f6852"
"swedex 29 blau ledergenarbt","29-blau-ledergenarbt","#2f7399"
"swedex 30 grau ledergenarbt","30-grau-ledergenarbt","#c1c0aa"
"swedex 31 schwarz ledergenarbt","31-schwarz-ledergenarbt","#414040"
"swedex 32 silber grau ledergenarbt","32-silber-grau-ledergenarbt","#b7b5b0"
"swedex 41 weiss  Hochglanz","41-weiss-hochglanz","#f1f1eb"
"swedex 43 beige  Hochglanz","43-beige-hochglanz","#f9e3b6"
"swedex 44 hellrot  Hochglanz","44-hellrot-hochglanz","#cc0016"
"swedex 45 weinrot Hochglanz","45-weinrot-hochglanz","#702a2f"
"swedex 46 blau Hochglanz","46-blau-hochglanz","#006fc1"
"swedex 47 metallic blau ","47-metallic-blau","#768e9c"
"swedex 48 tiefblau Hochglanz","48-tiefblau-hochglanz","#252941"
"swedex 49 anthrazit metallic ","49-anthrazit-metallic","#535350"
"swedex 50 silber metallic ","50-silber-metallic","#9c9e9f"
"swedex 51 schwarz Hochglanz","51-schwarz-hochglanz","#18191b"
"swedex 52 perlmutt Hochglanz","52-perlmutt-hochglanz","#dfdbcf"
"swedex 61 weiss Kaskad","61-weiss-kaskad","#f3eeec"
"swedex 62 beige Kaskad","62-beige-kaskad","#fae1c0"
"swedex 63 rot Kaskad","63-rot-kaskad","#c44750"
"swedex 64 braun Kaskad","64-braun-kaskad","#946d5b"
"swedex 65 gruen Kaskad","65-gruen-kaskad","#96a856"
"swedex 66 blau Kaskad","66-blau-kaskad","#4ea7c5"
"swedex 67 grau Kaskad","67-grau-kaskad","#a3a8a9"
"swedex 68 schwarz Kaskad","68-schwarz-kaskad","#3e3e40"
"swedex 69 gelb Kaskad","69-gelb-kaskad","#ffcb33"
"swedex 71 weiss Exquisit","71-weiss-exquisit","#efeee4"
"swedex 72 olivgruen Exquisit","72-olivgruen-exquisit","#474430"
"swedex 73 schwarz Exquisit","73-schwarz-exquisit","#18181a"
"swedex 75 weinrot Exquisit","75-weinrot-exquisit","#712c2f"
"swedex 76 beige Exquisit","76-beige-exquisit","#f2d9a1"
"swedex 78 tiefblau Exquisit","78-tiefblau-exquisit","#11162b"
