"BMS 1635 Bomag gelb","bms-1635-bomag-gelb","#f7c22e"
"BMS 281 Caterpillar gelb","bms-281-caterpillar-gelb","#be8738"
"BMS 1656 Caterpillar gelb","bms-1656-caterpillar-gelb","#bd8737"
"LM 288 Clayson gelb","lm-288-clayson-gelb","#e2aa49"
"LM 215 Clayson gelb New Holland","lm-215-clayson-gelb-new-holland","#dfb63f"
"LM 1209 David Brown beige","lm-1209-david-brown-beige","#ebddc4"
"LM 1223 Fiat Agri beige","lm-1223-fiat-agri-beige","#d3ccaa"
"BMS 1475 Hyster gelb","bms-1475-hyster-gelb","#d39742"
"BMS 1352 JCB yellow","bms-1352-jcb-yellow","#f59c00"
"LM 217 John Deere gelb","lm-217-john-deere-gelb","#ffce36"
"BMS 2294 Jungheinrich Yale gelb","bms-2294-jungheinrich-yale-gelb","#d8891b"
"BMS 1446 Komatsu natural yellow","bms-1446-komatsu-natural-yellow","#e29f00"
"BMS 1222 KramerINeuson gelb","bms-1222-kramerineuson-gelb","#e3a100"
"LM 216 Krone Aufbau creme","lm-216-krone-aufbau-creme","#ebc484"
"LM 1229 Krone creme NEU","lm-1229-krone-creme-neu","#f3c276"
"BMS 1108 Liebherr gelb","bms-1108-liebherr-gelb","#d78d20"
"BMS 1395 Liebherr gelb neu","bms-1395-liebherr-gelb-neu","#cf8718"
"LM 1865 New Holland gelb","lm-1865-new-holland-gelb","#eaaf2c"
"LM 1622 New Holland gelb Mahdrescher","lm-1622-new-holland-gelb-mahdrescher","#faad00"
"LM 1101 P2-Zweegers beige","lm-1101-p2-zweegers-beige","#bdab75"
"LM 285 Renault gelb","lm-285-renault-gelb","#e97800"
"LM 1228 Same elfenbein","lm-1228-same-elfenbein","#e8d4ad"
"LM 293 Schluter Felgenbeige","lm-293-schluter-felgenbeige","#a98d63"
"LM 1232 Vicon gelb","lm-1232-vicon-gelb","#ddae6f"
"BMS 1130 Volvo Baumaschinen gelb","bms-1130-volvo-baumaschinen-gelb","#e29b00"
"BMS 1116 Zeppelin CAT gelb","bms-1116-zeppelin-cat-gelb","#bf842f"
"BMS 2135 Atlas orange","bms-2135-atlas-orange","#d2481c"
"LM 238 Fiat-Agri orange","lm-238-fiat-agri-orange","#c35421"
"BMS 2306 Fiat Kobelco orange","bms-2306-fiat-kobelco-orange","#de5600"
"BMS 2312 Hitachi orange","bms-2312-hitachi-orange","#d05402"
"LM 2139 Howard orange","lm-2139-howard-orange","#ba4a1f"
"LM 286 Maschio orange","lm-286-maschio-orange","#db5500"
"BMS 2257 Steinbock orange","bms-2257-steinbock-orange","#e55811"
"BMS 2256 Still orange","bms-2256-still-orange","#d86200"
"BMS 2284 Toyota orange","bms-2284-toyota-orange","#c54c29"
"LM 3276 Bergmann rot","lm-3276-bergmann-rot","#a42c1c"
"LM 278 Case international rot","lm-278-case-international-rot","#831d1b"
"LM 3162 David Brown rot","lm-3162-david-brown-rot","#941b1a"
"LM 3165 Fahr rot","lm-3165-fahr-rot","#951b1a"
"LM 280 Fella rot","lm-280-fella-rot","#b42b21"
"LM 239 Grimme rot","lm-239-grimme-rot","#b22407"
"LM 3171 Valmet rot","lm-3171-valmet-rot","#b22406"
"LM 3246 IHC rot 332 NEU","lm-3246-ihc-rot-332-neu","#9e1a1a"
"LM 219 IHC MC Cormik rot","lm-219-ihc-mc-cormik-rot","#7e020f"
"LM 241 Kuhn 2 rot","lm-241-kuhn-2-rot","#be2314"
"LM 3266 Kverneland rot","lm-3266-kverneland-rot","#a9060d"
"BMS 3452 Manitou rot","bms-3452-manitou-rot","#b12019"
"LM 235 Mengele rot","lm-235-mengele-rot","#b11a0a"
"LM 3152 Spagele rot","lm-3152-spagele-rot","#b11a0a"
"LM 224 Niedermeyer rot","lm-224-niedermeyer-rot","#ab201a"
"LM 3172 Krone rot NEU","lm-3172-krone-rot-neu","#ab201a"
"LM 3174 CS rot","lm-3174-cs-rot","#ab201a"
"LM 3241 Manitou rot","lm-3241-manitou-rot","#ab1f1a"
"LM 236 Pottinger rot","lm-236-pottinger-rot","#b81508"
"LM 237 Same rot","lm-237-same-rot","#c02a10"
"LM 287 Same rot NEU","lm-287-same-rot-neu","#b63518"
"LM 277 Schluter rot","lm-277-schluter-rot","#ae1d23"
"LM 3167 Steyr Chassis rot","lm-3167-steyr-chassis-rot","#6a1411"
"LM 289 Stoll rot","lm-289-stoll-rot","#a51d14"
"LM 3166 Rauch rot","lm-3166-rauch-rot","#a51d13"
"BMS 3374 Takeuschi rot","bms-3374-takeuschi-rot","#9e1d24"
"BMS 3124 Volvo rot","bms-3124-volvo-rot","#8e2324"
"LM 2338 Deutz blau 84","lm-2338-deutz-blau-84","#202428"
"LM 227 Eicher alpenblau","lm-227-eicher-alpenblau","#66808a"
"LM 230 Eicher hellblau","lm-230-eicher-hellblau","#3483a0"
"LM 228 Eicher kurierblau","lm-228-eicher-kurierblau","#517a86"
"LM 248 Fiat-Agri blau","lm-248-fiat-agri-blau","#2f434b"
"LM 259 Ford blau","lm-259-ford-blau","#005571"
"LM 5200 Hanomag blaugrun","lm-5200-hanomag-blaugrun","#1c535c"
"LM 255 Lamborghini blau","lm-255-lamborghini-blau","#181c21"
