"TAG 6013-3","6013-3","#7d6e46"
"TAG 6022-2","6022-2","#bca673"
"TAG 6044-2","6044-2","#c7b282"
"TAG 6054-1","6054-1","#dcc9a1"
"TAG 6066-1","6066-1","#e3d4b2"
"TAG 6078-1","6078-1","#eadec2"
"TAG 6090-1","6090-1","#ede4ce"
"TAG 6092-1","6092-1","#ddd9cc"
"TAG 6094-2","6094-2","#cccabc"
"TAG 6098-2","6098-2","#c0bfb7"
"TAG 6212-2","6212-2","#ca9c54"
"TAG 6218-2","6218-2","#b99458"
"TAG 6222-1","6222-1","#e4be83"
"TAG 6230-2","6230-2","#bea26e"
"TAG 6232-1","6232-1","#edc385"
"TAG 6238-1","6238-1","#d4b785"
"TAG 6250-2","6250-2","#cbaf7c"
"TAG 6256-1","6256-1","#f0d09c"
"TAG 6258-1","6258-1","#e6cc9f"
"TAG 6268-1","6268-1","#f3d9af"
"TAG 6269-1","6269-1","#ecd8b2"
"TAG 6280-1","6280-1","#f5e1c0"
"TAG 6288-2","6288-2","#bcb5a2"
"TAG 6290-1","6290-1","#cbc6b8"
"TAG 6292-1","6292-1","#faead0"
"TAG 6292-2","6292-2","#f2e0bf"
"TAG 6293-1","6293-1","#ebe2cf"
"TAG 6294-1","6294-1","#e4ddcc"
"TAG 6294-2","6294-2","#d8cfb9"
"TAG 6297-1","6297-1","#d5d1c5"
"TAG 6404-2","6404-2","#e3c750"
"TAG 6416-2","6416-2","#c3b65c"
"TAG 6418-2","6418-2","#f0d366"
"TAG 6420-2","6420-2","#f3d971"
"TAG 6430-2","6430-2","#c0ba76"
"TAG 6456-1","6456-1","#f4e6a4"
"TAG 6456-2","6456-2","#f2df90"
"TAG 6459-1","6459-1","#e4dfab"
"TAG 6460-2","6460-2","#cbc58a"
"TAG 6468-1","6468-1","#f6edba"
"TAG 6470-1","6470-1","#e1deb6"
"TAG 6470-2","6470-2","#dbd6a1"
"TAG 6482-1","6482-1","#e2e0c5"
"TAG 6484-2","6484-2","#cdccb1"
"TAG 6486-2","6486-2","#c0bfa9"
"TAG 6488-1","6488-1","#d1d0c0"
"TAG 6492-2","6492-2","#f0eac7"
"TAG 6494-1","6494-1","#e1e0ce"
"TAG 6494-2","6494-2","#d6d5be"
"TAG 6496-1","6496-1","#dbdacc"
"TAG 6608-3","6608-3","#8c7c3a"
"TAG 6628-1","6628-1","#bbb083"
"TAG 6636-1","6636-1","#c4b788"
"TAG 6644-1","6644-1","#d0c290"
"TAG 6654-1","6654-1","#decd9b"
"TAG 6666-1","6666-1","#e4d6ac"
"TAG 6690-1","6690-1","#efe5c7"
"TAG 6692-2","6692-2","#d8d5c0"
"TAG 6696-2","6696-2","#c5c5b9"
"TAG 6700-2","6700-2","#b9bab2"
"TAG 6810-3","6810-3","#636c43"
"TAG 6816-3","6816-3","#5f6645"
"TAG 6822-2","6822-2","#a5ad84"
"TAG 6828-2","6828-2","#9da684"
"TAG 6842-2","6842-2","#bac297"
"TAG 6850-2","6850-2","#a8b093"
"TAG 6854-2","6854-2","#c1c8a0"
"TAG 6860-2","6860-2","#b3ba9e"
"TAG 6866-2","6866-2","#d1d6b5"
"TAG 6870-2","6870-2","#bfc4ae"
"TAG 6878-1","6878-1","#e0e4cd"
"TAG 6880-2","6880-2","#cfd3c0"
"TAG 6884-1","6884-1","#c8cdc4"
"TAG 6886-1","6886-1","#c3c8c2"
"TAG 6888-1","6888-1","#bec3bd"
"TAG 6888-2","6888-2","#b5b9b2"
"TAG 6890-1","6890-1","#e5e7d4"
"TAG 6890-2","6890-2","#e4e6d0"
"TAG 6892-1","6892-1","#d5d8cd"
"TAG 6894-1","6894-1","#d2d5cd"
"TAG 7016-3","7016-3","#515344"
"TAG 7028-2","7028-2","#909584"
"TAG 7040-1","7040-1","#a2a89b"
"TAG 7060-1","7060-1","#b1b6a9"
"TAG 7070-1","7070-1","#bec1b8"
"TAG 7080-1","7080-1","#ced0c7"
"TAG 7090-1","7090-1","#dedfd4"
"TAG 7092-2","7092-2","#cdcec6"
"TAG 7094-2","7094-2","#c7c9c2"
"TAG 7098-2","7098-2","#bbbdba"
"TAG 7212-3","7212-3","#475159"
