"Terranova 1000","terranova-1000","#f0eee4"
"Terranova 1100","terranova-1100","#f6d50e"
"Terranova 1102","terranova-1102","#f2eece"
"Terranova 1110","terranova-1110","#f5ecb2"
"Terranova 1125","terranova-1125","#f6e991"
"Terranova 1150","terranova-1150","#f4de5a"
"Terranova 1200","terranova-1200","#ffba1c"
"Terranova 1202","terranova-1202","#f4e8ce"
"Terranova 1210","terranova-1210","#fbe1b3"
"Terranova 1225","terranova-1225","#fad58f"
"Terranova 1250","terranova-1250","#ffcf6e"
"Terranova 1300","terranova-1300","#e09d49"
"Terranova 1302","terranova-1302","#f4ebd8"
"Terranova 1310","terranova-1310","#f7e3c8"
"Terranova 1325","terranova-1325","#f5d6b0"
"Terranova 1350","terranova-1350","#edc28c"
"Terranova 1400","terranova-1400","#daaa54"
"Terranova 1402","terranova-1402","#f5eacf"
"Terranova 1410","terranova-1410","#f4e3c3"
"Terranova 1425","terranova-1425","#f2d7a6"
"Terranova 1450","terranova-1450","#e8c483"
"Terranova 1500","terranova-1500","#cf9540"
"Terranova 1502","terranova-1502","#f2e3c8"
"Terranova 1510","terranova-1510","#f4d8ac"
"Terranova 1525","terranova-1525","#ebc287"
"Terranova 1550","terranova-1550","#e3b166"
"Terranova 1600","terranova-1600","#bd8045"
"Terranova 1602","terranova-1602","#f3ddc3"
"Terranova 1610","terranova-1610","#eccca7"
"Terranova 1625","terranova-1625","#daaf83"
"Terranova 1650","terranova-1650","#d49f6b"
"Terranova 2000","terranova-2000","#89754c"
"Terranova 2002","terranova-2002","#eae3d4"
"Terranova 2010","terranova-2010","#d8cdb8"
"Terranova 2025","terranova-2025","#ccbfa4"
"Terranova 2050","terranova-2050","#b5a381"
"Terranova 2100","terranova-2100","#807f4d"
"Terranova 2102","terranova-2102","#e5e3ce"
"Terranova 2110","terranova-2110","#d0cfb2"
"Terranova 2125","terranova-2125","#bcbc92"
"Terranova 2150","terranova-2150","#a8a779"
"Terranova 2200","terranova-2200","#7b7555"
"Terranova 2202","terranova-2202","#e4e3d8"
"Terranova 2210","terranova-2210","#d5d2c3"
"Terranova 2225","terranova-2225","#c1bea9"
"Terranova 2250","terranova-2250","#a39f86"
"Terranova 2300","terranova-2300","#607a5a"
"Terranova 2302","terranova-2302","#e2e7dd"
"Terranova 2310","terranova-2310","#cad6c8"
"Terranova 2325","terranova-2325","#adbea7"
"Terranova 2350","terranova-2350","#91a68c"
"Terranova 2400","terranova-2400","#686a50"
"Terranova 2402","terranova-2402","#dedfd3"
"Terranova 2410","terranova-2410","#c5c8bc"
"Terranova 2425","terranova-2425","#b3b5a6"
"Terranova 2450","terranova-2450","#949782"
"Terranova 2500","terranova-2500","#596655"
"Terranova 2502","terranova-2502","#dbdfd4"
"Terranova 2510","terranova-2510","#c5cac1"
"Terranova 2525","terranova-2525","#abb3aa"
"Terranova 2550","terranova-2550","#8a998c"
"Terranova 3000","terranova-3000","#9c714a"
"Terranova 3002","terranova-3002","#e6d5c5"
"Terranova 3010","terranova-3010","#e1cab4"
"Terranova 3025","terranova-3025","#d3b69a"
"Terranova 3050","terranova-3050","#bc9a78"
"Terranova 3100","terranova-3100","#866346"
"Terranova 3102","terranova-3102","#e6ddd2"
"Terranova 3110","terranova-3110","#daccbd"
"Terranova 3125","terranova-3125","#c6b19d"
"Terranova 3150","terranova-3150","#b0947b"
"Terranova 3200","terranova-3200","#7f5e4c"
"Terranova 3202","terranova-3202","#ece0d7"
"Terranova 3210","terranova-3210","#d9c7bd"
"Terranova 3225","terranova-3225","#cbb2a8"
"Terranova 3250","terranova-3250","#b19082"
"Terranova 3300","terranova-3300","#7a533f"
"Terranova 3302","terranova-3302","#e4d2c9"
"Terranova 3310","terranova-3310","#cdb4ab"
"Terranova 3325","terranova-3325","#b09185"
"Terranova 3350","terranova-3350","#9a7565"
"Terranova 3400","terranova-3400","#b26f49"
"Terranova 3402","terranova-3402","#f1dbd0"
"Terranova 3410","terranova-3410","#ebc8b5"
"Terranova 3425","terranova-3425","#e0b59e"
"Terranova 3450","terranova-3450","#d09d82"
"Terranova 3500","terranova-3500","#a4654e"
"Terranova 3502","terranova-3502","#ebd8cf"
"Terranova 3510","terranova-3510","#e1c1b5"
"Terranova 3525","terranova-3525","#d7ac9c"
"Terranova 3550","terranova-3550","#c28c7a"
"Terranova 4000","terranova-4000","#e9743c"
"Terranova 4002","terranova-4002","#f9e1cf"
"Terranova 4010","terranova-4010","#f2ccb4"
"Terranova 4025","terranova-4025","#f2b794"
"Terranova 4050","terranova-4050","#ec9f75"
"Terranova 4100","terranova-4100","#e15745"
"Terranova 4102","terranova-4102","#f5d9d4"
"Terranova 4110","terranova-4110","#f5c2be"
"Terranova 4125","terranova-4125","#eea59f"
"Terranova 4150","terranova-4150","#e7877f"
"Terranova 4200","terranova-4200","#864a42"
"Terranova 4202","terranova-4202","#e3cac9"
"Terranova 4210","terranova-4210","#cca7a8"
"Terranova 4225","terranova-4225","#ba8a8b"
"Terranova 4250","terranova-4250","#a76e6d"
"Terranova 4300","terranova-4300","#8d4a3e"
"Terranova 4302","terranova-4302","#e8c9c3"
"Terranova 4310","terranova-4310","#d8a59c"
"Terranova 4325","terranova-4325","#c5867e"
