"Terranova B007","terranova-b007","#b8bdbe"
"Terranova B093","terranova-b093","#cbdbe4"
"Terranova B620","terranova-b620","#9aadb1"
"Terranova B621","terranova-b621","#92a9b3"
"Terranova E113","terranova-e113","#eedcc5"
"Terranova E115","terranova-e115","#dbb18a"
"Terranova E612","terranova-e612","#ac6e4f"
"Terranova G092","terranova-g092","#daddcd"
"Terranova G113","terranova-g113","#d2ceb0"
"Terranova G115","terranova-g115","#b3b38f"
"Terranova G621","terranova-g621","#aaaf8f"
"Terranova L007","terranova-l007","#e4d8bd"
"Terranova L013","terranova-l013","#e2d1b7"
"Terranova L053","terranova-l053","#e1c495"
"Terranova L091","terranova-l091","#efdfc3"
"Terranova L092","terranova-l092","#efdcbb"
"Terranova L093","terranova-l093","#e4c69b"
"Terranova L094","terranova-l094","#dcb273"
"Terranova L096","terranova-l096","#cc9b57"
"Terranova L111","terranova-l111","#e4decc"
"Terranova L113","terranova-l113","#e0d5b7"
"Terranova L211","terranova-l211","#e9e0cc"
"Terranova L213","terranova-l213","#e1c9a3"
"Terranova L611","terranova-l611","#e5ddc9"
"Terranova L613","terranova-l613","#dbd2ba"
"Terranova N004","terranova-n004","#c4aa8f"
"Terranova N020","terranova-n020","#c4a589"
"Terranova N630","terranova-n630","#cfc2af"
"Terranova N631","terranova-n631","#ad9986"
"Terranova N642","terranova-n642","#876755"
"Terranova N652","terranova-n652","#755e52"
"Terranova R611","terranova-r611","#d3c3b8"
"Terranova R613","terranova-r613","#d8bfb2"
"Terranova R620","terranova-r620","#d9ae9e"
"Terranova R632","terranova-r632","#8d5949"
"Terranova U005","terranova-u005","#dcccb2"
"Terranova U081","terranova-u081","#bdb8ab"
"Terranova U083","terranova-u083","#999491"
"Terranova U085","terranova-u085","#747474"
"Terranova U621","terranova-u621","#8e8f87"
"Terranova U811","terranova-u811","#c7c1b3"
"Terranova W001","terranova-w001","#eeede3"
"Terranova W003","terranova-w003","#e3ded2"
