"Terranova A536","terranova-a536","#cda599"
"Terranova A537","terranova-a537","#c18966"
"Terranova A538","terranova-a538","#d09577"
"Terranova A539","terranova-a539","#ae7452"
"Terranova A540","terranova-a540","#9b6c54"
"Terranova A541","terranova-a541","#816157"
"Terranova B749","terranova-b749","#bec9d1"
"Terranova E315","terranova-e315","#e6dccc"
"Terranova E316","terranova-e316","#e5dac6"
"Terranova E317","terranova-e317","#e3d2bd"
"Terranova E318","terranova-e318","#d8cfc0"
"Terranova E319","terranova-e319","#daceba"
"Terranova E320","terranova-e320","#e8dcc1"
"Terranova E321","terranova-e321","#deccad"
"Terranova E322","terranova-e322","#d3bc9b"
"Terranova G642","terranova-g642","#d5d6c8"
"Terranova G643","terranova-g643","#c1cbbc"
"Terranova G644","terranova-g644","#e0dabc"
"Terranova G645","terranova-g645","#cbccb3"
"Terranova G646","terranova-g646","#dfdba9"
"Terranova G647","terranova-g647","#9b905f"
"Terranova G648","terranova-g648","#899061"
"Terranova L423","terranova-l423","#e5dcbc"
"Terranova L424","terranova-l424","#eddeb3"
"Terranova L425","terranova-l425","#d1c29f"
"Terranova L426","terranova-l426","#e2c992"
"Terranova L427","terranova-l427","#d7bc97"
"Terranova L428","terranova-l428","#bfa985"
"Terranova L429","terranova-l429","#fff4d3"
"Terranova L430","terranova-l430","#f3d8b2"
"Terranova L431","terranova-l431","#e1ca9f"
"Terranova L432","terranova-l432","#debf8b"
"Terranova L433","terranova-l433","#d8b778"
"Terranova L434","terranova-l434","#e0b069"
"Terranova L435","terranova-l435","#c29b64"
"Terranova N850","terranova-n850","#c4ac91"
"Terranova N851","terranova-n851","#b4a391"
"Terranova N852","terranova-n852","#b89e8b"
"Terranova N853","terranova-n853","#9b8d88"
"Terranova N854","terranova-n854","#8e8078"
"Terranova R955","terranova-r955","#d8bba5"
"Terranova R956","terranova-r956","#deb6a4"
"Terranova R957","terranova-r957","#d6af9b"
"Terranova R958","terranova-r958","#aa6961"
"Terranova R959","terranova-r959","#a46b56"
"Terranova R960","terranova-r960","#9b5343"
"Terranova U206","terranova-u206","#dedad2"
"Terranova U207","terranova-u207","#e2dbd0"
"Terranova U208","terranova-u208","#d7d7d4"
"Terranova U209","terranova-u209","#dbdbd6"
"Terranova U210","terranova-u210","#d0d4cd"
"Terranova U211","terranova-u211","#c0c3c4"
"Terranova U212","terranova-u212","#868686"
"Terranova U213","terranova-u213","#5b5f66"
"Terranova U214","terranova-u214","#4d4d52"
"Terranova W100","terranova-w100","#f5f3ed"
"Terranova W102","terranova-w102","#fafaf6"
"Terranova W103","terranova-w103","#f1ecde"
"Terranova W104","terranova-w104","#edeae3"
"Terranova W105","terranova-w105","#f1e9e0"
