"Terranova T010","terranova-t010","#ecede6"
"Terranova T020","terranova-t020","#e8e3db"
"Terranova T030","terranova-t030","#eeefdd"
"Terranova T040","terranova-t040","#eeefdb"
"Terranova T050","terranova-t050","#edf0c4"
"Terranova T060","terranova-t060","#e9e8a2"
"Terranova T070","terranova-t070","#ebe786"
"Terranova T080","terranova-t080","#ece67b"
"Terranova T090","terranova-t090","#ede377"
"Terranova T100","terranova-t100","#ebece5"
"Terranova T110","terranova-t110","#eeeada"
"Terranova T120","terranova-t120","#f4ebd5"
"Terranova T130","terranova-t130","#eedcba"
"Terranova T140","terranova-t140","#f0d4a4"
"Terranova T150","terranova-t150","#e7c48e"
"Terranova T160","terranova-t160","#deb476"
"Terranova T170","terranova-t170","#dbaf6c"
"Terranova T180","terranova-t180","#d2a25b"
"Terranova T190","terranova-t190","#d8ceb8"
"Terranova T200","terranova-t200","#ddccb0"
"Terranova T210","terranova-t210","#dbc7a6"
"Terranova T220","terranova-t220","#c9a986"
"Terranova T230","terranova-t230","#9e7c63"
"Terranova T240","terranova-t240","#a17f71"
"Terranova T250","terranova-t250","#efdebc"
"Terranova T260","terranova-t260","#e7d2aa"
"Terranova T270","terranova-t270","#e4c998"
"Terranova T280","terranova-t280","#e3bb80"
"Terranova T290","terranova-t290","#ddb282"
"Terranova T300","terranova-t300","#daaa81"
"Terranova T310","terranova-t310","#ca906d"
"Terranova T320","terranova-t320","#ead9d1"
"Terranova T330","terranova-t330","#e3c8c1"
"Terranova T340","terranova-t340","#dfb8b1"
"Terranova T350","terranova-t350","#d8a7a0"
"Terranova T360","terranova-t360","#ca8c86"
"Terranova T370","terranova-t370","#b4746e"
"Terranova T380","terranova-t380","#98554f"
"Terranova T390","terranova-t390","#f0ddd2"
"Terranova T400","terranova-t400","#dcc0b9"
"Terranova T410","terranova-t410","#c7a8a6"
"Terranova T420","terranova-t420","#d1c2c0"
"Terranova T430","terranova-t430","#c7b5b5"
"Terranova T440","terranova-t440","#baa7a7"
"Terranova T450","terranova-t450","#e8ebe6"
"Terranova T460","terranova-t460","#dce7e7"
"Terranova T470","terranova-t470","#cadce6"
"Terranova T480","terranova-t480","#c3dae6"
"Terranova T490","terranova-t490","#abc9e1"
"Terranova T500","terranova-t500","#9bc2e1"
"Terranova T510","terranova-t510","#8db8dd"
"Terranova T520","terranova-t520","#8ab5dc"
"Terranova T530","terranova-t530","#e1e8e4"
"Terranova T540","terranova-t540","#cce3e6"
"Terranova T550","terranova-t550","#b4d6e1"
"Terranova T560","terranova-t560","#96c5d8"
"Terranova T570","terranova-t570","#82bed9"
"Terranova T580","terranova-t580","#81bad2"
"Terranova T590","terranova-t590","#67accb"
"Terranova T600","terranova-t600","#e4e6db"
"Terranova T610","terranova-t610","#dee4d6"
"Terranova T620","terranova-t620","#d5dccc"
"Terranova T630","terranova-t630","#ccd8c5"
"Terranova T640","terranova-t640","#c1d0b9"
"Terranova T650","terranova-t650","#adbea3"
"Terranova T660","terranova-t660","#97af90"
"Terranova T670","terranova-t670","#758f70"
"Terranova T680","terranova-t680","#dededa"
"Terranova T690","terranova-t690","#d0d0ce"
"Terranova T700","terranova-t700","#babbbb"
"Terranova T710","terranova-t710","#acadae"
"Terranova T720","terranova-t720","#8d8f92"
"Terranova T730","terranova-t730","#797d81"
"Terranova T740","terranova-t740","#61656b"
"Terranova T750","terranova-t750","#a1a599"
"Terranova T760","terranova-t760","#8a9e9a"
"Terranova T770","terranova-t770","#bbb29d"
"Terranova T780","terranova-t780","#9d987e"
"Terranova T790","terranova-t790","#958c72"
"Terranova T800","terranova-t800","#95916a"
