"Thermoshield E1-1","thermoshield-e1-1","#e0c4cd"
"Thermoshield E1-2","thermoshield-e1-2","#d1adc0"
"Thermoshield E1-3","thermoshield-e1-3","#caa1b8"
"Thermoshield E1-4","thermoshield-e1-4","#a87590"
"Thermoshield E1-5","thermoshield-e1-5","#935a77"
"Thermoshield E1-6","thermoshield-e1-6","#e0c8cc"
"Thermoshield E1-7","thermoshield-e1-7","#d9b5c1"
"Thermoshield E1-8","thermoshield-e1-8","#d4acbb"
"Thermoshield E1-9","thermoshield-e1-9","#af7b8e"
"Thermoshield E1-10","thermoshield-e1-10","#9f6477"
"Thermoshield E1-11","thermoshield-e1-11","#dccbce"
"Thermoshield E1-12","thermoshield-e1-12","#d6c0c8"
"Thermoshield E1-13","thermoshield-e1-13","#bca0ab"
"Thermoshield E1-14","thermoshield-e1-14","#90747e"
"Thermoshield E1-15","thermoshield-e1-15","#796068"
"Thermoshield E1-16","thermoshield-e1-16","#d8d3da"
"Thermoshield E1-17","thermoshield-e1-17","#c6c1cd"
"Thermoshield E1-18","thermoshield-e1-18","#aaa2b3"
"Thermoshield E1-19","thermoshield-e1-19","#807689"
"Thermoshield E1-20","thermoshield-e1-20","#64586b"
"Thermoshield E1-21","thermoshield-e1-21","#f1d4d7"
"Thermoshield E1-22","thermoshield-e1-22","#eec6d0"
"Thermoshield E1-23","thermoshield-e1-23","#e5b6c2"
"Thermoshield E1-24","thermoshield-e1-24","#c07486"
"Thermoshield E1-25","thermoshield-e1-25","#be697b"
"Thermoshield E1-26","thermoshield-e1-26","#f3e1e3"
"Thermoshield E1-27","thermoshield-e1-27","#e5c0ce"
"Thermoshield E1-28","thermoshield-e1-28","#c68ea7"
"Thermoshield E1-29","thermoshield-e1-29","#a0687a"
"Thermoshield E1-30","thermoshield-e1-30","#885965"
"Thermoshield E1-31","thermoshield-e1-31","#d9c1c5"
"Thermoshield E1-32","thermoshield-e1-32","#c5a4ad"
"Thermoshield E1-33","thermoshield-e1-33","#a06f7d"
"Thermoshield E1-34","thermoshield-e1-34","#906770"
"Thermoshield E1-35","thermoshield-e1-35","#7d5961"
"Thermoshield E1-36","thermoshield-e1-36","#d2ccce"
"Thermoshield E1-37","thermoshield-e1-37","#c2b9c0"
"Thermoshield E1-38","thermoshield-e1-38","#a49aa2"
"Thermoshield E1-39","thermoshield-e1-39","#786d74"
"Thermoshield E1-40","thermoshield-e1-40","#675c62"
"Thermoshield E1-41","thermoshield-e1-41","#f8dfe0"
"Thermoshield E1-42","thermoshield-e1-42","#fad4d8"
"Thermoshield E1-43","thermoshield-e1-43","#f2b5bf"
"Thermoshield E1-44","thermoshield-e1-44","#e98d9e"
"Thermoshield E1-45","thermoshield-e1-45","#b6676f"
"Thermoshield E1-46","thermoshield-e1-46","#f3ced2"
"Thermoshield E1-47","thermoshield-e1-47","#e8b5be"
"Thermoshield E1-48","thermoshield-e1-48","#e1a4ad"
"Thermoshield E1-49","thermoshield-e1-49","#ca7885"
"Thermoshield E1-50","thermoshield-e1-50","#be636c"
"Thermoshield E1-51","thermoshield-e1-51","#ebcccd"
"Thermoshield E1-52","thermoshield-e1-52","#e5c2c2"
"Thermoshield E1-53","thermoshield-e1-53","#cf9ea1"
"Thermoshield E1-54","thermoshield-e1-54","#ae7776"
"Thermoshield E1-55","thermoshield-e1-55","#855855"
"Thermoshield E1-56","thermoshield-e1-56","#d7c7c4"
"Thermoshield E1-57","thermoshield-e1-57","#c7b3b1"
"Thermoshield E1-58","thermoshield-e1-58","#b39a96"
"Thermoshield E1-59","thermoshield-e1-59","#927470"
"Thermoshield E1-60","thermoshield-e1-60","#7c5d56"
"Thermoshield E2-1","thermoshield-e2-1","#f4dedc"
"Thermoshield E2-2","thermoshield-e2-2","#f5c8cd"
"Thermoshield E2-3","thermoshield-e2-3","#f1acb8"
"Thermoshield E2-4","thermoshield-e2-4","#e17985"
"Thermoshield E2-5","thermoshield-e2-5","#d05b61"
"Thermoshield E2-6","thermoshield-e2-6","#f5d2d0"
