"SC 80-2563 Canary Yellow","2563-canary-yellow","#f2db1f"
"SC 80-2562 Buttercup","2562-buttercup","#f3c900"
"SC 80-2549 Goldrod","2549-goldrod","#fbc000"
"SC 80-15 Cadmium Yellow","15-cadmium-yellow","#ffc100"
"SC 80-25 Yellow","25-yellow","#ffb100"
"SC 80-2550 Golden Yellow","2550-golden-yellow","#ffa000"
"SC 80-717 Light Orange","717-light-orange","#f47a00"
"SC 80-2434 Signal Orange","2434-signal-orange","#f26000"
"SC 80-14 Bright Orange","14-bright-orange","#e45d00"
"SC 80-410 Mandarin","410-mandarin","#e35106"
"SC 80-266 Red Orange","266-red-orange","#da3c0b"
"SC 80-2551 Signal Red","2551-signal-red","#c42513"
"SC 80-368 Light Red","368-light-red","#bf1c04"
"SC 80-2552 Sanguine","2552-sanguine","#c10a02"
"SC 80-13 Tomato Red","13-tomato-red","#b61a0b"
"SC 80-176 Geranium Red","176-geranium-red","#a30d12"
"SC 80-2553 Fire Brick","2553-fire-brick","#9d2217"
"SC 80-53 Cardinal Red","53-cardinal-red","#92091c"
"SC 80-23 Ruby Red","23-ruby-red","#8a181d"
"SC 80-2554 Deep Red","2554-deep-red","#830e19"
"SC 80-2400 Intense Red","2400-intense-red","#860619"
"SC 80-2415 Light Pink","2415-light-pink","#e88ab8"
"SC 80-1916 Intense Pink","1916-intense-pink","#b02267"
"SC 80-2410 Fuchsia","2410-fuchsia","#ac4982"
"SC 80-2413 Lilac","2413-lilac","#bc90bc"
"SC 80-721 Bright Violet","721-bright-violet","#85437f"
"SC 80-2409 Aubergine","2409-aubergine","#61295c"
"SC 80-597 Purple","597-purple","#4d2d51"
"SC 80-2412 Lavender","2412-lavender","#7b65ae"
"SC 80-2411 Intense Violet","2411-intense-violet","#583c8b"
"SC 80-595 Royal Purple","595-royal-purple","#3e2a6f"
"SC 80-1794 Deep Blue","1794-deep-blue","#23205b"
"SC 80-2416 Basalt Blue","2416-basalt-blue","#111e3f"
"SC 80-2557 Night Blue","2557-night-blue","#0b2558"
"SC 80-1024 Bluet","1024-bluet","#1d3577"
"SC 80-2556 Gentian","2556-gentian","#1d4a98"
"SC 80-2565 Highway Blue","2565-highway-blue","#113980"
"SC 80-37 Sapphire Blue","37-sapphire-blue","#0e3a79"
"SC 80-003 Dark Blue","003-dark-blue","#1a3964"
"SC 80-724 Light Navy","724-light-navy","#002a4a"
"SC 80-1789 Fjord Blue","1789-fjord-blue","#004c7b"
"SC 80-17 Vivid Blue","17-vivid-blue","#005394"
"SC 80-47 Intense Blue","47-intense-blue","#0065a0"
"SC 80-2555 Curacao","2555-curacao","#0073ba"
"SC 80-57 Olympic Blue","57-olympic-blue","#008ac6"
"SC 80-123 Light Blue","123-light-blue","#0097d0"
"SC 80-453 Soft Blue","453-soft-blue","#54add9"
"SC 80-600 Robin Egg Blue","600-robin-egg-blue","#8edbd7"
"SC 80-716 Aqua","716-aqua","#53ccb0"
"SC 80-603 Teal","603-teal","#008689"
"SC 80-449 Lime Green","449-lime-green","#b1c41a"
"SC 80-719 Apple Green","719-apple-green","#5a9900"
"SC 80-1583 Clear Green","1583-clear-green","#008e2c"
"SC 80-1645 Intense Green","1645-intense-green","#007951"
"SC 80-56 Dark Green","56-dark-green","#005739"
"SC 80-008 Fir Tree Green","008-fir-tree-green","#0f3f29"
"SC 80-384 Light Grey","384-light-grey","#c7cbcb"
"SC 80-2428 Crystal Grey ","2428-crystal-grey","#c6c9c6"
"SC 80-605 Medium Grey ","605-medium-grey","#a7a7a6"
"SC 80-822 Mid Grey ","822-mid-grey","#88898a"
"SC 80-038 Traffic Grey","038-traffic-grey","#7a8281"
"SC 80-2558 Cool Grey","2558-cool-grey","#666a67"
"SC 80-1833 Fossil Grey","1833-fossil-grey","#5d6365"
"SC 80-012 Grey ","012-grey","#4a4d4e"
"SC 80-706 Dark Grey","706-dark-grey","#555757"
"SC 80-12 Black ","12-black","#121214"
"SC 80-22 Black Matte","22-black-matte","#333333"
"SC 80-19 Deep Mahogany Brown","19-deep-mahogany-brown","#4a2b20"
"SC 80-2407 Red Brown","2407-red-brown","#5e211b"
"SC 80-2429 Nevada Beige","2429-nevada-beige","#c7ab7d"
"SC 80-2430 Sand","2430-sand","#e5d4ba"
"SC 80-2431 Almond ","2431-almond","#ece0ba"
"SC 80-2564 Wheat","2564-wheat","#f1d69c"
"SC 80-114 Transparent","114-transparent","#e5e3d8"
"SC 80-10 White","10-white","#f8f9f6"
"SC 80-20 White Matte","20-white-matte","#f8f9f6"
"SC 80-58 Aluminium Metallic","58-aluminium-metallic","#b2b4b5"
"SC 80-144 Anthracite Metallic","144-anthracite-metallic","#616162"
"SC 80-2476 Granite Metallic","2476-granite-metallic","#484b4b"
"SC 80-2560 Black Metallic","2560-black-metallic","#28292a"
"SC 80-2559 Golden Mica Metallic","2559-golden-mica-metallic","#9e8847"
"SC 80-54 Gold Metallic","54-gold-metallic","#9d824d"
"SC 80-2065 Venus Gold Metallic","2065-venus-gold-metallic","#866b34"
"SC 80-2561 Navy Blue Metallic","2561-navy-blue-metallic","#223e60"
