"Ivory","005","#dfd3ae"
"Yellow","015","#ecc100"
"White","020","#f1f2ef"
"Black","022","#41403e"
"Sunflower","025","#d79d29"
"Green","026","#3b6847"
"Red","033","#9a393b"
"Blue","036","#3e4767"
"Light Tomato Red","043","#ab3e3b"
"Orange","044","#c65a3a"
"Burgundy","049","#6a3b41"
"Silver Gray","051","#949898"
"Cardinal Red","053","#90382d"
"Olympic Blue","057","#528bb1"
"Dark Brown","059","#574b47"
"Slate Gray","061","#717880"
"Rust Brown","063","#6b4a44"
"Rose Mauve","068","#be748e"
"Duranodic","069","#54504c"
"Shadow Gray","071","#938e8b"
"Dark Red","073","#963b3f"
"Kumquat Orange","074","#da832f"
"Marigold","075","#e0a222"
"Holly Green","076","#425c42"
"Vivid Rose","078","#af435b"
"Regal Red","083","#9c3f4a"
"Tangerine","084","#d67b3e"
"Royal Blue","087","#454075"
"Bristol Blue","097","#41659f"
"Brilliant Green","106","#8cad38"
"Pink","108","#bf74b3"
"Light Rust Brown","109","#6d4841"
"Light Lemon Yellow","115","#d7c83b"
"Bright Jade Green","116","#249468"
"Intense Magenta","118","#944d82"
"Silver","121","#b9babb"
"Golden Yellow","125","#e5a41f"
"Dark Emerald Green","126","#3c5d47"
"Intense Blue","127","#427ab1"
"Plum Purple","128","#60496a"
"Bronze","129","#a27352"
"Gold Metallic","131","#af9a76"
"Raspberry","133","#8d375d"
"Lime Green","136","#88b244"
"European Blue","137","#414a6c"
"Gold Nugget","141","#af9c54"
"Poppy Red","143","#ab3f39"
"Light Kelly Green","146","#55a36f"
"Light European Blue","147","#548ab6"
"Light Beige","149","#cabca7"
"Vivid Green","156","#5a8853"
"Sultan Blue","157","#46548b"
"Turquoise","236","#509486"
"Teal Green","246","#308a85"
"Evening Blue","317","#909ec1"
"Process Blue","337","#4b85bb"
"White","010","#f0f3f3"
"Pearl Gray","011","#d6d6d0"
"Black","012","#212120"
"Tomato Red","013","#a8453c"
"Bright Orange","014","#e56d39"
"Bright Yellow","015","#f9c01e"
"Khaki Green","016","#576046"
"Vivid Blue","017","#006394"
"Deep Mahogany Brown","019","#5e4a44"
"Matte White","020","#eef1ff"
"Matte Black","022","#41403f"
"Deep Red","023","#9b4443"
"Terra Cotta","024","#ad6340"
"Sunflower","025","#feae1f"
"Indigo","027","#434450"
"Russet Brown","029","#744f45"
"Medium Gray","031","#acada8"
"Sapphire Blue","037","#3c5284"
"Royal Purple","038","#574d80"
"Tan","039","#b08e6d"
"Dark Gray","041","#666868"
"Kelly Green","046","#009668"
"Intense Blue","047","#0073ba"
"Purple","048","#5f4d64"
"Beige","049","#dac7ab"
"Cardinal Red","053","#9c3f42"
"Light Orange","054","#ee7f36"
"Dark Green","056","#2d6552"
"Olympic Blue","057","#0090c3"
"Burgundy","058","#763e42"
"Putty","059","#8d7c70"
"Mid Gray","061","#8d9093"
"Geranium","063","#a6433f"
"Apricot","064","#f09d4c"
"Light Lemon Yellow","065","#d3bb3b"
"Forest Green","066","#3e5c56"
"Duranodic","069","#56514e"
"Red Orange","074","#d0553f"
"Peacock Blue","077","#4fbcd8"
"Plum","078","#715276"
"Stone Gray","081","#bebbae"
"Robin Egg Blue","086","#8adad8"
"Sandstone","089","#b5a28f"
"Antique White","090","#eaeadd"
"Dove Gray","091","#898480"
"Imperial Red","093","#a73a3e"
"Teal","096","#008b8f"
