"ReflectionsOne solid 4","solid-4","#868e96"
"ReflectionsOne solid 5","solid-5","#767d86"
"ReflectionsOne solid 6","solid-6","#5f656d"
"ReflectionsOne solid 7","solid-7","#4b5056"
"ReflectionsOne solid 8","solid-8","#383a3d"
"ReflectionsOne pure 2","pure-2","#b3c3cf"
"ReflectionsOne pure 3","pure-3","#9dafbc"
"ReflectionsOne pure 4","pure-4","#8395a5"
"ReflectionsOne pure 5","pure-5","#6e7f8f"
"ReflectionsOne pure 6","pure-6","#616e7d"
"ReflectionsOne pure 7","pure-7","#56616d"
"ReflectionsOne fresh 3","fresh-3","#89accf"
"ReflectionsOne fresh 4","fresh-4","#739abf"
"ReflectionsOne fresh 5","fresh-5","#618bb1"
"ReflectionsOne fresh 6","fresh-6","#4a759e"
"ReflectionsOne fresh 7","fresh-7","#3f6386"
"ReflectionsOne endless 2","endless-2","#a3c7da"
"ReflectionsOne endless 3","endless-3","#89aec6"
"ReflectionsOne endless 4","endless-4","#77a1bc"
"ReflectionsOne endless 5","endless-5","#628eaa"
"ReflectionsOne endless 6","endless-6","#58809b"
"ReflectionsOne endless 7","endless-7","#4f718a"
"ReflectionsOne cool 3","cool-3","#90b6c2"
"ReflectionsOne cool 4","cool-4","#729eab"
"ReflectionsOne cool 5","cool-5","#5e8b97"
"ReflectionsOne dynamic 3","dynamic-3","#8cb397"
"ReflectionsOne dynamic 4","dynamic-4","#769e80"
"ReflectionsOne dynamic 5","dynamic-5","#5d866d"
"ReflectionsOne hope 2","hope-2","#b0caa2"
"ReflectionsOne hope 3","hope-3","#92ae85"
"ReflectionsOne hope 4","hope-4","#7d9572"
"ReflectionsOne hope 5","hope-5","#6a8360"
"ReflectionsOne hope 6","hope-6","#5b734f"
"ReflectionsOne relax 4","relax-4","#8f9561"
"ReflectionsOne relax 5","relax-5","#878c5a"
"ReflectionsOne relax 6","relax-6","#777d54"
"ReflectionsOne relax 7","relax-7","#676d4d"
"ReflectionsOne relax 8","relax-8","#5b624d"
"ReflectionsOne glad 2","glad-2","#9eb269"
"ReflectionsOne glad 3","glad-3","#8fa05d"
"ReflectionsOne glad 4","glad-4","#7e9053"
"ReflectionsOne glad 5","glad-5","#75854d"
"ReflectionsOne glad 6","glad-6","#657849"
"ReflectionsOne glad 7","glad-7","#5b6a46"
"ReflectionsOne glad 8","glad-8","#545f46"
"ReflectionsOne calm 3","calm-3","#92a08c"
"ReflectionsOne calm 4","calm-4","#84917b"
"ReflectionsOne calm 5","calm-5","#707d6b"
"ReflectionsOne calm 6","calm-6","#5f6e5f"
"ReflectionsOne calm 7","calm-7","#576457"
"ReflectionsOne calm 8","calm-8","#4f5b50"
"ReflectionsOne modest 2","modest-2","#9fb0a2"
"ReflectionsOne modest 3","modest-3","#8b9f91"
"ReflectionsOne modest 4","modest-4","#7b8b7f"
"ReflectionsOne modest 5","modest-5","#6a786d"
"ReflectionsOne proud 4","proud-4","#999b95"
"ReflectionsOne proud 5","proud-5","#858680"
"ReflectionsOne proud 6","proud-6","#787a74"
"ReflectionsOne proud 7","proud-7","#6a6b65"
"ReflectionsOne eternal 1","eternal-1","#d8d8ce"
"ReflectionsOne eternal 2","eternal-2","#c4c0bb"
"ReflectionsOne eternal 3","eternal-3","#b1aea9"
"ReflectionsOne eternal 4","eternal-4","#9b9893"
"ReflectionsOne eternal 5","eternal-5","#84817f"
"ReflectionsOne eternal 6","eternal-6","#716f6d"
"ReflectionsOne eternal 7","eternal-7","#636261"
"ReflectionsOne fair 4","fair-4","#9b9387"
"ReflectionsOne fair 5","fair-5","#847e73"
"ReflectionsOne fair 6","fair-6","#6f6960"
"ReflectionsOne cosy 3","cosy-3","#c4b29b"
"ReflectionsOne cosy 4","cosy-4","#b5a48c"
"ReflectionsOne cosy 5","cosy-5","#9f8f77"
"ReflectionsOne cosy 6","cosy-6","#8d7b62"
"ReflectionsOne cosy 7","cosy-7","#7a6b55"
"ReflectionsOne soft 2","soft-2","#e5c58c"
"ReflectionsOne soft 3","soft-3","#d2b47b"
"ReflectionsOne soft 4","soft-4","#bd9d6a"
"ReflectionsOne soft 5","soft-5","#ae8f5d"
"ReflectionsOne warm 5","warm-5","#ab8861"
"ReflectionsOne warm 6","warm-6","#9c7753"
"ReflectionsOne warm 7","warm-7","#876a53"
"ReflectionsOne near 4","near-4","#b69189"
"ReflectionsOne near 5","near-5","#a58079"
"ReflectionsOne near 6","near-6","#956f6a"
"ReflectionsOne near 7","near-7","#7d5d58"
"ReflectionsOne tempt 4","tempt-4","#ab8b90"
"ReflectionsOne tempt 5","tempt-5","#98797e"
"ReflectionsOne tempt 6","tempt-6","#84666b"
"ReflectionsOne tempt 7","tempt-7","#715357"
"ReflectionsOne tempt 8","tempt-8","#63494d"
"ReflectionsOne gentle 3","gentle-3","#b09f9f"
"ReflectionsOne gentle 4","gentle-4","#9f8f91"
"ReflectionsOne gentle 5","gentle-5","#8a7a7c"
"ReflectionsOne gentle 6","gentle-6","#756669"
"ReflectionsOne gentle 7","gentle-7","#6c5e61"
"ReflectionsOne secret 2","secret-2","#bdb8b8"
"ReflectionsOne secret 3","secret-3","#a49f9f"
"ReflectionsOne secret 4","secret-4","#888385"
"ReflectionsOne secret 5","secret-5","#736d6f"
"ReflectionsOne secret 6","secret-6","#5e5b5e"
