"TintaSol LW-71 - 8","tintasol-lw-71-8","#5e5f62"
"TintaSol LW-71 - 4","tintasol-lw-71-4","#6e7073"
"TintaSol LW-71 - 2","tintasol-lw-71-2","#848689"
"TintaSol LW-71 - 1","tintasol-lw-71-1","#9b9c9e"
"TintaSol LW-71 - 0-2","tintasol-lw-71-0-2","#cac9c9"
"TintaSol LW-52 - 8","tintasol-lw-52-8","#97886e"
"TintaSol LW-52 - 4","tintasol-lw-52-4","#a99a81"
"TintaSol LW-52 - 2","tintasol-lw-52-2","#bbad97"
"TintaSol LW-52 - 1","tintasol-lw-52-1","#ccc0ad"
"TintaSol LW-52 - 0-2","tintasol-lw-52-0-2","#e7ded0"
"TintaSol L-13 - 8","tintasol-l-13-8","#f3d84c"
"TintaSol L-13 - 4","tintasol-l-13-4","#f7dd66"
"TintaSol L-13 - 2","tintasol-l-13-2","#fbe380"
"TintaSol L-13 - 1","tintasol-l-13-1","#fce79a"
"TintaSol L-13 - 0-2","tintasol-l-13-0-2","#faefc8"
"TintaSol L-15 - 8","tintasol-l-15-8","#ffbd21"
"TintaSol L-15 - 4","tintasol-l-15-4","#ffc840"
"TintaSol L-15 - 2","tintasol-l-15-2","#ffd361"
"TintaSol L-15 - 1","tintasol-l-15-1","#ffdb7d"
"TintaSol L-15 - 0-2","tintasol-l-15-0-2","#feebbc"
"TintaSol L-12 - 8","tintasol-l-12-8","#ffd949"
"TintaSol L-12 - 4","tintasol-l-12-4","#ffde65"
"TintaSol L-12 - 2","tintasol-l-12-2","#ffe585"
"TintaSol L-12 - 1","tintasol-l-12-1","#fee99a"
"TintaSol L-12 - 0-2","tintasol-l-12-0-2","#fbf0c9"
"TintaSol L-36 - 8","tintasol-l-36-8","#f17858"
"TintaSol L-36 - 4","tintasol-l-36-4","#fa8a71"
"TintaSol L-36 - 2","tintasol-l-36-2","#fe9a83"
"TintaSol L-36 - 1","tintasol-l-36-1","#ffb09d"
"TintaSol L-36 - 0-2","tintasol-l-36-0-2","#ffd5c9"
"TintaSol L-32 - 8","tintasol-l-32-8","#d34d57"
"TintaSol L-32 - 4","tintasol-l-32-4","#db5e6b"
"TintaSol L-32 - 2","tintasol-l-32-2","#e47080"
"TintaSol L-32 - 1","tintasol-l-32-1","#f0889a"
"TintaSol L-32 - 0-2","tintasol-l-32-0-2","#fabdc8"
"TintaSol LW-81 - 8","tintasol-lw-81-8","#7864a7"
"TintaSol LW-81 - 4","tintasol-lw-81-4","#8f7bbd"
"TintaSol LW-81 - 2","tintasol-lw-81-2","#a390cb"
"TintaSol LW-81 - 1","tintasol-lw-81-1","#b9a8d9"
"TintaSol LW-81 - 0-2","tintasol-lw-81-0-2","#ddd3e9"
"TintaSol LW-21 - 8","tintasol-lw-21-8","#0088bc"
"TintaSol LW-21 - 4","tintasol-lw-21-4","#059ccd"
"TintaSol LW-21 - 2","tintasol-lw-21-2","#3cb0da"
"TintaSol LW-21 - 1","tintasol-lw-21-1","#6ac1e1"
"TintaSol LW-21 - 0-2","tintasol-lw-21-0-2","#a7dceb"
"TintaSol LW-62 - 8","tintasol-lw-62-8","#00aa8b"
"TintaSol LW-62 - 4","tintasol-lw-62-4","#39bb9f"
"TintaSol LW-62 - 2","tintasol-lw-62-2","#64ccb4"
"TintaSol LW-62 - 1","tintasol-lw-62-1","#84d8c3"
"TintaSol LW-62 - 0-2","tintasol-lw-62-0-2","#beeadc"
"TintaSol LW-61 - 8","tintasol-lw-61-8","#99ac8b"
"TintaSol LW-61 - 4","tintasol-lw-61-4","#adbea0"
"TintaSol LW-61 - 2","tintasol-lw-61-2","#bfcbb0"
"TintaSol LW-61 - 1","tintasol-lw-61-1","#d1d9c4"
"TintaSol LW-61 - 0-2","tintasol-lw-61-0-2","#e4e7d8"
"TintaSol LW-11 - 8","tintasol-lw-11-8","#e9b56b"
"TintaSol LW-11 - 4","tintasol-lw-11-4","#f0c17f"
"TintaSol LW-11 - 2","tintasol-lw-11-2","#f5cf99"
"TintaSol LW-11 - 1","tintasol-lw-11-1","#fadbb0"
"TintaSol LW-11 - 0-2","tintasol-lw-11-0-2","#fbead1"
"TintaSol LW-14 - 8","tintasol-lw-14-8","#d08965"
"TintaSol LW-14 - 4","tintasol-lw-14-4","#dc9b7b"
"TintaSol LW-14 - 2","tintasol-lw-14-2","#e6ac90"
"TintaSol LW-14 - 1","tintasol-lw-14-1","#eebea5"
"TintaSol LW-14 - 0-2","tintasol-lw-14-0-2","#f8dbca"
"TintaSol LW-31 - 8","tintasol-lw-31-8","#ae6a60"
"TintaSol LW-31 - 4","tintasol-lw-31-4","#be7d73"
"TintaSol LW-31 - 2","tintasol-lw-31-2","#cd9288"
"TintaSol LW-31 - 1","tintasol-lw-31-1","#dba89f"
"TintaSol LW-31 - 0-2","tintasol-lw-31-0-2","#f0d1ca"
"TintaSol LW-51 - 8","tintasol-lw-51-8","#a37e65"
"TintaSol LW-51 - 4","tintasol-lw-51-4","#b8927a"
"TintaSol LW-51 - 2","tintasol-lw-51-2","#c6a48e"
"TintaSol LW-51 - 1","tintasol-lw-51-1","#d4b6a3"
"TintaSol LW-51 - 0-2","tintasol-lw-51-0-2","#eddbce"
"TintaSol LW-35 - 8","tintasol-lw-35-8","#af5f4f"
"TintaSol LW-35 - 4","tintasol-lw-35-4","#bf705f"
"TintaSol LW-35 - 2","tintasol-lw-35-2","#d28979"
"TintaSol LW-35 - 1","tintasol-lw-35-1","#e0a090"
"TintaSol LW-35 - 0-2","tintasol-lw-35-0-2","#f3cec2"
"TintaSol LW-53 - 8","tintasol-lw-53-8","#9a7a62"
"TintaSol LW-53 - 4","tintasol-lw-53-4","#ad8d76"
"TintaSol LW-53 - 2","tintasol-lw-53-2","#bea089"
"TintaSol LW-53 - 1","tintasol-lw-53-1","#cdb39e"
"TintaSol LW-53 - 0-2","tintasol-lw-53-0-2","#e8d9ca"
"TintaSol LW-64 - 8","tintasol-lw-64-8","#acac7a"
"TintaSol LW-64 - 4","tintasol-lw-64-4","#bcbb8e"
"TintaSol LW-64 - 2","tintasol-lw-64-2","#cbcaa4"
"TintaSol LW-64 - 1","tintasol-lw-64-1","#dad8b9"
"TintaSol LW-64 - 0-2","tintasol-lw-64-0-2","#ece8d4"
"TintaSol LW-65 - 8","tintasol-lw-65-8","#799c89"
"TintaSol LW-65 - 4","tintasol-lw-65-4","#8eaf9d"
"TintaSol LW-65 - 2","tintasol-lw-65-2","#a4bfb0"
"TintaSol LW-65 - 1","tintasol-lw-65-1","#bbd0c2"
"TintaSol LW-65 - 0-2","tintasol-lw-65-0-2","#dde6dc"
"TintaSol LW-72 - 8","tintasol-lw-72-8","#787368"
"TintaSol LW-72 - 4","tintasol-lw-72-4","#8a857a"
"TintaSol LW-72 - 2","tintasol-lw-72-2","#9f9a8f"
"TintaSol LW-72 - 1","tintasol-lw-72-1","#b4afa5"
"TintaSol LW-72 - 0-2","tintasol-lw-72-0-2","#dbd7ce"
"TintaSol LW-34 - 8","tintasol-lw-34-8","#ef7773"
"TintaSol LW-34 - 4","tintasol-lw-34-4","#f88787"
"TintaSol LW-34 - 2","tintasol-lw-34-2","#fc9e9d"
"TintaSol LW-34 - 1","tintasol-lw-34-1","#feb1b1"
"TintaSol LW-34 - 0-2","tintasol-lw-34-0-2","#ffd5d3"
"TintaSol LW-33 - 8","tintasol-lw-33-8","#d35f89"
"TintaSol LW-33 - 4","tintasol-lw-33-4","#e27ba4"
"TintaSol LW-33 - 2","tintasol-lw-33-2","#ec92b8"
"TintaSol LW-33 - 1","tintasol-lw-33-1","#f2a9c8"
"TintaSol LW-33 - 0-2","tintasol-lw-33-0-2","#f8d2e0"
"TintaSol LW-17 - 8","tintasol-lw-17-8","#ffe46b"
"TintaSol LW-17 - 4","tintasol-lw-17-4","#fde983"
"TintaSol LW-17 - 2","tintasol-lw-17-2","#fbed9c"
"TintaSol LW-17 - 1","tintasol-lw-17-1","#faf0b2"
"TintaSol LW-17 - 0-2","tintasol-lw-17-0-2","#f9f2d2"
"TintaSol LW-16 - 8","tintasol-lw-16-8","#f6c99a"
"TintaSol LW-16 - 4","tintasol-lw-16-4","#f9d5af"
"TintaSol LW-16 - 2","tintasol-lw-16-2","#fbdebf"
"TintaSol LW-16 - 1","tintasol-lw-16-1","#fce7d0"
"TintaSol LW-16 - 0-2","tintasol-lw-16-0-2","#faefe0"
"TintaSol LW-18 - 8","tintasol-lw-18-8","#f9ec6a"
"TintaSol LW-18 - 4","tintasol-lw-18-4","#f4ec83"
"TintaSol LW-18 - 2","tintasol-lw-18-2","#f7f19f"
"TintaSol LW-18 - 1","tintasol-lw-18-1","#f7f3b7"
"TintaSol LW-18 - 0-2","tintasol-lw-18-0-2","#f8f4d5"
"TintaSol LW-63 - 8","tintasol-lw-63-8","#88c09e"
"TintaSol LW-63 - 4","tintasol-lw-63-4","#a0ceb0"
"TintaSol LW-63 - 2","tintasol-lw-63-2","#bcddc5"
"TintaSol LW-63 - 1","tintasol-lw-63-1","#cde5d0"
"TintaSol LW-63 - 0-2","tintasol-lw-63-0-2","#e7efe2"
"TintaSol LW-22 - 8","tintasol-lw-22-8","#8ebbe5"
"TintaSol LW-22 - 4","tintasol-lw-22-4","#a8c9e8"
"TintaSol LW-22 - 2","tintasol-lw-22-2","#bdd7eb"
"TintaSol LW-22 - 1","tintasol-lw-22-1","#c9dee9"
"TintaSol LW-22 - 0-2","tintasol-lw-22-0-2","#e4ebe9"
