"TRENDline LUMNEZIA POLARWEISS","trendline-lumnezia-polarweiss","#f0eee6"
"TRENDline LUMNEZIA ALTWEISS","trendline-lumnezia-altweiss","#f7f4e7"
"TRENDline LUMNEZIA CASA-TON","trendline-lumnezia-casa-ton","#f4f0e2"
"TRENDline LUMNEZIA RAL 9010","trendline-lumnezia-ral-9010","#f3f1e7"
"TRENDline LUMNEZIA NCS S0500-N","trendline-lumnezia-ncs-s0500-n","#f2f1ea"
"TRENDline LUMNEZIA NCS 0500","trendline-lumnezia-ncs-0500","#f3f0e6"
"TRENDline LUMNEZIA NCS S1000-N","trendline-lumnezia-ncs-s1000-n","#e0deda"
"TRENDline LUMNEZIA G 0200","trendline-lumnezia-g-0200","#eceee7"
"TRENDline LUMNEZIA G 0210","trendline-lumnezia-g-0210","#f3f1e7"
"TRENDline LUMNEZIA G 0220","trendline-lumnezia-g-0220","#eae8de"
"TRENDline LUMNEZIA G 0230","trendline-lumnezia-g-0230","#ece4d7"
"TRENDline LUMNEZIA G 0240","trendline-lumnezia-g-0240","#eee5de"
"TRENDline LUMNEZIA G 0250","trendline-lumnezia-g-0250","#f0ebe3"
"TRENDline LUMNEZIA G 0260","trendline-lumnezia-g-0260","#dcdcd9"
"TRENDline LUMNEZIA G 0270","trendline-lumnezia-g-0270","#f0f0e9"
"TRENDline LUMNEZIA G 0280","trendline-lumnezia-g-0280","#eaede9"
"TRENDline LUMNEZIA G 0290","trendline-lumnezia-g-0290","#eeebdf"
"TRENDline LUMNEZIA G 0300","trendline-lumnezia-g-0300","#eff1e8"
"TRENDline LUMNEZIA G 0320","trendline-lumnezia-g-0320","#eff5e8"
"TRENDline LUMNEZIA G 0330","trendline-lumnezia-g-0330","#e7efe8"
"TRENDline LUMNEZIA G 0350","trendline-lumnezia-g-0350","#e9ece9"
"TRENDline LUMNEZIA G 0360","trendline-lumnezia-g-0360","#f4efd7"
"TRENDline LUMNEZIA G 0370","trendline-lumnezia-g-0370","#f3efd7"
"TRENDline DESERTO G 1000","trendline-deserto-g-1000","#f6edd3"
"TRENDline DESERTO G 1010","trendline-deserto-g-1010","#f5eace"
"TRENDline DESERTO G 1020","trendline-deserto-g-1020","#f6eac3"
"TRENDline DESERTO G 1030","trendline-deserto-g-1030","#f5e4b5"
"TRENDline DESERTO G 1040","trendline-deserto-g-1040","#f1d59e"
"TRENDline DESERTO G 1050","trendline-deserto-g-1050","#f2debc"
"TRENDline DESERTO G 1060","trendline-deserto-g-1060","#f2d3a3"
"TRENDline DESERTO G 1070","trendline-deserto-g-1070","#f5e8d2"
"TRENDline DESERTO G 1080","trendline-deserto-g-1080","#d8b88d"
"TRENDline DESERTO G 1090","trendline-deserto-g-1090","#efe2c5"
"TRENDline DESERTO G 1100","trendline-deserto-g-1100","#e9d9bc"
"TRENDline DESERTO G 1110","trendline-deserto-g-1110","#f7daa7"
"TRENDline DESERTO G 1120","trendline-deserto-g-1120","#f2cf96"
"TRENDline DESERTO G 1130","trendline-deserto-g-1130","#e5b77a"
"TRENDline DESERTO G 1140","trendline-deserto-g-1140","#e9c598"
"TRENDline DESERTO G 1150","trendline-deserto-g-1150","#f0ba82"
"TRENDline DESERTO G 1160","trendline-deserto-g-1160","#db9b61"
"TRENDline DESERTO G 1170","trendline-deserto-g-1170","#f3ebbb"
"TRENDline DESERTO G 1180","trendline-deserto-g-1180","#eadeb0"
"TRENDline DESERTO G 1200","trendline-deserto-g-1200","#fae595"
"TRENDline DESERTO G 1210","trendline-deserto-g-1210","#f9e3ae"
"TRENDline DESERTO G 1220","trendline-deserto-g-1220","#f6f298"
"TRENDline DESERTO G 1230","trendline-deserto-g-1230","#f8ec73"
"TRENDline DESERTO G 1240","trendline-deserto-g-1240","#e8bb50"
"TRENDline DESERTO G 1250","trendline-deserto-g-1250","#d9944e"
"TRENDline DESERTO G 1260","trendline-deserto-g-1260","#c9854d"
"TRENDline DESERTO G 1270","trendline-deserto-g-1270","#c17d50"
"TRENDline MONTAGNA G 2000","trendline-montagna-g-2000","#c5caca"
"TRENDline MONTAGNA G 2010","trendline-montagna-g-2010","#b0b7bb"
"TRENDline MONTAGNA G 2020","trendline-montagna-g-2020","#dee2df"
"TRENDline MONTAGNA G 2030","trendline-montagna-g-2030","#cbcece"
"TRENDline MONTAGNA G 2040","trendline-montagna-g-2040","#eae9e1"
"TRENDline MONTAGNA G 2050","trendline-montagna-g-2050","#d2cfc8"
"TRENDline MONTAGNA G 2060","trendline-montagna-g-2060","#cccbcc"
"TRENDline MONTAGNA G 2070","trendline-montagna-g-2070","#babbbd"
"TRENDline MONTAGNA G 2080","trendline-montagna-g-2080","#a5a6a8"
"TRENDline MONTAGNA G 2090","trendline-montagna-g-2090","#8e8e93"
"TRENDline MONTAGNA G 2100","trendline-montagna-g-2100","#989ca0"
"TRENDline MONTAGNA G 2110","trendline-montagna-g-2110","#83888d"
"TRENDline MONTAGNA G 2120","trendline-montagna-g-2120","#d6d8d6"
"TRENDline MONTAGNA G 2130","trendline-montagna-g-2130","#c6c9c9"
"TRENDline MONTAGNA G 2140","trendline-montagna-g-2140","#b4b7b6"
"TRENDline MONTAGNA G 2150","trendline-montagna-g-2150","#d2cec5"
"TRENDline MONTAGNA G 2160","trendline-montagna-g-2160","#c4bfb6"
"TRENDline MONTAGNA G 2170","trendline-montagna-g-2170","#b6b2ab"
"TRENDline MONTAGNA G 2180","trendline-montagna-g-2180","#a6a39d"
"TRENDline MONTAGNA G 2190","trendline-montagna-g-2190","#b6b2ad"
"TRENDline MONTAGNA G 2200","trendline-montagna-g-2200","#aba89f"
"TRENDline MONTAGNA G 2210","trendline-montagna-g-2210","#d4d4cb"
"TRENDline MONTAGNA G 2220","trendline-montagna-g-2220","#bdbfb9"
