"Trimetal A020P","trimetal-a020p","#551e24"
"Trimetal A111C","trimetal-a111c","#f5d8d4"
"Trimetal A128P","trimetal-a128p","#6a1521"
"Trimetal A147K","trimetal-a147k","#c34d56"
"Trimetal A209F","trimetal-a209f","#c5acab"
"Trimetal A211G","trimetal-a211g","#ae9493"
"Trimetal A232P","trimetal-a232p","#6e171f"
"Trimetal A247M","trimetal-a247m","#9f1c2c"
"Trimetal A253J","trimetal-a253j","#d45c63"
"Trimetal A253K","trimetal-a253k","#c03d49"
"Trimetal A301P","trimetal-a301p","#444241"
"Trimetal A308D","trimetal-a308d","#d8c4c3"
"Trimetal A337P","trimetal-a337p","#771219"
"Trimetal A339N","trimetal-a339n","#821a22"
"Trimetal A414M","trimetal-a414m","#765959"
"Trimetal A429E","trimetal-a429e","#f2aaa7"
"Trimetal A434N","trimetal-a434n","#752322"
"Trimetal A442N","trimetal-a442n","#862220"
"Trimetal A508D","trimetal-a508d","#d8c4bf"
"Trimetal A513K","trimetal-a513k","#8a6c69"
"Trimetal A604Q","trimetal-a604q","#3c2f2b"
"Trimetal A607D","trimetal-a607d","#f5d9d7"
"Trimetal A608B","trimetal-a608b","#f2dbd6"
"Trimetal A612H","trimetal-a612h","#a98e89"
"Trimetal A613C","trimetal-a613c","#f5d0ca"
"Trimetal A614M","trimetal-a614m","#745653"
"Trimetal A621P","trimetal-a621p","#5e261c"
"Trimetal A638N","trimetal-a638n","#862a24"
"Trimetal A641G","trimetal-a641g","#e28178"
"Trimetal A646N","trimetal-a646n","#951a16"
"Trimetal A652M","trimetal-a652m","#9d1812"
"Trimetal A658L","trimetal-a658l","#ba2a2a"
"Trimetal A660M","trimetal-a660m","#ad1d1a"
"Trimetal A707D","trimetal-a707d","#dccac7"
"Trimetal A729P","trimetal-a729p","#6a2615"
"Trimetal A744N","trimetal-a744n","#91281f"
"Trimetal A761K","trimetal-a761k","#d14439"
"Trimetal A802G","trimetal-a802g","#a39f9e"
"Trimetal A814L","trimetal-a814l","#856863"
"Trimetal A916H","trimetal-a916h","#b58f88"
"Trimetal A935N","trimetal-a935n","#833420"
"Trimetal A950J","trimetal-a950j","#d16557"
"Trimetal A963J","trimetal-a963j","#d84b2f"
"Trimetal B006B","trimetal-b006b","#f7e5e1"
"Trimetal B031D","trimetal-b031d","#f8b2a6"
"Trimetal B044L","trimetal-b044l","#a1422b"
"Trimetal B058L","trimetal-b058l","#ba3d28"
"Trimetal B108D","trimetal-b108d","#ddc9c2"
"Trimetal B111M","trimetal-b111m","#725d58"
"Trimetal B115N","trimetal-b115n","#6e4e46"
"Trimetal B116G","trimetal-b116g","#b69389"
"Trimetal B118L","trimetal-b118l","#8d6b62"
"Trimetal B151F","trimetal-b151f","#f89077"
"Trimetal B160L","trimetal-b160l","#b53812"
"Trimetal B163K","trimetal-b163k","#c74325"
"Trimetal B209D","trimetal-b209d","#d2bfb7"
"Trimetal B210D","trimetal-b210d","#dac0b8"
"Trimetal B214H","trimetal-b214h","#b09188"
"Trimetal B221N","trimetal-b221n","#6d4339"
"Trimetal B262G","trimetal-b262g","#f37457"
"Trimetal B310P","trimetal-b310p","#4c352c"
"Trimetal B313B","trimetal-b313b","#f4d6ca"
"Trimetal B313P","trimetal-b313p","#563e36"
"Trimetal B317P","trimetal-b317p","#5f3828"
"Trimetal B319C","trimetal-b319c","#f7cabc"
"Trimetal B333E","trimetal-b333e","#fab098"
"Trimetal B362K","trimetal-b362k","#c4491d"
"Trimetal B420K","trimetal-b420k","#916a5c"
"Trimetal B448F","trimetal-b448f","#f0906f"
"Trimetal B454L","trimetal-b454l","#b1461d"
"Trimetal B466K","trimetal-b466k","#c8470c"
"Trimetal B468H","trimetal-b468h","#e7602e"
"Trimetal B510C","trimetal-b510c","#efd8cf"
"Trimetal B513M","trimetal-b513m","#6d544a"
"Trimetal B513P","trimetal-b513p","#55382d"
"Trimetal B531D","trimetal-b531d","#f4b299"
"Trimetal B558G","trimetal-b558g","#ec7b4f"
"Trimetal B611B","trimetal-b611b","#f9e0d4"
"Trimetal B611C","trimetal-b611c","#e2cbc0"
"Trimetal B611P","trimetal-b611p","#523b30"
"Trimetal B625D","trimetal-b625d","#f7c4ad"
"Trimetal B631H","trimetal-b631h","#bd8368"
"Trimetal B637K","trimetal-b637k","#ae6949"
"Trimetal B645L","trimetal-b645l","#a75632"
"Trimetal B702D","trimetal-b702d","#d0cdc9"
"Trimetal B708C","trimetal-b708c","#ead9d0"
"Trimetal B717N","trimetal-b717n","#63402e"
"Trimetal B728G","trimetal-b728g","#cf987e"
"Trimetal B757G","trimetal-b757g","#e98351"
"Trimetal B824E","trimetal-b824e","#e8b89e"
"Trimetal B824M","trimetal-b824m","#724425"
"Trimetal B831D","trimetal-b831d","#efb494"
"Trimetal B841L","trimetal-b841l","#9e5d36"
"Trimetal B844H","trimetal-b844h","#ce8155"
"Trimetal B865J","trimetal-b865j","#d5631c"
"Trimetal B904B","trimetal-b904b","#f4e5dc"
"Trimetal B914P","trimetal-b914p","#5a4338"
"Trimetal B951K","trimetal-b951k","#b45f26"
"Trimetal C022C","trimetal-c022c","#f6c9b0"
"Trimetal C022N","trimetal-c022n","#6c462e"
"Trimetal C027M","trimetal-c027m","#7a4c2e"
"Trimetal C035J","trimetal-c035j","#aa6e46"
"Trimetal C041J","trimetal-c041j","#bb7648"
"Trimetal C044G","trimetal-c044g","#d58a5a"
"Trimetal C048K","trimetal-c048k","#b56836"
"Trimetal C073H","trimetal-c073h","#e56e00"
"Trimetal C076G","trimetal-c076g","#f07213"
"Trimetal C116B","trimetal-c116b","#f4d5c1"
"Trimetal C131D","trimetal-c131d","#f3ba95"
"Trimetal C139G","trimetal-c139g","#ce8d60"
"Trimetal C146F","trimetal-c146f","#e0935f"
